id,rating,date_time,user_name,title,body,response
0,4,2019-01-15T17:52:19.000Z,cprado23,Edit* improved,Edit**** the developers heard our concerns the glitches have been fixed. Since it’s a new app there’s always room for improvement. Some exercises are missing equipment needed before it starts. For example there’s some workouts where I’ve needed a mat since there’s floor stretching but it didn’t have it in the equipment needed. But it do enjoy that the model doing the exercises is the same stage of pregnancy as I am to ensure the safety of the movements.,"Hi cprado23! We're so happy to hear you're enjoying the app so far - and the good news is we'll soon be making modifications to the Fitness Studio workouts to allow for more transition time! Additionally - the workouts do change as you progress through pregnancy to meet the needs of your changing body shape. They may not drastically change from one week to the next in terms of the types of moves, but as you get farther into your pregnancy you'll notice that the workouts will adjust with you. I hope this helps to know!"
1,4,2021-04-13T01:58:09.000Z,lobabill,Repetitive but good for keeping you on track,I couldn’t decide if I should give 3 or 4 stars.  Here’s what I like: the tracking feature.  You are given a set number of workouts to complete in a week (I have mine set to four because I like to run/walk in addition to using this app).  The set number of workouts to check off my list keeps me motivated.  I like the pelvic floor exercises because otherwise I’d never do them.  There are also other features like audio workouts (I suppose people use these at the gym as opposed to watching along with the video) and you can always search and do more than your recommended weekly workouts.,"Hi there, thank you so much for leaving such a thoughtful review, we greatly appreciate it. We're so happy to hear what you've enjoyed about the app and we've just released a new update that I think you'll enjoy even more as it tracks your progress throughout the week on your homepage and across all healthy living activities. We do understand your thoughts on the workouts feeling too repetitive and not advanced enough, and we work on new workouts on an ongoing basis so we'll absolutely take this into account. If you'd like to email us at support@baby2body.com we'd love to recommend some routines you might prefer more as well!"
2,3,2020-04-20T14:30:43.000Z,CoriiSuee,"Excited for this app, annoyed with loading pauses","I was so excited to find this app and have purchased the premium and been using it for a week now, but in the middle of the workouts the exercise will simply stop loading and I’m sitting waiting for it while my heart rate slows and I lose the burn. At first I figured out that if I click on the next movement it will load more quickly SOMETIMES, but mainly it just glitches more.  Another day I tried to let it “load” aka sit for 30 minutes before I even click play to begin the daily workout, but that didn’t work either. I use 5G WiFi and have no issues with slow connection in the house, I have deleted the app and re-downloaded it and re-started my phone to troubleshoot at no avail. If this one glitch would be fixed I would be happy to rate this app a 5 star! The workouts are challenging and easy to follow along, and I love being able to track my progress. I do wish I could track what I eat in the “kitchen” but I just had to download a separate app for that. I am a single mother and a lot of the recipes do not seem budget friendly, but the recipes are listed and arranged to make them so simple! I do hope to try some of them as my pregnancy progresses. All in all it is a very cool app!!",Hello! I just wanted to update you that our latest app release has resolved the above issues with the Fitness Studio videos and we would love for you to update and give it a try again : )
3,3,2020-05-26T03:10:17.000Z,Alessandra Hirai,"Repetitive exercises, not exactly designed for pregnant women","I subscribed this app as an option for a home workout during my pregnancy and quarantine period. I added my goal of exercising 4 days a week for about 30-40min. At the beginning I noticed that the videos was always crashing, so an exercise plan of 40 minutes normally takes longer as it restart the whole exercise. The plans are pretty similar, over and over, and not only there is a slim model on the videos (not a pregnant woman on an exercise app designed for pregnant women) but also a bunch of lunges for example and other exercises not really good or comfortable for 20+ weeks pregnancy. There is a huge amount of repetitive exercises during a pla. I’m 23 weeks pregnant and it has increasing the number of lunges and other extreme exercises as well as sending longer plans (47 minutes). They offer repetitive shorter options in case you wanna reduce your time, but really, same exercises all the time! I will not continue with my subscription and I’m extremely disappointed! Do not recommend!","Hi Alessandra, I'm sorry to hear you were disappointed with the app experience. If you'd like to email us at team@baby2body.com we can review your plan and make some recommendations and modifications that might better suit you! Otherwise we wish you all the best and good health going forward."
4,3,2019-02-15T16:38:49.000Z,2222344556,Good exercises but long awkward video pauses,"I downloaded the app for the workouts and really new to the app, but first impressions are.... the exercises are great, but the transitions between each exercise are awkward. While the video example is great to have, they just start way too late! There seems to be a long pause where the model isn’t doing anything, like she’s almost waiting for the voice over to explain before she starts, so by the time she shows you what to do, half the time of the exercise clock has run out. I’d recommend the model should already be in action doing the exercise routine right from the second the time starts (not 5-10 seconds in). I also think the cool down is too long (almost as long as the main session, I’d rather send more time in the main session. I’m going to keep using the app for now and see if I get use to the awkward pauses and maybe as I get further along I’ll appreciate them, but for not completely sold in this so look at other options too.","Hi there! We're so happy you're liking the app so far, and we do want you to know that you can turn off the exercise preview between exercises by going into the settings menu, in the top right corner of the Fitness Studio. We also appreciate your feedback on the stretches at the end - it is important that you cool down properly while pregnant, but we constantly review our workouts and make improvements so we'll be sure to look at those closely."
5,2,2020-05-09T11:20:39.000Z,cstell12345,Limited Variation and ability to customize,"I was excited to have an app to lead me through home workouts during pregnancy especially during quarantine. At the start (in second trimester), I was enjoying the app overall. My biggest complaint was that I didn’t feel I was getting enough cardio and there is no way (so far as I can tell) to customize the workout type (eg have more  cardio routines to select from in a given week) apart from repeating a workout. As the weeks have gone on, as other reviewers have noted, it seems the exercises are just recycled —I’m doing the same exercises I have been, perhaps just in different order, for several weeks without any new additions mixed in. In addition, the trainer in the video barely appears pregnant so in my third trimester I’m following someone that has a lot more range of mobility etc. it seems for a pregnancy dedicated app, the very least it could do would be to film instructors at about the appropriate prenatal stage...  there is a lot of room for improvement and I don’t feel I will continue with the app beyond the initial period I’ve already paid for.","Hi there, thank you so much for taking the time to leave such thoughtful feedback. We are actually getting ready to add almost 50 new workouts to the pregnancy side of the app, offering more cardio routines, and prenatal yoga, and we're constantly working with new prenatal experts to create more. We do have over 250 unique workouts now on the pregnancy side of the app, but I'm sorry to hear it didn't feel varied enough for you. You are correct that you will see that the routines will pop up again in later weeks, and we do that because it's all about maintaining consistency and not introducing your body to anything radically new as you progress through pregnancy into later trimesters. But we will take this feedback into account as we work to add even more new workouts to the app for all users! Wishing you all the best going forward and thank you for trying Baby2Body."
6,3,2020-04-03T12:51:51.000Z,lydiawwwhite,"Nice holistic start, could be more accessible and add more tracking","I am using the app primarily for workouts and pelvic floor exercises. I don’t have much at-home exercise equipment so I have to do a ton of modifications. It would be nice if there were more exercises that didn’t rely on special equipment or large exercise balls. In terms of UX, the pelvic floor exercises are buried in the overflow menu instead of accessible from home screen. And it would be nice to have more granular control over notifications.","Hi there! Thanks so much for taking the time to leave a review! We do try to make the workouts as equipment-free as possible and we always recommend easy household alternatives or suggest doing the workout without any equipment where possible. We know the exercise ball can be a cumbersome piece of equipment to have in your home and for most of those workouts we recommend sitting on a soft chair instead. For the pelvic floor exercises you can also easily access them in the More tab -- hopefully that's helpful! Lastly, we do have weight tracking available! It may be that it's hidden from your activity tracking at present. To turn that on you can tap on Edit next to the Tracking section and you should be able to turn on the weight tracker. We'll be adding more tracking features soon as well, and blood pressure monitoring is one of the new additions! We really appreciate this feedback, we'd love to hear more as well if you'd like to contact us at team@baby2body.com"
7,2,2018-08-01T15:55:42.000Z,TMammoser,Seems Unfinished...,"I, at first, fell in love with this app for the weekly circuit workouts. They were a perfect addition to walking and yoga during my pregnancy. However, there isn’t sound and they don’t include transition time in between exercises so I had to be prepared to makeup those missed reps later. Well, now in my third trimester the circuits stopped. Are they not done creating them yet? So now I’ve tried using the MyFitnessStudio portion and the workout orders are not correct. Today I did a workout that went from warm-up, to cool down, and then the workout. Do the creators not test these out before they post them? Also who creates these workouts? One had a lot of bridge exercises so I was on my back for a long time and then there was reclined twists which can be unsafe. I hope they have certified instructors creating these workouts because women are trusting you. Review your own app Baby2Body so you know you are charging women for the app you are intending to give them.","Hi TMammoser, thank you for taking the time to share your thoughts on the app! We wanted to follow up on the points you referenced, just to provide clarification. The weekly circuit workouts were originally built as our fitness offering - but the feedback we received was that people wanted more variety throughout the week via a customizable workout plan. Which is why we created the complete Fitness Studio! We had not yet filmed and created the third trimester circuit workouts, so that's why you don't see them anymore. However, there are now 7 unique workouts every single week in the fitness studio for all of pregnancy (including the third trimester!). Thank you for bringing the workout ordering issue to our attention - we are looking for the exact glitch and will be fixing right away - right now it looks like that just impacted one particular workout. There are over 300 different workouts on the fitness studio and I have personally tested them all - but seems as if I missed a small error - my apologies! So you know - all workouts have been created and approved as pregnancy-safe (for each trimester) by Baby2Body CEO and Founder Melinda Nicci. Melinda is a Sport Psychologist and a professional fitness trainer with specific qualification in prenatal and postnatal exercise. She's been a specialist and PT in this space for nearly 25 years!  Thank you for voicing your concerns on the safety of the exercises - and we do cover all considerations throughout the Baby2Body content experience. Just to provide further clarification on why these moves are considered safe as long as you experience no pain: the bridge exercises you see in the third trimester keep you in a lifted position and therefore not placing pressure directly on your back. Keep in mind that you can lie on your back for a period of time and do no harm to your or baby. The concern is added pressure placed on a large artery in your back, and that partially blocked blood flow can make you dizzy after a while. If this ever happens, all you need to do is roll to your left side and wait for any dizziness to pass before slowly sitting up. Bridge workouts are a great way to target your glutes and hip stabilizing muscles, without having to be in a position that requires a lot of balance during your later stages of pregnancy (which can prove difficult!) but you are also not placing that direct pressure on your back as your glutes are engaged and your abdomen is lifted. We do carefully create these workouts so that you are never on your back for an extended period of time that could cause dizziness or lightheadedness. As far as the reclined spinal twist stretch - it is supposed to be a gentle stretch that targets your gluteal (or butt) and lower back muscles. There should be no vigorous abdominal twisting (which we definitely advise against) but instead a gentle, comfortable stretch to target those hard to reach muscles.  I do hope this helps! If you have any further questions or feedback for us, please reach out to team@baby2body.com. All the best, Caitlin - VP of Content Strategy"
8,2,2020-04-13T22:43:18.000Z,stardus2020,"Too few exercises, not enough variety","I’d purchased the membership primarily so that I can get a variety of prenatal workouts in and now that I’ve used it for a couple of months, I can say that there is definitely room for improvement.","Hi there, we really appreciate you taking the time to send this feedback and we are looking forward to bring a lot of new workouts out onto the app in the next few months. We are a small team and a young company so we're excited about all the things we can do going forward but we do have over 500 workouts on the app offering different intensity levels and the workouts do change to ensure you are doing routines safe for your stage. They are all created by prenatal and postnatal fitness experts and they do change over time as you progress through pregnancy. What we're working to do is to also show women that there is so much you can do with prenatal exercise and it really doesn't have to look that different from your normal routines, as long as you're aware of the modifications to make and some simple things to avoid -- but we take care of that on our end! Thank you again for giving Baby2Body a try and if you'd like to provide more feedback we'd really love to chat with you if you want to email us at team@baby2body.com. Wishing you well going forward!"
9,2,2018-06-30T02:31:36.000Z,草莓娜娜,App looks great... but most everything is locked until u pay,"I was really excited about this app and wanted to try it out. In my experience “in-app” purchase apps still have some functionality without purchasing. And they let you test drive parts of the locked stuff to see if you like it before giving your billing info and having to cancel later. Very disappointed in this as you can’t do much of anything on the app unless you sign up for a 7 day free trial. And everything you click on leads back to a page asking for $7/mo. Makes it seem like a money grabbing app, not one out to support moms to be and their well-being. I would recommend “what to expect” app if ur going to pay. At least they don’t seem like they’re reaching in your pocket every 10sec.",
