id,rating,date_time,user_name,title,body,response
0,5,2020-05-08T23:23:49.000Z,Siouxzee44,Where is support?,"I looked for a way to ask support in the app but couldn’t find a place to do so. I’ve been a member for quite a while now. It’s by far the best carb tracking app that I’ve found and I’ve tried 5 or 6 of them. I keep coming back here. I pay for premium even. However I’m really frustrated. I’m having a hard time entering recipes. After I get all the info typed in there is many times no “save” option. I have to click the upper right corner to get out of the screen and so lose everything I’m trying to save. I try to refresh the screen, I poke around at the top of the screen (where it’s just white space), I clear out the food search history - nothing.  It’s hard enough for me to be faithful in tracking and with things like this happening quite often I’d rather just quit. This needs to be fixed. I’ve invested enough time and money with this app that I don’t want to throw in the towel, but this is annoying!!  The other annoyance is if I make a typo I can’t correct it or add a word in the middle of a line without completely starting over. The cursor automatically takes me to the end of the sentence. E.g if I want “ground cinnamon” and I forget to type ground or if I type grnd I can’t just jump in to correct it, I have to erase the entire line and start over. SO annoying. Each extra keystroke takes time that I don’t want to devote to tracking. I need it to be easy!  I love the scan feature. I wish all ingredients could be scanned.","Hi there, thanks for contacting us and for using Carb Manager! Our friendly support team would be delighted to assist you with your questions. To contact the team, please go to Settings > Contact Support, or send an email to support@carbmanager.com. We're here to help!"
1,5,2021-01-27T21:16:38.000Z,madabouthouse,An amazing tool,"I have had a great experience using this app. It’s easy to use, and is on my cell phone — so, I can update or edit my food intake and track my protein, carb, fat, and calorie intake through out the day. It has been easy to find and match the foods that I eat which makes it easy to be accurate and personalized about my exact food intake. It’s also very user friendly vehicle so it allows me to easily see if a particular food that I may be consider for consumption will fit into the limits/goals — that I’ve intentionally chosen for myself since it has a display panel that shows the maximum amount of calories, proteins, carbs, and fats that I’ve decided to consume daily. I am currently using this as a weight loss tool because, I unfortunately had put on 30lbs during the current Covid worldwide pandemic. I’m excited to say that I’ve already lost 7lbs is just 10 days. I have lost this weight without starving myself at all. I can also track my activities, exercising, and water intake too. I can’t wait to continue — and I plan to loose all my covid weight gain. I plan to use this app even after I reach my goal weight — because, my body thrives on a moderate calorie, low carb, high protein diet that incorporates good fats. I love how the program has notations about keto friendly foods. I also hope to eventually use the many great recipes that are linked to this site. Hip hip hooray to the help that this app offers with regard to healthy eating. Thank you!",
2,5,2019-10-09T16:55:03.000Z,BIRD1E-1111,Great tool for a Keto Diet!,I love this because you can track all of your macros quickly and easily. I love the ability to scan UPC codes to enter a new product. I love how you can enter recipes by entering a url. There are tons of recipes and you can edit recipes to suit your needs. There are meal plans included in the premium version but none of them suit my needs. They should be labeled differently than meal plan 1 etc so we do not have to look through each one. You can customize a meal plan which is great but it did not work for me. I entered “no seafood “ and it gave me only 1 choice for lunch which was an Asian salmon salad.,
3,4,2021-01-31T06:47:51.000Z,Charlie2427,Really liking the revamp,"I looked at carb manager before the Regan and just couldn’t get into it. I really like what they have done, you can tell that they put a lot of thought and hard work into their new and improved app. I love how easy it is to enter foods the barcode scanner has worked crazy fast for me with everything I’ve scanned so far. There’s tons of metrics you can teac track which is a huge plus for me because now I can have it all in one app instead of flipping through 3 like I did before. I can enter my blood glucose & ketone readings and it calculates my GKI. I can keep track of my body measurements to see how I’m progressing over time along with my weight. There’s just so much! It’s great. There are some bugs that still need to be worked out and crashing on the build a meal plan portion. I also wish that you didn’t have to pick a date to start your meal plan or so much food before moving on to the next step. The social aspect is nice, because it’s always enjoyable to run ideas past others on the same journey. Also the fact that they have recipes in app is awesome. Though I wish there was a dedicated spot for favorited recipes and the ability to create a shopping list from the favorites. I mean if we can make a meal plan shopping list why not make that feature available too. All in all this has been the perfect app for me. I hope they keep with these great improvements. Subbed to premium I liked everything so much.",
4,5,2020-05-19T23:37:11.000Z,sschof86,Makes it easy to track and instill habits !,"I recently made the decision to try the keto diet. Many friends swear by it, and I see how people with epilepsy May benefit from it. As someone with epilepsy I decided to give it a go and see all the hype not tracking anything at first and I definitely felt like I needed something to keep me accountable and on track. I tried another app, but they only let you log 5 things in the free version before you must pay. For someone trying it out and trying keto I don’t want to pay especially in the beginning.",
5,5,2018-11-07T12:42:17.000Z,mpjinnj,5-stars if you’re ready to upgrade to Premium,"Carb Manager has been a wonderfully useful app for me. The interface is extremely user friendly, it has great visuals that keep it from looking bland (as food tracking often feels for me), and I love the level of customization of goals and amount of pre-built recommendations available. While Carb Manager sounds like it’s designed for Keto diets, it actually works great for more traditional diet plans, as well (ie Zone, Body Building, etc). I use it for Low-Carb, High-Fat that was recommended by my doctor (not as carb restrictive as Keto), and it had that option pre-built, as well.",
6,4,2020-02-13T00:53:38.000Z,SashaP82,"Great! Just one wish, to save shared recipes.","I’ve just converted to a Keto lifestyle, I tried a few apps and CarbManager has the best features while using the free version of the app. Thank You!!! I truly believe I can eat whatever my heart desires twisted to Keto, in that frame of mind I am always creating new recipes. In the last 4 days of having the app, I have created and added 4 of them. I love that it totals up all the nutritional values and when I add it to my daily food, let’s say as my dinner, those adjust to the serving size. I cook for a very large household and since a few of us are trying to stick to Keto friendly meals it’s nice to be able to share the recipes, however, they can’t save them so that they can benefit from the same nutritional information in their daily meal records. That means each app user has to create the recipe in their app, that’s quite frustrating. I’m hoping there is a way to update this, it maybe I am just saving wrong. I always give permission to publish when I create a new recipe, the little box is checked. I’m guessing it just takes a while to verify each one of those before they are published, which is understandable, but if we all had my invented dish for dinner then we would all like to have the benefit of just adding it once shared from the app, which is another feature I love! Thanks again for the great work!!!",
7,4,2018-09-25T19:01:49.000Z,quietlyobvious,Great App But Needs Tweaks,"I found this app last week and really enjoy using it. It easily helps me keep track of my macros and lets me see what I’m eating and where I can improve. That being said, there are a couple issues that reduce the user-friendliness of this app. First, you cannot enter your own recipe and save it. This is a great feature of the Weight Watchers app that I was hoping this one had. I can import a recipe from online, but I haven’t seen where I can create my own recipe and save it. Instead, I have to individually list each item (in let’s say homemade salad dressing), and there is no option to copy multiple ingredients from one day to the next. So even though I drink the same Keto coffee or eat leftovers for lunch from dinner the night before, I have to painstakingly copy each ingredient one by one. If I could just simply copy each one, that would be great, but instead the app flips you to the current day after selecting the meal time to place the copied ingredient. Right now I’m trying to copy certain ingredients from Sunday’s dinner to Monday’s lunch, and each time I select an ingredient to copy, I get reverted back to today, then have to back arrow twice to Sunday, scroll down, and copy the next item. It’s time consuming and tedious and really the only thing I would say should be fixed to make the app more user-friendly and efficient.","Hi there, thanks so much for contacting us, and glad you are enjoying the app! To answer your questions: to add a custom recipe, please go to Foods > My Foods > Recipes. Tap the + Add New Recipe button to get started. To copy multiple food items from one day to the next, tap on the ... button next to either the food item or the meal header in the Daily Log and select Copy To... You can also copy an entire day's foods by finding the Copy To... button at the bottom of the Daily Log page. Premium users can also create a meal, which allows you to easily assemble foods together to log with one tap. Hope this helps!"
8,4,2018-01-16T17:09:29.000Z,Mark Wagner,Best NET CARB Nutrition App,"(Update) Still the best app for tracking nutrition especially for calculating net carbs. However, the app is a little buggy at times which is usually easily remedied by closing the app and reopening; however, it’s inconvenient. That said, this app is still my favorite and is very well designed and targeted towards net carb calculation and tracking. The application interface and design is still the best out there.","Hi Mark, thanks so much for the feedback and for the great review! We're delighted that you're loving Carb Manager. (Another update - 1/28) We implemented some additional changes on the server that should make loading even faster now. You should start noticing the improvements today. Please let us know if there is anything else you'd like to see implemented or improved (including any bug fixes) by emailing us at support@wombatapps.com. We'll get on it asap. Thanks again for using Carb Manager!"
9,4,2021-03-27T05:06:09.000Z,puppywhispers,Finally! An app that actually works.,"Learning to eat clean is difficult, because boredom of the same foods can be a problem. The recipes help, but they should all be free. The per servings when creating food items is confusing at times. The preset food nutritional information when created by users, are sometimes misleading, there should be a way for the app to verify the carb, fat, protein and calorie intake.  I would also caution verifying the amount of calories burned during exercises that are entered by users. I also wish there was a way to convert per servings of a meal more accurate, although this app helped me lose 21 pounds in a month.  Note: I stopped all intake of soda, after this app calculated the nutritional value, and showed me the macros for soda.  I drank soda for 30 plus years. I would recommend a low carb, low fat, low calorie, high protein shopping list for beginners to print or download for shopping...it can be overwhelming getting started. Also, recommend incorporating shopping list with recipes, makes it easier to get started.  Lastly, incorporating nutritional information with the grocery list would also help beginners do their shopping.  Getting started was confusing, but out of all the apps, this one has helped me best.",
