id,rating,date_time,user_name,title,body,response
0,5,2020-11-03T05:09:27.000Z,Ramdas Pabbaraju,"Value for money - Improving health, fitness and Wealth","An app that can change course and set it right to improve and build health and fitness and also to an extent remove the daily pill for sugar and blood pressure by combining diet and exercise .  Healthify studio brings in the expert coach home to get you fit and strong.  I love the features of the app and am a great fan.  The health records enable one to quantify progress made over time on key parameters, tracking health progress with proper diet and exercise .  A supporting tool for all who wish to make drastic improvements to pave way for great health and fitness . What endears me the most is the new feature -  ‘insights’ that provides info on micro and macro nutrients after each meal, day after day informing and enabling the  actions that can be taken to improve health.  I live all the features of the app that inspires, informs, motivates and easily the best to gain and achieve great health results .","Hey Ramdas, Thanks a lot! If you'd like to suggest a feature or an improvement to the app, please write in to us at support@healthifyme.com. We'll do our best to incorporate the same. Regards, Team HealthifyMe"
1,1,2019-05-03T07:08:14.000Z,SubuhiS,Barely average,When you open the app it recommends you buy the Smart Plan - a daily meal plan. You cannot really see anything before you purchase the plan and once you’ve paid you’ll realise it does not provide any recipes just names dishes and gives nutritional information. For example the veg sandwich - what vegetables am I supposed to add for it to get the number of calories the app requires?,"Hey there! This has been passed onto our Product Managers to better the Product and to enhance your experience. Let us connect and discuss more, please send your contact details to support@healthifyme.com"
2,5,2020-03-24T06:53:50.000Z,Ashish Kole,Not leveraging all my Apple Health Data,"I see that there are a bunch of trackers included in the app. Many of these are already being recorded into Apple Health app using various other apps. Specifically, I record my water consumption using WaterMinder which in turn stored the information into Apple Health. My weight (and a bunch of other parameters) is recorded using Xiaomi’s Body Composition Scale and Mi Fit app, which in turn stores the same into Apple Health. My BP is recorded using Omron’s BP monitor and app, which stores the information into Apple Health. Most importantly, a plethora of information is collected by my Apple Watch and stored into Apple Health.","Hi Ashish, Could you please write to us at support@healthifyme.com so that we can assist you. Regards, Team HealthifyMe"
3,4,2020-08-12T14:12:39.000Z,myonecent,Great app. Some basic features could be free though,It’s great that we can track calories on this app and there are a wide range of Indian dishes here which really aren’t there on any other apps because most of them aren’t Indian apps. But it would be really great if the adding a custom meal is not a paid feature.,
4,5,2019-07-26T16:11:42.000Z,Jyo1004,"Not just an app, but the system of discipline","Though I practice yoga and vegetarian food habits & very saatvik lifestyle, I am not a health freak. When my body health went slightly out of control, I have downloaded this app; and within a week, Healthifyme has brought me back in track and disciplined my daily food regime. Ria is an excellent source of feedback and knowledge. Due to this disciplined approach, I have lost 8 kgs and went back to my normal self. Over the time, one enjoys entering details of what he or she has eaten, everyday and becomes conscious of what’s good and what’s not good, what are good calories and what are bad calories. That’s what I love about this app. Yes, I had very miserable time with the nutritionist. None of them were prompt and consistent.",
5,1,2019-06-15T05:47:21.000Z,Just PK,Tech and customer service is pathetic,On my first ever connect with them I became a paid user. Within 5 min...,
6,5,2019-08-09T05:31:38.000Z,thahir81,Effective if tracked religiously,"I have been using the app religiously for the past year. Initially along with few exercises, I was able to come down from 79 kg to 65 kg in 6 months. I track every food and drink that I consume. Exercises are also tracked. Keeping track and seeing the excess calories you tend to take some days reminds you of your target goal. This app surprisingly has almost all the food in the database, even the very rare ones you think may not be there. I recommend this app to those who plan to bring down their weight. I must also say that simply controlling your calorie intake alone will not help. You definitely have to do some form of exercises as well for faster change.",
7,5,2018-10-04T13:53:30.000Z,Odusk,One of the best apps for diet monitoring,"This is an excellent app. Has a huge database for all cuisines, specially with Indian names which is hard to find on so last apps or platforms. In short I can say this app seems to be google of food. Not sure about the calorie count and it’s accuracy though most of the dishes/ food seem to have the correct nutritional facts.",
8,1,2020-08-06T09:38:22.000Z,shilpa 1989,Pathetic service provider,"I am currently using there premium program but not getting proper assistance..each and everyone whether it’s coach or a customer care executive not giving proper guidance..if I start chatting with customer care executives they reply after long waits and also it takes whole day or sometime 2 days to resolve or reply for some questions and problems..top of them my fitness coach, whenever I schedule any call he will never be on time and only after 1 try they drop you a email that he tried and couldn’t reach me out..is this any kind of joke?..the call got disconnected after picking up the call and he is saying he couldn’t reach me..booking a call is also not a easy task..sometimes they are on leave and sometimes the call slots are not Available for whole week..investigating money on this was my biggest mistake..I will never ever subscribe this again neither recommend to anyone..",
9,1,2019-11-05T00:34:02.000Z,Siddharth953,Customer service is a joke,"A product is nothing without good customer service, and these guys take the icing on the cake for it. On top of multiple ""technical errors"",  the support usually replies after 10-20 minutes, and nobody is crazy enough to sit there for that long with an open screen. I paid 200 AUD without any clarification of the amount because on the app it said 143 dollars so i assumed i was paying the same. When i found out i requested a cancellation and refund as soon as i purchased. And there starts three days of stress and me wondering whether these guys just ripped me off of my money. No response from the customer service at all, no clarification as to where the hell my money is. As of this day, my i am still waiting for my refund. It has been three days since i requested the cancellation, which should be otherwise done on the same day if there was such a thing as good customer service.",
