id,rating,date_time,user_name,title,body,response
0,5,2018-10-07T13:03:20.000Z,Crmnvds,So elegant and visually appealing,"What a gorgeous app- that alone makes me want to open it and track. I love that it there's a water tracker, daily fruit and vegetable and weekly seafood tracker and that they give you a life score with details on what to improve each week. Sure, a few glitches like not currently syncing with Health app (I open both then close both and open once more then it tracks), and the recipes and sometimes the database doesn't have the exact food but does have something comparable, just takes a smidgen more work. The beta camera isn't the greatest if you have a deep dish as opposed to a plate but it sure is handy and easy enough to adjust. And there's not many recipes, but the ones available are easy to follow and pleasant to eat, plus how often does one follow a recipe to a T? I've tried other tracking apps (looking at you MFP) and all the ads and monotone color scheme make them too unidimensional- this is beautiful, too beautiful not to use. And the step counter that equates steps to what you burn makes me just competitive enough with myself to make me want to walk even more (I burned 1.5 croissants?!? Bet I can burn 2!). I'd like to buy the app developers a beer. Then go walk said beer off. I saw a couple of review that say the app is rigid in terms of certain foods like sunflowers, and though I appreciate the sentiment, I am using the app for weight loss and do indeed want to know if a food is high in caloric content.",Thank you very very much for your detailed feedback! We are glad to hear that you like Lifesum!
1,5,2018-02-10T14:31:26.000Z,BitsyJo,Beautiful! But could use customized notifications.,"This app is gorgeous! I love the articles and the recipes look absolutely scrumptious. The aesthetics alone are what make this the most effective app, and it is super smooth! Even on this old phone, where everything else crashes. Huge thanks to the devs for achieving this. Now, I turned on notifications expecting reminders to update my water or add my meals and exercise, which would be really nice! Sometimes you get busy and don't track anything; it is the LAST thing on your mind. I did, however, get constant reminders to update my weight. As someone who has a Lifesum of 119 (almost completely perfect! 😲), I find that a little unhealthy. No-one should be weighing themselves every day, especially if you already have an unhealthy relationship with your weight, body fat percentage, or food. Even on a practical level, it doesn't make much sense. So I turned off the notifications, but it would be nice to be able to select what kind of notifications we get in the future! Such as for new recipes or articles, and reminders in other areas of body and health maintenance. Or a way to change the frequency: Weighing yourself every X amount of days. If there is already a way to do this, I hope the settings for it become easier to find. ❤️ Thanks for reading!",
2,4,2021-02-06T23:22:22.000Z,Jackinzi,Beautiful and easy to use with some adaptability issues,"First of all, the visual design of this app is incredible. Other similar apps have designs that make it feel outdated, which in turn can make the data or plans feel outdated even when that’s not true. Gorgeous color scheme, icons, motion design, etc, and lots of great features like the barcode scanner and ability to quickly select previous days’ meals.","Thank you so much for your positive feedback and kind words, we have shared it with the teams in charge! Furthermore, we really apologise for the issue you are experiencing. Please feel free and contact us with details, step description and screenshots at contact@lifesum.com so we can start investigating your issue. Please also include phone model, OS and Lifesum version. Thank you and have a great day!"
3,3,2019-01-30T00:43:11.000Z,stuphunuu,Meal plans impractical,Just downloaded this today and got a premium subscription for 3 mos. Haven’t been able to do much but most of the features seem nice! I like that it tells you how good certain foods or meals are for you and tracks how “on track” you are. It puts it a step ahead of most other trackers I’ve seen.,"Thank you for sharing your thoughts on our app! The meal plans are designed to be a kick-starter to your diet and are supposed to last a short period of time. It is possible to swap meals throughout the week in order to eat the same meal each day, so there are small adaptations possible. Thanks again for your feedback and good luck with your goal!"
4,5,2019-10-15T00:23:50.000Z,Liccie D,Delete My Fitness Pal!,"I don’t normally review apps but this is one EVERYONE should definitely try. This is the first app that I’ve actually lost weight with.. it actually helps you develop better eating habits. I know that there’s a lot of hype behind My Fitness Pal, but I swear, after trying both, LIFESUM BEATS MY FITNESS PAL HANDS DOWN. Nearly everything since the app has gone through updates is perfect. The user-face is simple and easy to use, without the annoying ads other apps have. You can adjust everything to fit your personal goals, even if they go beyond what the app recommends. They even include a macro calculator that makes things easy to calculate. The grading scale is really helpful to see where you can improve. It takes everything into account, calories, macros, sugar, fiber... it’s pretty comprehensive. Also, I love that I can keep everything private, it’s not necessarily a competition against all of my Facebook friends. The graphs and diagrams make seeing long term trends quick and easy. One thing I would love to see is something that suggests meals or specific items that would meet the goals of the meal. If I have 200 calories left and haven’t met my protein, fat, or carbs goals, what can I add to my meal that fits my goals? Other than that, the developers have done an absolutely stellar job.","Hi, thank you very much for your 5 star rating and awesome feedback! We were very happy to read that our app has contributed to your healthier lifestyle and we truly appreciate you sharing your success with us. Our developers are collecting all feedback here https://bit.ly/2gB0KKd - we really appreciate all ideas and suggestions for improvement!"
5,4,2020-10-23T23:34:48.000Z,Kcarrasco09,Fun Macro Tracker,"I really love the design of this app and that you can follow plans that will adjust your macros for you. I also like like that you can capture a photo of your food for each meal, however, unfortunately, this functionality doesn’t work most of the time. Once I take a picture it doesn’t show in the app right a way, most of the time I have to take the pic a couple of times, close the app, reopen it and then the pic may or may not show up. So it would be nice if that could get fixed. Also, there isn’t an easy way to copy a meal from another day to a different meal. So if I ate something for breakfast yesterday, there’s no  easy way to copy that to lunch the next day. And when searching for foods, your recents don’t come up. For example, if I wanted to add a food and it’s not showing in my most recent but I’ve logged it before, it would be nice to have it so up in my search when I go to search the food in the search bar. Another thing this app is missing is the ability to see what foods were highest in each macro. So if I wanted to see what foods I ate that day where highest in fat or protein.. Other macro apps have this, which was nice because then you could see what foods may be bumping up a macro too much or vice versa. Overall I have enjoyed this app and really like the design. However there are a few functionalities that are missing.","Hi there, thank you for the valuable feedback! Please feel free to leave suggestions for improvement on our UserVoice: https://lifesum.uservoice.com. Regarding the photo feature please feel free to email us more details directly at contact@lifesum.com so that we can take a closer look at the matter. Thank you!"
6,5,2020-05-16T12:18:16.000Z,Hwbfowuhrofi,"Awesome, but there are some errors.","I’ve been using this app for as long as I can remember and I recently just upgraded to the Premium, which I love! I love the aesthetic of the app and the visuals and colors it uses. I love the wide variety of recipes, even thought I don’t use them that much. I love the weekly rating I get so that I can look at my past week and see what I need to improve on for the next one. However, there are a couple things I find I have trouble with. The main thing is that when I go to update my weight, I check on it the next day and it says “Nothing lost, nothing gained.” So whenever I update my weight and maybe i’ve lost a pound or two, i’ll update my weight. But the next day when I go to look at my weight it erased it or changed it back to the starting weight. It does this almost all the time and is pretty annoying because I have to delete the starting weight that it put it back on for that day, at the same time deleting the weight that I put in. Another thing that’s minor is that when I go to take a picture of my food, sometimes it doesn’t work and the picture never shows up. I do really love this app but I don’t know if anyone else has the weight changing itself issue or not.","We apologize for the issue you are experiencing. Please feel free and contact us with details, step description and screenshots at contact@lifesum.com so we can start investigating your issue. Please also include phone model, OS and Lifesum version. Thank you!"
7,5,2020-10-03T16:56:37.000Z,juneauTracy,Love the app as is but would also love upgrades,"I started using Lifesum to track my intake.  It is easy to use and very visual.  However, there are a couple of upgrades I would like seeing.  First, I would like to see Fat broken down into Total, Sat, Monounsaturated, and Polyunsaturated.  I would also like to see Carbs broken down into Total, Fiber, Sugar Alcohols, Added Sugar, and Net Carbs.  (Currently, the app simply subtracts fiber from total carbs to calculate net carbs.). Also, since I work with a functional medicine professional who is interested in seeing my intake, I would like to see the ability to export data.  As I used to program (albeit mainframe),  I know how long upgrades take to implement; it is possible some of these are already in the works.  They were meant only as suggestions.  Long story short, I am very happy with the app as it is even if it misses some of my personal desires.  Thank you for the work you put in to bring such a useful app to market.  Oh, last but not least, I think it would be better to let users know that full, continued use of the app requires a subscription.  The cost is nominal for the usefulness, but it was frustrating when I first found out about the cost after downloading the app.","Thank you so much for your valuable feedback, we much appreciate it! We have sent your feedback to the responsible teams for their knowledge!"
8,3,2020-08-19T15:27:57.000Z,foodeats,"It’ll get the job done, but it could be better","Calorie tracking and dieting options work well and seem to cover a wide variety of needs. It is cumbersome to find the food and/or measurement needed for accurate tracking at times; requiring the user to do some creative math or mental gymnastics to figure out what should be entered. I paid for a membership and feel it’s okay—I won’t likely be renewing. The recipes offer some tasty and decently filling alternatives, but are HORRIBLY written, as often as not. If you’re not familiar with finagling and “figuring out” a recipe or if that type of this is frustrating, this is not the app for you. This feels most functional for a few scenarios: first, the casual user who already has a decently healthy understanding of food, quantities, cooking, etc., and is just looking for a little guidance, new ideas for recipes or to literally track calories. Second, any of the diets, I’d bet, would work if you’re a person who can follow the recipe EXACTLY (I follow “classic” and “vegan” but would struggle with both if I didn’t already have experience eating/cooking alternative foods).  This WOULD NOT be for the user who doesn’t really know at least some about healthy eating (novice) nor would it be for the serious weight loss/health person (expert) as it just doesn’t support specifics well enough.",Thank you for the feedback! Please contact us at contact@lifesum.com with more details about your experience so we can understand even better what you do not like about the app.
9,1,2019-11-23T23:17:36.000Z,BaeNextDoor,Support unavailable,Loved the interface of this app and found it easy to navigate my way around pretty easily when I did use it. The one star rating is due to my recent experience today. I have tried several times now to contact support through the Contact Us (in app chat) link and it continues to crash. The app is updated to the most recent version and so is the software on my phone. Have tried to resend the message several times and the app keeps crashing. I want to cancel my subscription and plan on deleting the app TODAY. I purchased the Premium version of the app about a year ago at a discounted rate during a promo offer they had at the time. They seem to have it set it up where you subscribe to their Premium services outside of iTunes so the subscription is actually processed through their own website. Renewal dates or expiration dates of said Premium services are nowhere to be found anywhere in the app. They then attempt to auto renew it later on at almost $50 USD with no communication beforehand via email or otherwise that they will be processing this amount. I did not even locate the option to downgrade my account or cancel anywhere within the Settings option within the Lifesum app. Luckily my bank caught the attempted transactions as fraud and did not allow them through. I’ll stick to apps that allow me to manage my subscriptions within iTunes to avoid headaches like this.,Thank you very much for reaching out to us!
