id,rating,date_time,user_name,title,body,response
0,5,2018-05-07T06:36:58.000Z,doublenickel_55,My macros app,"I’m not much of a review guy.... BUT, I must say I am very happy with this app. I never liked its competitor(s) interface, however I found “my macros” to be very easy and perfect for me. The best part though, is that it has a small business vibe. There has been two occasions were my data has been lost, I’m not concerned with the why. However I’m very impressed with the how, and by how I mean how they resolved the problem. Mind you, I left the account dormant for a couple years, so it’s no surprise that updates happened or whatever else takes place in the app world. All I know, is both times I emailed, and both time Jason himself responded and found a way to correct and reload all of my saved data, much of which was manually input. SO... why?? I don’t know and I don’t care. All I know, is the app is good and nothing’s perfect, but IF there’s a problem I can count on them fixing it. And that’s all I can ask for from any professional. So thank you and yes I love and recommend this app over others.",
1,2,2019-12-12T22:16:32.000Z,Shannondaly,Have to go back to MFP.,"This app is so out of touch.  I eat pretty much the same thing every day, and when I type in egg, I get something like “ famous dans hot dog” ( obviously just an example). I’ve been shocked at some of the suggestions it gives me when searching food. Like HOW! HOW a did you come up with THAT!? I hate the 60 dollar a year price tag for MFP.  But, I have to go back for more accurate accounting of my food.  This is way too much work to custom this, and scan that.  And the scanner. OMG, the scanner.  Come on, people.  Make this work better. I want to live for this app. I just can’t.  It’s too time consuming to log, and half the time the calories are way off.  The most recent thing I logged is 190 on the package. It shows in the app being just over 150 with all of the same macro values, just not the calories values.  And as a fat girl in recovery, this is vital for my own personal success.  I’m not saying be like MFP, but I am saying sort yourselves out.  There’s no reason I should search for one thing, and get a list of 7000 other things that are no where near what I’m looking for.  The positives of this app.   Everything is clear, it’s easy to set your goals, the look of the app is pretty amazing, it’s not cluttered or ugly. It’s a nice looking app, and even despite the search/logging issues. It is fast, and when it’s not a nightmare to try and look for something that you want to add to the list of things you just crammed in your pie hole, it’s a nice app.",
2,4,2019-03-06T02:12:51.000Z,rockisnourishment,The best nutrition tracker I’ve used,"This app is well worth the price if you’re serious about tracking your nutrition. The level of detail and customization available is vastly superior to MFP, and the fact that it tracks net carbs for you automatically is fantastic especially if you’re following a keto diet. The food database is quite sparse, but honestly entering your own food is the best way to be accurate anyway. In reality even though MFP has an enormous database, it doesn’t have access to the usda nutrition database so most of what you find in there is inaccurate. The only problem I’ve found with MM+ is that sometimes the search function in your own favorite foods just stops working, and you have to close the app and reopen it to get it to work again. It’s a quick and simple fix but it’s annoying nonetheless. Also, many times scanning barcodes does NOT yield accurate food information seen on the food label itself. This can at times be painful to modify the food manually to match what the food label shows. Especially if you’re hungry or pressed for time. Hopefully the devs will solve the two little issues, which would make MM+ even better than it already is.",
3,2,2018-01-17T17:10:33.000Z,Amg_10,Frustrating,"As some of the previous reviewers have mentioned, the barcode scanner is hit or miss. I have contacted customer service about this several times but have never gotten the issue resolved. When creating a recipe, and using the barcode scanner, you are unable to filter your results by serving size or brand. The same is also true when creating a recipe and searching for a single ingredient. I have also contacted customer support about this issue, but it has not been resolved and the response was simply that they are working on it. The food database is not comprehensive. I often have to manually enter ingredients or create items which is frustrating and takes a lot of time. As others have also mentioned I, too, feel like I should just switch back to myfitnesspal, but the things that I do you like about this app are that you can adjust your macros by the gram, have different macro goals for different days, or that it also includes more meal options and simply breakfast lunch or dinner. However now that I have gone back to consistently tracking my food after taking six months off and realizing that these issues have not been fixed I am definitely frustrated by the clunky features and the inability of the barcode to work consistently.",
4,2,2017-11-25T22:09:29.000Z,tp2017tp,Not worth the money,"I purchased the app about a year and a half ago, previously being a MyFitnessPal user. The app had a lot of promise seeing as you could use as many meals as you want and set customizable goals. But with the promise of updating a larger consumer database the developers have seriously neglected their customers. I’ve been waiting for months on end for the database to become better and nothing while myfitnesspal has moved past the three strict meals. I strongly regret my purchase and would switch back over to myfitnesspal if I didn’t already log my weights for the past year in this program. It’s been a huge pain to manually enter all my food. An app is suppose to make your life easier, logging food on myfitnesspal with their database takes less then two minutes. While having to manually enter and create a new food item on macros+ can take 5-10 minutes. I find myself using myfitnesspal’s database to create foods on this app, I’ll probably switch back over soon and just bite my ego and take the loss on the purchase and just relog my info when I have the time. If your stuck between the two apps stick with myfitnesspal, this app has been a headache and a half as regular tracker.",
5,2,2017-11-13T16:53:20.000Z,Like!!!!!!!,Not worth the money.,"I have been using MyFitnessPal for years, but wanted something with more customization. I love that this app allows me to set different macro goals for different days, and has more than just the typical three meal set up.",
6,4,2020-07-17T03:00:18.000Z,SSGDaax,Fantastic app with room to grow,"I’ve checked out a couple different macro tracking apps and I find myself returning to this one. Easy to use once you understand the different functions, and I get into a nice rhythm of tracking my food as I am preparing it. The “recent” and “frequent” tabs make for even faster food tracking, especially if you are like me and most of your diet consists of a few staple foods. I highly recommend having a digital kitchen scale, as it takes the guesswork out of weighing/measuring your food.",
7,4,2017-12-06T16:33:30.000Z,Krn2103,Keeps you accountable,It’s a great app for those who know that calories don’t matter as much as macros. It’s simple and easy to use. Food data base is not as large as MyFitnessPal however the more people use it and I use it the database is expanded and a lot more accurate than MyFitnessPal.,
8,1,2019-12-12T03:45:19.000Z,thatxgirlyouknow,I HATE this app!,"I started using this app at the recommendation of my personal trainer. I have used myfitnesspal and the Fitbit food tracker in the past and wasn’t particularly pleased with either of them, but this app is unbelievably, frustratingly worse - and it isn’t free! I thought the barcode scanner would be a nice touch, but even if it can find my food, it never accurately depicts what’s on the label, so I end up having to manually enter everything anyway. And the food database is painstakingly small, even when you create an account and pay for the app. I also hate that unlike myfitnesspal and the Fitbit tracker, you can’t change the measuring unit, and nearly everything ends up in grams. Unless you have a food scale handy literally all the time, you can’t estimate how much you’re eating when you have to measure in grams. And the personalized macro goals the app created for me - which are supposedly the reason why this app is so heralded - were so unattainable, even at the least aggressive setting (e.g. 200 grams of protein per day - I’m not a bodybuilder!) that I ended up setting my own anyway. Do yourself a favor and don’t waste your money on this garbage app.",
9,1,2018-12-29T23:01:56.000Z,Dave Millions,General letdown: rating is due to age,"As most reviews will tell you; this app is a general letdown. It is inflexible in portion selection, it requires you to pay a monthly fee for basic TDEE calculations, the scanner and label reader barely work, and BY GOD is the search awful. I mean, there is literally NO natural language parsing. Let’s say in MFP or MyNetDiary you want to search for some food from some brand. You’d type in “nuggets McDonald’s” and probably get Chicken McNugget as one of the top results. Assuming you had the foresight to type in the proper, exact name of what you want in this app. You can only search the food, then use an antiquated list to navigate poorly to which brand you might want. Even the universal search is pathetic. Worst of all: the support is terrible. I had a log in issue that prevented me from using the app again, which thankfully led me to MyNetDiary in the interim. It took 2 weeks and multiple check ins on my behalf just to get the log in issue resolved. This should have been a 2-3 business day issue at most. Look elsewhere. They keep the old reviews up because they’re from a time when this actually was one of the better macro apps.",
