id,rating,date_time,user_name,title,body,response
0,5,2020-08-18T10:57:29.000Z,J in Portland Maine,Love this app,"I started with Noom but tracking my food was the only part of that program that seemed useful to me and I didn’t like it much even for that. With Noom there were a lot of clicks required and irritating pop up messages following every single food entry. So I decided to for search for a free app just to track food. Next I tried MyFitnessPal. That lasted less than a day. Then I tried MyPlate. I’ve been using it for about a week and I’m loving it. It’s easy to use, clean interface, minimal junk, ads, or other annoyances. Plus it has features I didn’t even know I wanted like showing how close my intake tracks to my goal percentages for each macronutrient. The goals are also nicely customizable. I’ve already lost a couple pounds. Now I’ve signed up for one of their meal plans which is something I wasn’t even considering before trying the app. I’m super happy to have a grocery list of healthy foods all prepared for me (big time and effort saver there) and to try some new recipes this coming week. My only request would be if they could offer the option to double or quadruple recipe quantities since I’m cooking for a family. But obviously I can do that myself. At the price of free this thing is a heck of a deal. 5 stars. Update: The first day’s meal plan arrived. The meals didn’t appeal to me so I’m probably not going to do that after all. Still loving the app though.","Hi J! Thanks for your feedback! We’re glad you are enjoying MyPlate. We're constantly looking for new ways to improve our site and apps, and we love getting feedback as it helps guide our process moving forward."
1,4,2020-07-11T11:41:52.000Z,RP 1015,Just Learning,"I am one of “those people” that never had to worry about my weight...until I hit 60 and quit smoking. Because I used to be able to eat whatever I wanted, whenever I wanted, I never understood the correlation between food and gaining weight. Fast forward five years and I packed on the weight. I’ve been living with it for three years and decided it was time to start losing some of this again. I knew any fad diet was not going to work for me, so I decided to start paying attention to what I’m eating and how much I’m eating. Not having any idea what foods are high in calories or carbs or proteins, I decided to download an app to help me. After reading the reviews on My Plate I decided to try it and I was absolutely amazed at how easy this was to do. Not only am I able to keep track of my portions (calories), but I am learning which foods are high in carbs, fat and protein. I am almost 4 weeks in and have lost 4 1/2 pounds. The only thing I don’t like about it is how the list of food I have entered is saved. If you originally enter it for lunch and another time do you want to have it for dinner you have to search for it in the list under lunch and then add it to dinner for that day. I also wish there were some sort of organization to it so you could sort them alphabetically and be able to delete ones that you know you’re not going to use anymore.  If there is a way to delete them, I can’t find it. Other than that, I think this app is well worth it.",
2,4,2020-09-01T18:58:29.000Z,Tonioo U,More Accessibility,"I have been using MyFitnessPal for a long time and was looking for a refreshing new experience. Came across your app and actually I think I prefer it more than MyFitnessPal, the concept and it’s compatibility with the iPhone’s software makes me (an iPhone user) want to rather use this app instead of MyFitnessPal. I want to make this my go to app except for one feature, the fact that the color choice of the app is in relation to your iPhone being in light mode or dark mode. As someone who prefers having my phone in dark mode, when I opened the app and saw the screen dark, it was a turn off for me. Some people may think otherwise and prefer the dark mode, but to me it gave a depressing vibe. As small as this feature is, if I’m going to use an app for every meal to count calories I for sure want it to look appealing to me. I think a simple fix for this would be to give the person the option to choose whether or not they want it to be light or dark in the app settings, and to not have it based off your iPhone settings. As nit picky as this critique is, this one feature would make me switch from MyFitnessPal to your app in an instant without hesitation, but until then I’ll be staying on MyFitnessPal solely because of the ability to have my screen continue to be white, even when I’m in dark mode. This is a great app, but adding in a little personal accessibility would blow the competition out of the water.","Hi Tonioo U! We very much appreciate your feedback and I have passed along your comments to our product development team.  As we are always adding new content and features to the app, we love getting feedback as it helps guide our designs and tools moving forward."
3,5,2018-11-15T23:53:55.000Z,Baby2cakes,Husband lost 70 lbs just tracking calories,"I was using a different app that my PT was using. I told my husband to get an app like this. Once he got MyPlate and he was tracking his calories he realized more of what he was eating. He was better able to avoid foods that were full of empty calories and keeping track of his foods helped him see what was making him sick and what didn’t. It tracks carbs, sugars, fats, sodium, and proteins. (More than this but that’s all we use). Once he realized how much he was actually eating he started making better choices a little at a time. He wanted to see how much he could lose before he started working out and he quickly lost 60lbs. He found that he was eating more than 10,000 empty calories before. Now he keeps it to under 2,000net calories. (It subtracts calories burnt that are tracked with his iWatch- I have an iFITNESS. Which is much cheaper and it syncs to this app as well). He loves it. It’s like a game to him.  I tell everyone about this app because I’m so proud of him. Literally, all the motivation he needed was to be shown how much garbage he was eating. Now, because he’s eating less processed sugar, his sores heal faster, he’s off his gout medication,($200/month) and we’re hoping he’ll be off his bp meds next visit. His teeth are in better condition without all the soda. He can’t even stand to eat all the junk because it makes him sick. LOVE THIS APP!",Wow!! Great review and great story! We're so happy for you and your husband. Thanks for sharing :)
4,5,2020-11-12T05:11:37.000Z,TaylorMarie6136,Saving my future,"Before I had gotten this app, I seriously didn't feel confident in what I was eating at all. This is is saving me and here's why. I'm 14. Before you start yapping about how I shouldn't be dieting and blah blah blah, I have very good reasons so try to hear me out. Both of my parents have very bad health and struggle with their weight a lot. Cancer runs in the family pretty strongly, and my father has hearth issues. My mom is always in pain in her joints and we are pretty sure she has a type of arthritis. I'm currently 158 pounds which is a lot- especially for my age. If I continue eating the way I do, living the way I do, or drinking as little as I do now...I could potentially not live a long healthy life. If I eat healthy and I workout everyday and try to drink 80 oz of water, I think I would actually be a healthy human. Will it stop me from cancer, arthritis, and blood pressure issues? Maybe not, but when you are healthy and living a healthy lifestyle, I believe you have a bigger chance in survival. I have been using this app everyday for about a week and it makes me really happy to say that I am losing weight as we speak! My skin looks really nice and I am finally feeling confident in my body. I am so happy to have this app, it's a life changer and a life beginner. I love that it doesn't have pop up ads either. Thank you creators ✨💛✨.",Hi there! Thank you for that awesome review. We're glad we can be a part of your commitment to a healthy lifestyle.
5,5,2020-08-07T01:03:50.000Z,Djvyanksfn,Great app! Even without purchasing the subscription,"This app is great! I have been overweight for the last 20 years and I never thought that I would be able to lose the weight.  I downloaded this app with pretty low expectations. After using it for a few days and seeing everything that it helps you keep track of, I was addicted. Between accurately tracking my caloric intake with this app, and eating minimal processed foods, I have lost 40 lbs in about two and a half months and I am officially in a healthy weight range again! You can set a goal of how much weight you want to lose (or gain) and it will show you your daily calorie goal. It has a great graphing function that will help you keep track of progress for the last year. It tracks your daily calories, weight, BMI, carb intake, sugar intake, and so much more. Watching the line on the graph go down for the last few months has really kept me motivated. I couldn’t have lost the weight without using this app. If you are serious about keeping track of your diet and becoming healthier, I highly recommend the free download. I’m still using the free version, but I am so impressed with the results, I am going to purchase it tonight to see all of the other stats that I can track.","Hi Djvyanksfn! It's great to hear the results you've had using the app. We're constantly looking for new ways to improve our site and apps, and we love getting feedback as it helps guide our process moving forward."
6,5,2018-01-09T15:51:52.000Z,Marcineus,Good,*Updated* 1/9/18,"Hi Marcineus! Thank you for your review and feedback. We have identified a bug with the green pop up button that you're using to create a custom food. The team is working on a fix for this issue right now! In the meantime, please follow the steps below to create a custom food item:"
7,3,2018-07-18T05:12:22.000Z,Gwendial,"Easy to Use, mostly","This app provides a lot of features and resources! You can keep track of calories, consumption of water, weight, calories burned, etc. They also have a Stronger Livestrong meal plan that includes work outs as well! I’ve just started it, and I’ve felt great so far! But now the server has seemed to entirely crashed. I can’t run anything on the app. I couldn’t log into anything or pull up my meal plan at all. They also email you your meals for the day and if you click on the image, it’ll take you to the recipe. Now when I click these links, they are unable to load. I have fantastic connection at my location so I found this odd. My phone and the app are entirely up to date, so I tried turning my phone off and on and uninstalling and reinstalling the app. Now I can’t login, sign up, or use the “forgot password” feature. Nothing will load, just keep getting a network error.","Hello! Thank you for your feedback. Due to an outage at our data center, MyPlate experienced some functionality issues. This has been resolved and the current app version should be 100% functional. Thank you for your patience during the time our team was working on fixing the problem. We apologize for any inconvenience this may have caused. Your wellness means so much to us and our team is committed to your ongoing health and fitness success. If you have any further questions, please reach us at support@livestrong.com."
8,4,2021-04-19T04:20:33.000Z,Peakseeker88,A decent tracking app,"I like many of the features of this app. It offers good macro tracking and some vitamin/mineral tracking. It’s simple to enter your food and I do find most of the products I use are listed, with a few exceptions. The search feature is lacking a bit. A lot of times I can type exactly the name of a product into the search and it won’t find it, and sometimes just pulls up weird totally unrelated stuff. Often I have to scan the barcode to find things. Overall I think the use of this is generally fairly intuitive and more simple in layout than similar apps like MyFitnessPal. It took me a minute to figure out the excercise tracking, which I think could be set up a little better (for ease of use, the same setup as the food logging) but it’s not hard to use.",Hi there! Thank you for your in depth review and feedback and I have passed your comments to our Product Team.
9,4,2019-05-06T20:11:43.000Z,PhotoMusicLED,Starting again - working better now,Update - so far so good. Apple Watch Activity tracking is good. I lost the meals I had created and haven’t tried it again. I had written to app support and they responded - a wonderful sign!,
