id,rating,date_time,user_name,title,body,response
0,5,2020-02-15T15:28:16.000Z,cyber553,By far the best glucose level tracking app!,"I used an old app for many years but eventually it became incompatible with latest iOS and I had to change. I tried 6 different apps and this one trounced the competition at the time. That was 3 years ago, and since then, the app has gotten better in many ways.","Hi! Wow, thank you so much for the great review. We are so glad you found us and that you have stayed happy with our products and service. Keep up the great work and we've got your back!"
1,5,2020-06-18T16:40:25.000Z,Doberman_Warrior,Fabulous app for all types of diabetes,First: premium version offers unlimited strips for $49 per month!!!!!,Thanks for the awesome review!! :)
2,5,2021-06-17T13:29:59.000Z,Lambsmurf,Incredible App,I’ve been looking for an app like this for a long time. I had one similar a few years ago but for some reason they discontinued it. The best thing I can say is not only how easy it is to use but that it gives you a A1C average. I won’t know how accurate (close) it is until I go to the dr in late July for my Diabeties (type 2)check up.,
3,5,2020-12-31T17:52:47.000Z,Rodfle,Make tracking easy,New to being diabetic but this app tracks all my blood sugars if you have the Apple Watch it connected to their exercise app and keeps track of that you can log your food quite a heavy little program and if you want you can actually pay for the premium version which gives you unlimited test strips.,Hi! Thank you so much for the positive review! We are so glad you found us and that our app has been helpful for you.
4,4,2020-12-07T22:56:59.000Z,laura_lyonhart,Really good! Could easily be great.,"I’ve been using this app (I pay for the Pro subscription) for over a month now to track my glucose, diet, supplements, and medication for gestational diabetes. I love that it integrates with my Apple Health so it automatically shows how much I’ve exercised, the steps I’ve taken, and even confirms my glucose readings as my Contour Next app also integrates with Apple Health. The automatically generated reports allow me to easily keep my midwife updated on my readings. My one and only complaint and the only reason I’m docking a star is this: why can’t I see my scheduled reminders and update them? Once you input a meal the app allows you to set a reminder. However, once it’s set it does not display that you’ve even set one anywhere within the app or allow you to edit it. I’d also love to be able to set a daily reoccurring timer within this app for my supplements and medication since I also track it here, but there’s none to be found. This would be a really simple add that would take this app up to perfect!","Thank you so very much for your awesome review! We're happy to hear the app has been helping you! We'll be sure to share your feedback with our developers, too."
5,5,2019-11-28T18:06:25.000Z,msantiago1256,I’m simply blown away,"When I was diagnosed with pre-diabetes I went into data overdrive trying to get a hold of the problem and find a solution that works for me and my lifestyle. One of the key things I wanted was a solid, practical, and well designed tracker to help me paint a real world picture of my blood sugar daily. Of course the App Store doesn’t lack for applications and I downloaded nearly a dozen before settling on mySugr.",
6,3,2017-10-27T04:31:58.000Z,awargo4,Easy to use; needs a lot of work,"This app is really easy to use, which is great because I really don’t have any desire to spend my time recording this data. The layout is relatively streamlined and the ability to customize the fields is nice. In a free app. Since I paid for the pro version, I expect some better features:  1) the ability to get rid of that infuriating monster. Stress raises blood sugar. Stop annoying me with that thing. 2) The developer team could really use some help from people skilled at data visualization. The visualizations aside from the color coded entries are useless.  Add better graphs. 3) Add the ability to customize the tag tiles. And why the hell is menstruation on there?  The app knows I’m male. Spend a little time having the app respond better to user data. 4) Get rid of the advertisement on the report in the paid version.  And make it easier to get to the reports. 5) Take advantage of the fact that everyone with an iPhone expect visualizations to be better and more detailed when we rotate the phone. This app does nothing to take advantage of that capability.",Thank you so much for the feedback. We've had a chance to make some pretty awesome updates since October but we're always looking to improve and your suggestions will be passed on to our developers.
7,5,2019-01-12T23:19:48.000Z,sunburntbrain,This is the best diabetes app ever! GET THE BUNDLE!,"I was a diabetic with little control. I had given up. I ran into this app and it all changed.  I started using the app and it was fun. I wanted to use it. I bought the bundle that came with the Accu-Chek Guide Meter and UNLIMITED STRIPS. I started poking my fingers all the time! Wanting that control. My A1C was 9.6. I learned that with more knowledge came more control and an interest in a diabetic diet and lifestyle changes that have helped me noticeably lose weight. I can’t wait to see what my next A1C is. I’m sure it’s going to be a lot better. Oh I forgot. With the bundle comes a Diabetic Educator right in the app. Well worth the 49 dollar investment each month. No appointments needed just message her in the app. If you combine the bundle, a new meter lance and lancets all you can poke strips and an educator you’re making money to save your own life. This was the best medical decision I’ve ever made. Tame your monster! Get MySugr today!",Hi! Thank you so much for the positive review and for sharing about your experience with the mySugr Bundle! We are so glad to hear it has been such a great experience for you. Keep up the great work and we've got your back :)
8,5,2019-02-04T12:55:31.000Z,BigV1952,Helped me drop my A1C from a 11.5 to 5.5 in six mos!,"When I first got diagnosed it was really scary, and overwhelming  time. This app gave me something to concentrate on, it really helped me to log all of my eating and glucose records easily. Six months later now, things have gotten better for me and my need for logging every meal became less and less necessary and less testing too under Dr’s advice. I still enjoy doing a daily log in the morning, I enjoy the apps giggle when I log a 98 it’s a great way to start your day on a healthy step in controlling your sugar . I feel every newly diagnosed person should use this app, the free one was great, but the paid gives you the  photo option which I use to take a picture of my meter Incase I key it in wrong. Essentially this is a very important tool for recording your monitoring of your blood glucose and diet intake to help you lower your A1C.",Thanks so much for the awesome review and feedback!! The free version is awesome! The Pro version offers more logging options and is just $2.99 a month...less than a cup of coffee :)
9,4,2020-10-22T13:42:57.000Z,Kellymomof3,"Awesome app, pricey","We have enjoyed using this app to track our newly diagnosed t1 son. Over the three weeks we have been using it, we were able to earn the pro version by “taming the monster “ by logging 50 points worth of activity a day, for a week. This was not difficult as we logged every BG check, the insulin he received, what he ate and when, and how active to was. It has been a great help to us to have this format to do it. That hearing said, if we didn’t earn the pro version by our frequent use, there’s no way we would have bought the pro version ourselves. Everything with diabetes will nickle and dime you and this app is no exception. But we would have kept using the limited version indefinitely because it is totally adequate for our needs and we enjoyed that version as well. I’d recommend this app to anyone looking to keep good track of their or their child’s diabetes, especially before you are approved for and using your CGM or pump.",
10,4,2018-11-14T06:48:33.000Z,joanwolk,"Great app, missing one convenience for gestational diabetes","This app is great overall. I’m using for gestational diabetes, and at my first meeting with a diabetes counselor, they were really impressed with the data report mySugr generated. I love that it syncs data automatically and wirelessly from my glucose tester.","Hi, thank you so much for the positive review and the very helpful information. We are glad you found us and have benefitted from using our application. We really appreciate the points you brought up for how to improve our app and we will definitely consider them as we are constantly working towards improving our product :)"
11,5,2019-01-28T08:23:56.000Z,kayt.e.k8,"Super easy, very grateful!",This app is crisply legible w/out the add-ons and is also free from advertisements! Had this app on my droid and have recently switched back to iOS and it performs exactly the same way between both systems. Type 1/ accu check- aviva; use basic edition of app. Love the update options but currently have great insurance and endrocrinoligical care. Bug issues and/or crashing/freezing have never been an issue between both systems. Incredibly grateful to have found this app as any other app I’ve used in the past will allow about ten logs before demanding a monetary upgrade. This app allows everything you need for free and saves unlimited logs since account setup. This tells me that whoever created this app finds that the health and well being of a diabetic means more than monetary success; otherwise they wouldn’t offer SO MUCH FOR FREE! Thank you thank you thank you!,Hi! Wow! Thank you so much for the positive review and all the positive feedback. We are so glad to hear that our app has been so helpful for you and that your experience has been so great so far! We are so happy to be able to offer such a great service for free and we are so glad to hear you appreciate it. Keep up the great work and we've got your back!
12,5,2019-06-08T17:04:02.000Z,PennRev,Thanks for making a more abundant and long life possible!,Really enjoying this app!! For the first time in 20 years my diabetes is under control!  My doctor LOVES the detailed reports! I love the ease of operation and entries. My eyesight is improving and I am losing weight! I do not feel hungry all the time and I have a tangible way of seeing my progress.,
13,5,2019-07-30T03:44:02.000Z,ViiViiV,My most used app.  Love it.,"I use this for tracking glucose, blood pressure, carb intake, and a1c.  I use another app to log my food and calculate carbs and I manually enter the carb values in mySugr.  I also use another app for tracking activity and for tracking my weight, and mySugr imports this data with no problem via Apple Health.",
14,4,2019-07-21T14:34:21.000Z,HailieC,Better than paper,"When my doctor handed me a piece of paper, I searched for something better and found MySugr. It tracks almost everything I need. I was surprised that my diabetes educator had not heard of it. I like that it estimates the A1C and the monster is cute. I like the idea of the package but I don’t need unlimited test strips-just the coach. Not worth paying extra for. To make it perfect, integrate with MyFitnessPal so I don’t have to enter meals in 2 places AND integrate with Freestyle Libre. This is such a need that I suspect you could charge a reasonable amount for it. I rarely use my Accucheck meter which does integrate. I would also like the ability to enter my own medicine not on the pre-defined list. The last thing I would like is the ability to rearrange or hide some of the icons. I rarely use some and have to go over 2 screens for those I use often. Great concept just keep improving.",
15,2,2021-08-09T23:15:19.000Z,NonnaAsh,Could be so much more useful,"If this is the only app you use, it’s possibly adequate. If you track with multiple apps, it’s next to useless. CGM Data is not entered into the logbook other than as a graph. This means none of that information is used in estimating A1c, or other parts of the app. My meters (Accuchek Guide/GuideMe/Connect) often fail to import readings, necessitating multiple attempts. It would be easier to just keep a paper logbook, which is what this app is supposed to eliminate and make easier.",
16,4,2020-05-04T13:20:45.000Z,Mllertyvy,Great so far!,"I’ve only been using this app for about a week.  It’s been working well, however I’m confused about the difference between the free version and the pro version. What are the differences between the two? What are the added benefits of the pro version? I Love how well it syncs with my AccuChek Guide monitor.  I don’t need a coach but that’s the only upgrade option offered to me in the app ... so I’m not upgrading because I’m afraid I’ll loose all my other data!  Also, I like the challenges, but they can be confusing to figure out.  Like the Greenhorn one ... I keep thinking I’m doing it correctly ... but then it’s telling me I’m failing!  Over all a solid app ... but user direction could be improved. I also love the reports feature and how easy it is to use the app — it’s nice that the free option is so robust too (as I mentioned above, I’d upgrade but I’m afraid of loosing my data).",Thanks for the review!! :) Here's a link where you can find the differences between the mySugr basic and pro versions https://www.mysugr.com/en/diabetes-app
17,3,2019-08-08T20:57:40.000Z,BlackbirdFlying13,What happened?,"I’ve been using this app and the subscription service since my diagnosis in 2015. Overall it’s been an amazing app for my needs BUT in the last few months it’s become really buggy, unbelievably slow and crashes all of the time. I turned off it’s access to apple health thinking that would help as it often cant seem to  connect, but nope...still slow like 1999 dialup. It’s a dilemma  because I have so much data there that I don’t want to switch to a different app but it’s getting super frustrating to deal with a long wait for every field I fill out, then a crash that makes me have to fill it out all over again...all while my food is getting cold. I have a iPhone XR that’s caught up with all updates and this is the only app on my phone that seems to have a problem so I don’t think it’s my phone. I don’t know. I do love this app otherwise though so I’m hoping something gets worked out.",
18,5,2019-10-31T01:04:58.000Z,nbette,"Excellent, but","This application is excellent. I can use it to track symptoms, meals, and activities throughout the day. I wish I could use it as my main app to have everything consolidated, but I’m disappointed that I can’t link the Fitbit app or the device, the Cronometer app, or MyFitnessPal app. I also wish that it had more options for people with hypoglycemia, such as reactive hypoglycemia or dumping syndrome. It only has different types of diabetes as options. I’m also great value to pay $49 for the premium membership considering the unlimited test strips that will pay for themselves many times over if you need to test multiple times a day. However only Accu-Chek is supported. The cheaper memberships are good too and reasonably priced. In general, this app is fantastic.",
19,4,2020-10-10T20:41:25.000Z,Auntie mom,User friendly...for the most part,"I was diagnosed only a few months ago so I knew next to nothing about diabetes let alone the management of it. This app is pretty straight forward, easy to use, and most importantly (to me), it doesn't take forever to enter your data. I like the feature that allows you to list medications and how many pills you're supposed to. The downfall of that feature is that it is not the easiest to set up and the instructions aren't clear. However, once it's done, all you have to do is scroll down to the medication and # of pills. By the way, if you have more than one medication,  you can't use the ”next” tab. You have to use the down arrow (to the left of the ”next” tab) then select the next medication. Overall, I would still recommend this app.",
20,5,2017-12-02T21:14:25.000Z,DystoniaSucks,Luvin' it,"Went with the AccuChek Guide meter w/unlimited strips bundle deal for $40 a month. Received my meter today, had been poking around the app prior to receiving it though, and so far, I'm delighted with it - meter connected easily without any issues at all, so bonus. Lots of good features to help recognize patterns and log everything easily - access to well known CDEs is a great bonus for the paid version of the app. Can't beat the deal offered, it's really helpful for those uninsured or under insured with high co-pays or tight restrictions on allotted amount of strips. The app is a great tool to use to aid in management of type 1 or type 2 Diabetes, and could even potentially be useful for those with hypoglycemia to help spot patterns with foods and drops.",Thanks so much for the great review! We're so happy to hear that mySugr is helping :)
21,5,2019-08-21T16:46:01.000Z,Punmaster.Rose,A steal!! UPGRADE IMMEDIATELY,"Two words: UNLIMITED STRIPS. The deluxe features are great for notating the day so you can notice patterns and the detailed reports look so nice. Im able to print them or email them to my doctor, and this app gives an estimated A1C once you give it enough data. They send you a Bluetooth enabled glucometer, which has simplified my life. If you have a continuous glucose monitor, mySugr links up with it. My diabetes educator is the first healthcare professional ive met with T1D just like me, she’s extremely accessible. I don’t feel judged for once and my diabetes is in MY control now. And i adore how the app lets me name my “diabetes monster”. Externalizing my condition like that really helps me disconnect from my diabetes and see it as a virtual pet i have to take care of. I CANNOT RECOMMEND THIS ENOUGH",
22,5,2020-04-09T14:23:12.000Z,watchursix,Great way to track BG,"I am absolutely horrible at tracking my blood sugars and keeping up with the numbers so every time I do get asked at the endo I either 1. Have missing blood sugars on the sheet for my 14 day report or 2. Have blood sugars but the times are sporadic so I have to eyeball when breakfast,lunch, and dinner was. With this app I literally have all the times and the exact blood sugars and I can even put in my bolus amounts for my meals, overall great app for being free and even if you do put a buck or two into it you get a whole lot more including graphs and labels for what you where doing when you checked, I would even dare to say it beats some of the sensor trackers in terms of graphing so long as you put your information in everyday, great app overall!",
23,5,2020-08-01T16:34:16.000Z,Dolores S,Keeps me on track,"Great app that automatically sends my blood sugar readings from my Accu-Guide meter to my iPad and iPhone so that I (and my doctor) can easily review them at a later time without using up my meter’s battery.  Also love the fact that I can track my medications so that I will be able to see if I remembered to take them, especially my insulin since it can’t be tracked by a daily pill box.  Also love that I can keep track of other health items, like my weight, blood pressure, exercise log, just to name a few, all in one app.  Also love being able to share 2 week or 3 month report, showing an approximate A1c score if I’ve recorded enough blood sugar readings.  Wish I would have had this meter and app sooner.",
24,4,2019-11-18T23:39:56.000Z,Larry Seltzer,"Comprehensive, easy to use app for sugar mgmt","I needed to track my blood glucose and food..this is free and does way more than that, offering summaries, charts, and reports - those are a paid feature. I got a trial of the pro version and used it to print out PDF and Excel versions of my report, which I have to my endocrinologist. He was able to see the results easily. I’m continuing to use it. Since the data is all online, I can use the app on multiple devices and sync.",
25,5,2019-10-07T13:20:11.000Z,mfethers,"Would have been 5 stars, if more devices synced","***updated review** They have added more brands of testing kits.  I also asked them to be able to delete test results en masse, instead of 1 @ a time. They agreed & said they will try to get that done.  For now,  customer service walked me thru deleting the app & old testing info (which did not want to delete) then reloading the app.  They still have not included my One Touch Verio IQ (which is only test kit I could get thru UnitedHealthCare). I like this app, & use it multiple times each day.  Being able to print out my reports is very helpful @ Dr visits. It is silly, but I enjoy the little green monster's sounds and sayings.  Also, I wish more diabetic Rx options were included (like Byetta).",Thank you for the positive review! I will include a link to our page that shows all the devices you can sync. You're suggestion for more Rx options is a great idea and will be passed on as we're always looking to improve :)
26,5,2020-05-02T06:50:17.000Z,cataclismic,Awesome ... AWESOME... app Log it. Tame the Monster,"I’ve seen many used more than a few but I have to say this one has kept me doing the tedious logging with all of the tame the monster fun. Cheers for making something a daily painful chore into fun. Once again I suggested to start logging my days for the next couple of weeks. I dreaded the paper trail options and felt apps weren’t gonna give enough. Yet to my amazement, I am so grateful to have stumbled upon this app. It has made a HUGE world of difference on my logging.  And my life living DB-MONSTER!! NOW I look forward in being the slayer in my own story and enjoy it most when I have tamed the BEAST.",Thanks for the awesome review!! We are so happy to hear that you are loving the fun features of mySugr!
27,5,2020-08-07T16:07:46.000Z,Classic R & B Lover,Excellent Way to Monitor Your Blood Sugar,"I love the MySugr app. It makes tracking my sugar levels easy. The indicators or what you ate, what you were doing, etc. make it really easy to determine what causes spikes and what helps level spikes out. The ability to have my sugar levels synced to multiple devices means that I don’t have to worry if I am somewhere with only a single device. When I get home, the information will synch and enable me toggle between devices.",
28,5,2020-01-07T23:34:48.000Z,sophr452,No complaints,"Honestly I have no complaints and it’s super easy to use.  Very self explanatory as well but even if it wasn’t I love how they have the support for any questions.  The best thing is that my son, the one we use this app for, can and does put in his own information quite often.  Last and I feel most importantly, when we were newly diagnosed and looking for a simple way to track all of the information the doctors would need, this app was suggested and when we showed it to the doctor he said this was the best one he had seen.  He said it was very comprehensive and loved the report capability which we still continue to take to his doctor at every appointment.",Thanks for the great review!! :)
29,5,2019-09-07T13:59:42.000Z,Laurlament,Please make more “add on” options,"The only option to get the pro edition is $50/month and includes unlimited strips. For someone that doesn’t have insurance that covers strips this option is fantastic. If you would make it so that the pro option is available without the unlimited strips that would be great!! Please oh please developer gods hear my humble request! Aside from that this app is the best thing that has happened to me since i was told i had to use insulin. Its great to hold yourself responsible for everything you eat, to keep track of your meds and everything else you do during the day. Oh and the little diabetes critter is so adorable and makes having to do this fun.",
30,4,2017-09-21T12:27:38.000Z,tBasco,Good App,"I was looking for a simple app for just tracking glucose levels and this was it. It takes awhile to get used to it but once I figured it out, it's easy. You just have to spend the time to log the info. Tip: if you don't have a BT monitor and have to log by hand, this app syncs with Health and if you have another device like a BP monitor, it's syncs and has the date already in there to record the BG. Just noticed recently that sometimes the app does not transfer over to Health. Check you data.",
31,5,2018-05-24T23:47:42.000Z,Type1Runner,"Clever, Fun, and Super Helpful!","This app is definitely designed with the type 1 diabetic in mind!  It is awesome. It allows logging of pertinent data, as well as excellent analysis. It gives continuous feedback about how you're doing. There are challenges to help keep you motivated and on track. And designers are open to suggestions. I love this thing. It's the best app I've found for logging diabetes data, especially if you're on a pump.  I've been using this for several months now, and I'm still using it!  It keeps me interested and provides useful data and analysis. I can print out PDFs for my CDE, which helps us fine-tune insulin for life. This app is so helpful!",Thank you so much for the positive review!! We love how much information can be logged and easily shared with your doctor :)
32,4,2018-08-27T06:41:52.000Z,Finn the Orange Cat,Maybe Don’t Charge Me,"So this is an amazing app. It’s simple, straight forward and I definitely find the monster character adorable. However as someone who has multiple expenses a month on supplies, doctors and prescriptions it would be nice to not have to subscribe just to get the added bonus of using different traits per log. I understand charging for the personal help (which I do not need or want).","Thank you for the great review and feedback! The mySugr bundle is $39 a month which includes unlimited test strips as well as a certified diabetes coach. There is also a Pro version that's just $2.99 a month...less than a cup of coffee :) There are a lot of us that work here and also live with diabetes as well and can totally understand you about the costs, unfortunately, that is as low as we can offer at the time. We hope you're still enjoying the app and please feel free to reach out with any remaining questions."
33,4,2018-09-07T17:24:08.000Z,Flip 513,Great app,"This app more than meets my needs. I am borderline diabetic treating it with diet and exercise. This app easily allows me to post my morning daily blood sugar. More importantly, it makes me count my carbs and control my diet. I love that it allows me to push all the information over to the Apple health app. This allows me to combine information from my scale and other apps to give me a full picture of my health and activity. I would love it to provide me the A1C as stated but I only stick once a day. So evidently I don’t have the appropriate number of sticks to allow that to happen. That is the reason for four stars instead of five - if after several months of blood sugars I have enough sticks to allow the A1C average to happen then I would recommend five stars.",Thanks for the awesome review and feedback!! We're so happy to hear that the app is helping :) The estimated A1c does require three inputted readings a day to produce an accurate estimate. Keep up the great work and tame that pesky diabetes monster!!
34,5,2018-12-06T15:16:55.000Z,Allie7286,"Excellent ""monster"" manager","The logging system is clear, simple, and fresh - it allows me to see my averages and daily progress in many ways. I download  the app’s charts for my endocrinologist appointments, which stacks and visualizes data clearly for her to see what I’m doing every day that my pump can’t log (exercise, temp basal, etc). I use mySugr for 2-3 week bursts at a time to get my T1D back on track if I’ve been slacking. I have recommended it to several people and the occasional blog/Instagram post. Anyone who's motivated to change their diabetes regimen should try it!","Hi! Wow, thank you so much for this review and this great feedback. We really appreciate you taking the time to let us know what you think. We are constantly working on improving our app and will definitely take these suggestions into consideration as we do so. Thanks again and keep fighting! We've got your back :)"
35,5,2019-03-31T03:16:49.000Z,bgomez0616,Absolutely the best diabetes tracking app!,"I use this to track my son’s insulin dosing, meals, snacks, and activity. It syncs with the Dexcom and allows me to track patterns, adjusting insulin for various factors. I love that I'm able to search based on keys words I’ve entered (e.g. food or restaurant name) or the type of entry. I use it extensively and as a result his A1C results from his Endo have always typically matched that of the estimated A1C that the app shows you. Since diagnosis his A1C has decreased significantly, and although this is also a result of using the Dexcom and his pump, this app has also played a large part in it. Thank you for making an app that makes this horrible disease a little easier to manage!","Hi! Wow, thank you so much for your positive review and for sharing your story. We are so glad to hear our app has played a role in making this challenging disease a little easier!"
36,5,2019-06-18T12:50:31.000Z,Michael L Cohen,MySugr Helps Me Keep T1D in Check,This app has been a game changer for my diabetes care. I am in my mid-20’s and have been diabetic since age 9. I’ve gone through different meters and pumps for years and currently I’m taking shots of Humalof with Tresiba as my long-acting at night. This app is a perfect way for me to see trends (such as going low in the mornings) so I can discuss them with my endocrinologiat and adjust my routine. I also am trying to limit my carb intake and mySugr helps with that as well. The layout is easy to use and the wealth of data from weekly to monthly to beyond is extremely insightful. Overall mySugr has been a fantastic tool in tracking my trends ans motivating me to to give myself the best possible care.,Thanks for the great review!! Keep taming those monsters!
37,5,2020-04-25T16:44:07.000Z,JustMachine,Great motivator,"I’ve tried a few different apps to keep track of my blood glucose levels, and this is by far the easiest to use. Other apps might have more features, such as a built in carb catalogue, but were so tedious and expensive I didn’t use it. This app gives you a number of features free, and if you use it will give you the pro version for free, at least for a while. If you decided to subscribe to the pro version, it is significantly cheaper than the other apps I’ve used. I am hoping that they start including more of the challenges, as I find those to be a fun way to motivate myself to stay on top of my sugars. Overall, great app and very helpful.",Thanks for the positive review!! We are so happy to hear the app is working well for you :)
38,5,2019-11-28T04:29:12.000Z,ScreenNameThis,Fun Diabetes App,"I’m an insulin pump and continuous glucose monitor user, but unfortunately do not have a computer at the moment. So I was looking for an inexpensive app that would let me track my numbers, carbs, insulin, etc all in one spot and let me review it as I adjust my basal and insulin ratios.",
39,5,2020-06-09T04:41:36.000Z,Sasha so fly,Best App to Lower HBA1C,Ive been using Mysugar app for over a year now . My HBA1C was 7.4 when I started maybe higher its now 6.8 and working on getting down to 6.5 or lower. I love the different options it has to choose from especially Menstration as my ‘pre Monthly makes my sugar rise do to hormones it helps me track it before it becomes an issue,
40,5,2017-10-26T02:53:10.000Z,Khemfre,Very User Friendly,"I just recently downloaded this app along with another as I hated the updates my last diabetes log app recently made. This app has won out and stands heads and shoulders above the others. I have wanted to get my 8 year old more involved in tracking his levels and meals and this Diabetes Monster app (as likes to call it) is just perfect. The use of the sounds on the little monsters when you feed the app is his favorite part, but the entry guides for noting readings, meals, insulin units, etc is so easy for him to follow.",Thanks so much for the great review! We love hearing that mySugr is helping kiddos living with diabetes :)
41,5,2018-04-09T14:00:56.000Z,Sweettooth Jeff,Diabetic care by caring diabetics,"I have used this app of and on for about three years,now. Currently, I have it on my iPad which has more storage than my previous phones. The staff has always been wonderful and helpful as well as interested and encouraging in my journey. Even though they are based half a world away, it’s like having a support team right here at home, at work or whenever I need them. It may take a little time for a response, but it’s still quicker than getting one from my doctor. I’m not saying they are source of replacement, but their advice, so far, is right on que with my physician’s proxy.",Hi Sweettooth Jeff we love hearing positive feedback and are so happy mySugr could help! We're adding monster tamers to our customer support team currently to improve response time even more :)
42,4,2018-05-25T00:41:17.000Z,MrsDoe,An E log that can really help!,"I am digital.  And I am fussy about using tech.  I like MiniMed pumps (yes I used others, always return, it works for me), Dexcom sensors and I like the simplicity of the verio sync meter.  Until my sugar that created a triple entry system to track numbers and trends.  Inefficient and wasteful!  I wrote to mysugr and asked them to ""flip a switch"" allowing my verio to apple health to register as blood sugars and integrate with DEXCOM.  Yippee!  One more step to set us mixed tech users free, get the bolus wizard information from MiniMed care link and it will all be on one location.   Cloud based and easy to share with family and medical personnel.  Works for me... Just might for you!  Thanks for the fast response to my request!",Thanks for the positive review! We're still working on more connections and data transfer too :)
43,5,2019-04-10T12:24:24.000Z,Tangokat33477,Most comprehensive tracker,"I had been looking for an app where I could not only record glucose numbers but also correlate with food, activity, meds and other factors. This is it!",
44,5,2019-05-08T03:26:51.000Z,Spuishy1,"Love the graphs, keeps me in check!","23 y.o type 1 here. I started using this app after my a1c spiked. I wanted to get it back to where it was prior to that appointment, and no doubt this app helps keep me accountable and engaged. I don’t have the bundle or the meters that connect to the app, so I manually enter my numbers after I test. It’s a small step that takes a few extra seconds but so worth it.",
45,5,2019-10-15T00:51:55.000Z,Usagi of Type 1 Diabetes,Accurate,"I have been through a few (lol) meters, whatever insurance paid for. I’ve had a lot of extreme roller coaster highs and lows due to over a 50 point difference in results (always clean hands of course) After a lot of research, I decided to take charge of one thing I could with T1D. MySugr makes it possible to test as often as I do (7-12) without paying a crazy amount out of pocket. I got 250 strips to start with and through the app they keep track of how many I averaged over a month and send me more BEFORE I run out. It’s awesome, my numbers may not always be unicorns (100) but it’s been so much better than before.",Hi! Thank you so much for the positive review and we are so glad to hear our app has helped provide a more affordable way for you to manage your diabetes.
46,5,2019-06-18T12:33:57.000Z,Manolo F,Great app and great support team,"I have been using this app over a month and am really hooked on it! Meter readings from my Accucheck instant are transferred seamlessly to my IPhone and  I am able to keep add food data that lets me know what kind of  foods raises my sugar levels more than others, I am adjusting my diet from what I learn!",Thanks for the awesome review!!
