id,rating,date_time,user_name,title,body,response
0,5,2021-06-10T16:00:16.000Z,picard35,A wellness tracker that actually stands out from the rest.,"I’ve seen and used many different wellness trackers during my time trying to meet a healthy weight. And all of these apps are great. They do there job and I have nothing to complain about. However, I never stick with any wellness apps because they are too good, and therefore, overly complicated. This is the pet where this app comes in. It’s dead simple to use which keeps me coming back to log my food intake. As long as you have a scale to weigh the food your eating, this simple app makes the chore of logging macros into kinda a  game in a way. When I wake up I genuinely want to weigh my food and log it into the app because it’s very accurate, very thorough, and very effective. But finding all that in an app that is as simple as this one is hard to find. The app even automatically tally’s all of your calories for the day and differentiates the macros. This way in a matter of a second you can figure out if you met your goal. This app also integrates with restaurants so even if you have to eat out you can still log your calories for the food you order! All in all this app is effective, accurate, it’s fun to use and most importantly, its actually easy to understand and use!",
1,5,2020-05-15T13:49:19.000Z,SandcastleDream,Love  It,"I have used a lot of trackers over the years and this one tops them all. Simple to use.  Let’s you edit freely, copy frequently used foods from previous days, great food search database, ability to enter custom foods, recipes, so versatile. Let’s you enter your goals not only for weight, but for ratio of protein, fat and carbs, a feature I’ve been craving. Tracks these ratios, plus calories and exercise. Shows these in a  usable format as you log throughout the day. Love that you can click on any section, lunch, snacks, and get individual recap of calories, ratios, etc. This let’s you analyze each meal or the whole day. I am just below pre-diabetic so my goal is to up my protein and lower my carb and sugar intake. What a surprise when you can track these and see what you are really eating! This is so motivating and makes me feel in control, giving me the tools I need to manage what I eat and to meet my goals of delicious, easy, healthy eating. I just did a web search for high protein, low carb snacks and found many things I actually like that I can’t wait to log to see how they improve my ratios.  Thank you for this tracker!",
2,5,2019-06-05T15:38:20.000Z,skykbelle2,LOVE,"I’ve had this app for over 3 years and it’s the best tracking app I’ve found...and it’s free with no paid upgrades! What I love about it is that you can scan foods in with a barcode scanner, you can add your own custom foods or recipes, they have an EXTENSIVE restaurant database, all foods in the app are very accurate (unlike other apps) so you don’t have so guess if whah you’re tracking is accurate or not, the nutritionix team is very fast to respond with any questions or concerns about the app, I’ve emailed support a few times about little bugs and they fix them immediately, it’s super user friendly, it shows you the meal’s whole nutrition and the day’s while nutrition facts, you can see how much you’ve eaten for the day and see how much you have left...I could go on! I am a nutrition and macro coach and I recommend this app to all my clients.",
3,4,2019-06-11T02:02:26.000Z,ACompletelyUniqueNickname,"Great database and functionality, some minor problems","Overall, the functionality of this food tracker is the best I’ve found.  Large database of foods with correct/reasonable values for generic foods, the ability to scan bar codes, set up your make your own meals/recipes, a restaurant meal planner... Other similar apps seem to be inundated with incorrect information that the public has entered, making it hard to get good tracking.",
4,4,2021-01-20T14:10:55.000Z,EastTNCowgirl,Almost there!,"I’ve been piloting this app as a replacement for MFP.  (I’m looking for an app without all the social content, feeds, gamification, etc. that clutter up the experience and just distract me from why I’m using the app.  The crowd sourced nutrition data on MFP has been a problem for me -  many users are careless or do wacky things with their data entry, making it unreliable.  Also, don’t want to pay the hefty subscription fee for some basic items like macro tracking.)  Track addresses all of the above reasons I’m looking for a new nutrition tracker.  However,  are a few things Track still needs:  ability to set different calorie goals for each day of the week (I plan for a little more intake on weekends), the Calendar Date picker seems broken, tablet or desktop interfaces are not available, and the ability to copy an entire day would be a great addition.) Overall, I think it’s likely Track may be my new nutrition tracker, especially if the calendar date picker bug is fixed and some of the above enhancements may be available in the future.",
5,5,2017-10-07T18:05:53.000Z,RebeccaSelko,My favorite food tracker,"I tried multiple food/diet/nutrition apps, including My Fittness Pal, but found this app was easier to use adding individual foods or creating recipes with nutrition macros broken down per serving. Can adjust personal goals for daily amounts of protein, carbs, and fats so it fits a variety of dietary needs— which for me is a low carb, high fat diet to control Type 2 diabetes. It quickly pulls up what I typically eat at certain times of day so I don’t have to go looking to log 2 eggs every morning. LOVE that it’s a free app with so many food nutrition info available (and easily scaled to my serving) or to scan with my phone. Plus tons of restaurants are included.  Easily log exercise and water intake. So many awesome features. Did I mention it’s free? Helps me stay on track and motivated. Thank you for this awesome app!",
6,5,2019-02-09T21:56:44.000Z,mp_dk,Only app that has nutrition split for restaurant meals,"Its the best free calorie counter app and nutrition log so far. I have used so many apps including my plate and atkins, but this is the best. No other app has macros splig and nutrition content for restaurant foods and daily grocery items. Its great that it allows me to set my own daily macro percentage and helps me keep track of the macros. The daily weight log and water intake is a bonus. Most apps give water tracker only for premium users. This app even allows me to create my own food and recipes. It has recommended tab for snacks suggested by dietitian, i don’t use that much though. The only thing this app doesnt have is suggested food recipes, like keto friendly, high protein foods etc. If they include recipes and tips, Nutritionix will be the best!!",
7,2,2020-01-24T19:02:11.000Z,Bobby T.,Apple Health sync leaves my other apps believing I only eat at midnight,"While this app is the easiest I've used in tracking my carb intake, its inability to save the correct time to Apple Health renders the app not just useless durring the day, but is highly problematic come midnight...",
8,4,2021-02-20T12:49:23.000Z,HitGirl1116,Add Garmin!,"My nutritionist recommended this website for tracking calories and nutrients as it’s newer and she felt more accurate than MyFitnessPal. I ran them simultaneously for a week or 2 just to compare. I’m now strictly on Nutritionix and I’m getting to know it although I’ve ran into a snag when trying to copy things. I haven’t figured out yet if that was my phone, the app or I’m doing something wrong. I no longer use my Fitbit as it’s old I have a much newer, better Garmin Forerunner which the app does not support. Get Garmin on here for exercise tracking! 😁 The food inventory is pretty good but does not match that of MyFitnessPal just yet, but it’s close. I’m assuming as this app is around longer it will. But it’s certainly easy enough to find comparables.  I love the ratio breakdowns per mean, not just total on the day. Great app!",
9,2,2019-02-21T22:18:45.000Z,notuncajeff,Nope,"It looks like it does just what I was looking for, allowing me to talk to it and tell it what I’m eating instead of making me type in stuff.  But with a privacy policy that says that Nutritionix owns all my data and will resell it to anyone they choose, without any provisions for anonymization or any other privacy-preserving measures, it’s a non-starter.",
