id,rating,date_time,user_name,title,body,response
0,5,2017-09-10T05:16:41.000Z,Vanesaakdbdkdnd,You people expect everything to be free!,"Really love this app. It answers questions I have weekly as well as helps me keep track of my birthing plan,weight and it's pretty cool you get to upload monthly belly pictures for progression. As well as keeping track of your appointments.",Thank you for the lovely review! We're working hard to make the best pregnancy app!
1,3,2020-12-22T19:58:08.000Z,nayxwasxhere,I paid for the premium but it’s saying I didn’t.,"So I originally got this app with my 1st pregnancy, but I didn’t pay for the premium because at the time I thought it was bonkers to pay $4.99 for a pregnancy app when all the other pregnancy apps are free. I decided to purchase the app with my current pregnancy back when so found out I was pregnant in August 2020. I KNOW I paid for the app because I would not have been able to use a majority of the features however.... when I decided that I wanted to make a birth plan and use the app to do it, it says I have to purchase the premium for $1.99 which I couldn’t understand because I paid $4.99 for premium. Every once in a while I’ll have apps that do this so I’ll just tap “restore” and it restores my purchase and everything is fine. NOT WITH THIS APP. I tapped “restore” and a message pops up that says “Alert: You have not purchased the app.” YES I HAVE PURCHASED THE APP. This leads me to think that even though you have to pay $4.99 for the premium, there is also an additional $1.99 charge for the premium that they have snuck in making this app actually $6.98. Phillips what are you doing????",Sorry to hear you are having problems with restoring your purchase. Please select the Feedback button in the More section of the App to reach our customer service team. They can help you get this sorted! We appreciate your patience.
2,3,2019-04-26T12:07:14.000Z,crlyn8,"Great Images, Actual Information Less Helpful","The images it provides of you and the baby are fantastic. The overall interface is also very well done- easy to navigate, love that it updates daily. I’m only giving three stars because the actual info provided is often not very helpful (I don’t think most people need a full article to tell them pregnancy during sex is safe these days) or a bit off the right timeline (I’m not quite 14wks and it told me today the baby can now hear me, which is just wrong). The sizes are a bit off because it always shows where you will be at the end of the week, but doesn’t tell you that— at 13 weeks, 0 days it will say “you’re now...” and give you info that any other source shows for 14 weeks, including your doctor. I overlooked a lot of the faults for the things I do like and kept using, but just found out I’ll get charged to continue in about 2 days, which isn’t worth the money to me for information that may have small inaccuracies.","Dear cryln8, Thank you so much for your thoughtful feedback. We'll share your comments with our development team as they plan for future updates. Thanks to feedback from customers like you we can continue to improve our App."
3,5,2021-06-18T23:11:38.000Z,Seth.D.C,Used for all three pregnancies!,"This is my favorite pregnancy app and I’ve used it for all three of my pregnancies! The articles about how my baby is growing and what’s happening to my body that specific week is my favorite part and has been very accurate for me personally. When I was 9 weeks pregnant with my third, I started feeling really hormonal and nauseous…I opened up the app and it literally said that this week I might feel more nauseous and hormonal than before! It then went on to share different ways I could help nauseous etc. This type of thing has happened multiple times on this app and I love that! I feel like it knows me haha. It’s filled with the kind of information I want during pregnancy. It’s also easy to use. I’ve recommended this app to all my pregnant friends🥰","Thank you for your 5-star review - we're pleased to hear you've enjoyed the App's features and content for all three pregnancies. As a valued customer, you may be interested in our follow on app, Baby+. It features sleep, feeds, nappy changes and your baby’s growth trackers; helpful information; personal diary and helpful reminders; white noise; photo tools and more. Download for free here (just in case you need the link): https://baby.app.link/reviews. Best wishes!"
4,4,2018-08-21T01:44:23.000Z,DisBeNat,Almost perfect!,"I’m 29 weeks pregnant with twins and have used several apps to track my pregnancy. Out of all the ones i use this is by far my favorite and best one. I love all the features. However at 29 weeks pregnant i can honestly say some of the daily articles are recycled. You read similar articles about things that was already touched earlier in your pregnancy with the app. How many times are you going to tell me about morning sickness, backpains etc.","Thanks for the thoughtful review. While we can't give you the twins-only app you wish, we hope you will continue to enjoy what we have for you. And I will share your comments about repetition of information with our development team as they plan for future updates!"
5,1,2017-10-01T02:30:28.000Z,court0109,Wish I could like this,"I really loved this app up until 14 weeks. After that, you have to pay. Listen, I work for a mobile app company so I understand that apps need to make money somehow, but I agree with other reviewers that the developer goes about it the wrong way. I don’t want to pay for an app that I won’t be using past my due date. There are plenty of ways to keep your users active past this “cut-off” time of 14 weeks while still being able to monetize. Unobtrusive ads in a free version and an ad-free version is one way. It’s how so many apps do business these days and users will understand. Just shutting your app off completely to users after 14 weeks unless they pay feels like a crappy way to make money off your users. Especially since this will be a temporary app for so many. This is a crowded app space and there are so many other free apps that offer me the weekly updates I want, so I no longer use this app. I hope the developers reconsider their paid structure one day bc it is truly a wonderful app up until 14 weeks.","The one-off payment we ask protects your privacy and ensures your app won't have lots of ads. And the App can be used for multiple pregnancies. We understand your opinion but free apps may use your data and we respect your privacy. So, after the 14th week of pregnancy, we ask for small one-off payment instead. We hope you understand our position."
6,2,2019-06-01T12:02:46.000Z,mahckes,Poor articles; great images,"The interactive images are beautifully rendered. But like other reviews have noted, the articles are bland, out of date with current medical advice and uninformative. For example, it says to be limit fish to 1-2 times a week and only 1 oily fish, while most OBs are increasingly emphasizing the importance of the omegas in oily fish. Other articles are the typical round up of vapid takes on the usual topics of what to eat and buying clothes and talking to your doctor if you feel down. These could be much more interesting! Also, in an article about possible Down syndrome testing in early pregnancy, they say only that “some women prefer to find out during their pregnancy so they can learn more about the condition and what special care is required.” It undermines the pain and extreme difficultly women wrestle with as they decide whether to keep a pregnancy with confirmed chromosomal problems. Pretending that doesn’t exist at all is really weird whitewashing. It’s not a political issue.","We appreciate your feedback and will share it with our development team. We are currently in the process of updating the content, and your comments certainly help. Thanks to suggestions from customer like you we can continue to improve the App."
7,5,2018-07-09T14:03:07.000Z,ScoobyDooMama,Great app for pregnancy,"Wonderful app for pregnancy and for a few bucks you can use it after the 1st trimester which is totally worth it. They do mention that it DOES cost money to continue after 1st trimester but they do NOT flood you with advertisements so it doesn’t interrupt ur experience at all. Like some other apps flood you with requests to upgrade. Not so here. Which is a giant plus. This app Has a kick counter included. I love how it reminds me every week when I turn to the next week, also gives helpful articles on what to except etc. the images are in range from 2D to 4D to computer generated animations which are beautiful. Also shows timeline of tests that are done at ur OBGYN s. Included appointment tracker and reminder, so u can easily store the info for scrapbook later. Other features as well.",Thank you for such a lovely review! We're glad you're enjoying the App so much!
8,5,2020-11-22T03:24:38.000Z,Tfzzzzz1128,*Nearly* perfect - can’t adjust cycle length,"This app is absolutely incredible. It’s really everything you could need and want in a pregnancy app. Lots of information, planning capabilities, and my most favorite feature - the weekly growth aspect that offers true to size fetal development. My ONLY gripe is that you cannot adjust your menstrual cycle length, so if your periods aren’t exactly 28 days, the only way to track your pregnancy is through a due date. That’s certainly not a deal breaker, but when I look at my calendar I would like to be able to see my LMP. I have PCOS and ovulate close to 3 weeks into my cycle, so I would just like to be able to customize my calendar to reflect that.",Thank you so much for your 5-star review. We're delighted you are enjoying the App's features and content. We'll share your suggestion about cycle length with our development team (it's not nitpick at all!). Thanks to feedback from customers like you we can continue to improve the App.
9,1,2017-10-14T13:38:14.000Z,PittJamie,Be Upfront,"Just like the other reviews, I was pretty surprised to find the app was useless after 14 weeks without paying. There is nothing that tells you or warns you that that's the case. I get all the arguments for charging, and pay for quite a few apps. However, there is no notice that this is going to happen until it just stops working. Surprising your users with the fee does nothing but alienate them. I should have read these reviews before I downloaded. Also, I don't think this app is useful enough, at least for me, to warrant the $4.99 fee. Maybe $1.99, but not $4.99.","We appreciate your comments about pricing. After a free trail, we do ask for a small one-off payment as we don't want to fill your App with lots of advertising. When advertising is involved YOU, the user, are the product. If other Apps are FREE, it means in some way they use your data. We are not interested in your data and always respect your privacy."
10,5,2017-11-30T20:55:08.000Z,margew,FANTASTIC APP.  Nonstop use since 2014 🤣🤣,ANOTHER REVIEW UPDATE--I didn't THINK I would be using the app again for a while.  My 3rd granddaughter was born in May of this year and my 4th granddaughter is due Jan 2018. I will have 4 squealing little granddaughters under the age of two and a half 😍😍😍😍!,"Thanks for your review - it is possible to track two pregnancies by making two separate accounts, but we are looking to add a feature to track all pregnancies on one account. We appreciate feedback from customers like you as it helps us to make ours the best Pregnancy App!"
11,4,2018-03-11T17:40:34.000Z,nothappywithnest,Please consider these?,"I love this app I used it with my first pregnancy. However I feel there should be the option to eliminate the partner info. As well as articles involving partners. Not everyone is blessed enough to have someone by their side. Some people lose their partner and some never have one. I find it a bit depressing, scrolling and having to see the partner stuff every time, being one who no longer has someone to share this with. I think this should be recognized. Also this is my second child and I find most articles are geared more toward first time mothers. It would be nice to choose an option of whether you are a new mom or have had children. That way content could be better filtered.","Thank so much for your feedback - we will share your comments with our development team. In the 'My Account' settings, you should be able to set the App for Single Mother. This should eliminate some (though not all) of the partner sections. Hope this helps!"
12,3,2018-09-05T01:10:07.000Z,Pissedoffbu,Great for first pregnancy then...,I used this app for my first pregnancy in 2017 and recommended it to EVERYONE!! Even paid for the update because this app was perfect! Definitely would have given 5 stars... before the update! The #1 reason I loved this app so much was for the images and easy navigation. I downloaded again now and all those beautiful baby images are gone and they have the alien looking graphics like any other app!😭 sure it’s cool because it wiggles when you touch it but definitely not as good as before! Don’t fix what isn’t broken! I find this update much much much harder to navigate than before. If they could bring back the lively images instead of the aliens I’ll be one happy camper! However I do enjoy that that’s still provide a 2d and 3d scan of baby for almost every week!,"We appreciate your thoughts about the update, and we will share your comments with the development team. Thanks to feedback customers like you we can continue to improve the App."
13,5,2019-02-18T05:00:31.000Z,ForestWindSong,Wonderful app!,"I can’t say enough about this app! I love everything about it and the best THE BEST PART IS NO COMMUNITY! Some other apps have a community portal and the people are so horribly rude and nasty. Idk why anyone would pay $50 a year for a crappy app with zero support and rude people. Pregnancy + is the absolute best app I’ve ever downloaded for pregnancy support! And to “unlock” it’s full potential is only $2! This app has won my heart 💜 thank you for creating this app! So supportive and informative with lots of great things like contraction counter, different loggers like weight and even appt reminders, even a checklist for hospital/birth center bags. This is number 1 go to app and I’ve had 8 babies! I recommend this app to everyone.",Thank you so much for all your kind words of support! We're really happy to be part of your pregnancy journey.
14,3,2019-05-27T21:09:35.000Z,Effin hoot,This has been my go to prego app,"This is my second pregnancy and by far my favorite prego app.  Love the weekly photos and “actual size” images. The articles are typically interesting and relatable.  I just spent the $1.99 to purchase the app, figuring I at least owe it to the company for building an app I use regularly and enjoy. My complaint is the kick counter... there needs to be two options to count kicks. Unlike most are taught kicks are not only about how many you get in a certain amount of time, but it’s more about finding your baby’s pattern, what time of day you feel kicks and for how long. I now use a second kicks count app that allows me to mark what time of day baby is moving, but would love if it were integrated into this app. After a pregnancy loss at 36 weeks you learn exactly how important movement is.",We appreciate your detailed feedback about the kick counter. This is a section of the App we are considering updating. We will share your comments with our development team. Thanks to customers like you we can continue to improve the App.
15,5,2020-10-14T17:23:31.000Z,mysteryreviewer96,This is a great app!,"This is an amazing app to track your pregnancy! It was my number one pregnancy tracking app in the beginning. But when I was around 20 weeks the picture on the app did not match how many weeks pregnant I was. Like it would show me my baby at 21 weeks when I am only 20 weeks. And it did that throughout the entire app. I deleted the app and recently downloaded it back now that I am 35 weeks and I still have the same problem. Please fix this! It’s an amazing app besides this glitch. If this is changed, I will give the app 5 stars.","Thank you for the feedback. This may have to do with whether you have chosen to see the 'completed' or 'current' week in the Pregnancy section of your Profile. The week number on the Today page is dynamic based on the settings. In Profile (upper right), scroll down to the Pregnancy section where you can decide if you want to see the 'current' or 'completed' week."
