id,rating,date_time,user_name,title,body,response
0,5,2020-01-06T20:33:00.000Z,Rings round,Life saver,"Your app has been a God send for me. I have recently been placed on a very restrictive diet for 3 months. It may work out permanently. It was so frustrating shopping for food and reading labels. I can’t have gluten, dairy, and sugar. It was a nightmare to ready labels and figure out what is what. I literally had a melt down in the store and started crying when I had spent two hours reading labels and had nothing in the cart to eat.",
1,1,2020-09-15T00:34:49.000Z,jasmineMicjel,DOWNLOADERS BEWARE! Sounds like a good idea except the app doesn’t work,"I am gluten sensitive and have to avoid foods that contain gluten. I have been in desperate search for food scanner apps that help weed out diet restrictions and this app came up. I love the idea that this app will help because gluten takes forms in many ingredients and it’s hard to remember each ingredient or have to search it up while food shopping. However, upon installing the app it’s been giving me a hard time setting up an account and loading each screen on the app! Navigating through each screen and on each page the app is malfunctioning and there’s a pop up saying “Error! Something went wrong” ... what is this madness?! I have deleted the app, restarted my phone and reinstalled, still nothing. It’s being downloaded over strong WiFi, so I know connection isn’t the issue. However this is very disappointing to the point that I had to write a review and let the developers know there is a serious bug and it needs to be fixed, my review won’t be changed until then, when I can get the full experience of the app.","Hi Jasmine, we would love to help you on your gluten free journey. We found and fixed the issue you are referring to. Please try once more. If you need additional support, we can help at support@innit.com"
2,4,2021-01-04T00:02:06.000Z,SuperStarEars,Accessible to vision impaired but app could be better.,I want to thank the developers of this app for making it completely accessible to vision impaired people. I haven’t found one feature that does not work with voiceover on my iPhone. There are many companies that do not do that. Thank you so much.,
3,5,2019-01-26T23:10:59.000Z,Mommika,New/improved version - So easy to use!,"I love this app! It has really opened my eyes to see what foods I was feeding my family. It is so easy (and fun) to adjust your personal/family diet settings, and then search for products that match what you are looking for. When you open the app, it automatically shows several products that are good matches for you.",
4,4,2021-01-30T03:27:42.000Z,Betholomew314,"I love this app, but it has issues.","This app is an amazing shopping helper if you’re looking to be more careful about what you’re buying. However, it has some issues that make it less usable than I want it to be. It seems like any attempt at editing profiles or lists ends in an error message. The search function could also be improved, as you don’t really get to see all the results when you search something. For example, I searched “condensed soup” and only got a handful of results when I know there are many, many soups logged on the app. It would be nice to have more results and maybe even a way to filter them in the future.",
5,4,2021-06-28T19:23:15.000Z,pleae reAd developers 😇,I have a recommendation,I love the app and have been using it for a week. I really feel like this would really improve the app so I wanted to inform the developer about it. While doing the sign up process there are certain things which are asked of people; their wants and avoidances of certain food categories. As an example I’ll use the terms disaccharides and sulfites from the app. Let’s say a new user sees these terms and doesn't know what they are. It would be really cool if there was a way for its information to be displayed through a double click or if it was just there. I hope I came up with something useful.,
6,5,2019-05-16T14:54:57.000Z,SWyles,Life Saver!!,I don’t write reviews often but this app is a game changer! It is changing my life while possibly saving my life or at the very least my health! I have developed allergies later in life and having successfully raised a child with food allergies I thought I knew what I was in for but my allergies are so different and so much more complex that I knew I needed help. This is the best app I have found for people suffering from food allergies. It is capable of alerting you to allergens not listed on the label which is where I was finding myself in trouble. Thank you so much for this life saving app!!!!,
7,5,2018-12-04T02:15:50.000Z,n00b82618,Changed my relationship with food,"I’ve been meaning to learn to build a better relationship with what i eat daily. My schedule doesn’t really allow me to cook, so my focus moved onto what kind of food/product I consume. I was struggling with my new goal, but discovering Shopwell changed my game. Shopwell makes it super easy for me to know which product I can trust and consume, knowing that it is good for me. I’d love to know more about how my score is calculated, but so far so good, have been loving their recommendations and been feeling good with how my body feels.",
8,4,2019-01-28T18:45:05.000Z,Shashi65,"Good, could be great","I’ve only been using the app a short time. I like that it manages many different parameters rather than just gluten, for example. When searching an item I wish it would sort them into best choices 1st. It’s annoying to look through several lists of avoids before finding something. Also, there are a lot of foods, especially store brands, that are not in the database. I’ve tried to add them but get the error that the barcode wasn’t included, but there is no way to add it. Overall very useful though.",
9,4,2019-12-09T22:44:10.000Z,1mamasita,Great App,"My daughter has food allergies to Peanuts, Eggs, and Soy. This app has made it so much easier to find foods she can eat. All you do is scan the items at the grocery store and it lets you know to avoid that particular item or if it’s ok to have. It will even make suggestions for another item if you can’t have that particular item. The only reason I didn’t give it 5 stars is because I wished the app would have non-food items. Definitely a must have app when going grocery shopping.",
10,3,2019-01-11T22:27:55.000Z,StarlaThornhill,Needs one more simple feature,"This is a really nice app, but right now I have to build my shopping list in Shopwell, then retype it into Notes because you don’t let us add non-food items to the grocery list! People buy things besides groceries at the grocery store, and it would be nice to be able to add non-food items locally (as in, without loading them to the database, which would not be helpful and make the database cluttered)",
11,4,2019-04-03T19:36:41.000Z,NolaneScott,This app is better than “Eat What” in the sense that It scans better and its FREE!,This app is a great app for many diets and just the well being for our bodies. This app is good in the sense that it tells you what is good and not good for you but when it comes to telling you about the ingredients “Eat What”. If you are a person that needs to find great for for you and you family this is the first choice you should have.,
12,5,2019-05-13T16:44:05.000Z,VIPER 6S,A Lifesaver!,"Fantastic App. Simple UI, straightforward results with tons of information. I suffer from Celiac Disease & Lactose/Casein Intolerance. So many times, this App has saved me! Products I thought were safe, were actually not, and products I avoided, were found to be safe. The library of items, and details of information is vast. This is by far one of the best free apps out there, and I am continually grateful for it, as I use it on a daily basis.",
13,5,2019-06-01T02:47:20.000Z,Gornifer,Life saver!!,"If you or a family member has any sort of allergy you should consider getting this app. I have celiac and cannot have gluten and need to be heart healthy as well and this app helps me with both! It has also helped some of my family with soy and nut allergies. So easy to use, and easy to set up. I highly recommend this!!!",
