id,rating,date_time,user_name,title,body,response
0,5,2020-12-08T14:54:34.000Z,TecKSinclair,Amazing!!!,"This app is so good, it’s almost perfect. It has nutrition, activity, water, and measurement tracking, plus a notes section with a good variety of tags that serve as a mood journal/symptom tracker of sorts. With pro, I also have Fitbit integration and a fasting tracker. Put that all together and this app really meets all of my needs and took 2-3 apps out of my rotation, all replaced by this one.","Hi,"
1,3,2018-01-11T00:46:04.000Z,Princess5307,Not ready for the iPhone X,"I’ve used a few calorie counter apps before, and this one seemed good at first. However, there are a few options that are not user friendly. I have the free version so they may be better on the subscription version.",Hi!
2,5,2020-03-17T03:19:18.000Z,Cooliobrouhunicorns,THE BEST (not biased I stg),"I don’t usually write reviews but I am truly impressed by this app and felt I should give credit where credit is due. This is by far the best diet aid app I have found and I’ve been through many trying to find the perfect one. It has everything you need all in one and there’s no hidden charges like others. What I especially like about this app is their extensive recipes, one thing I struggle with as an athlete is getting enough, good, calories and the recipes have helped tremendously as they are all light wholesome ingredients (perfect for an active lifestyle). Another great aspect is their new addition for notes so that way you can track how you are feeling if you are in a new diet or if you just want to decompress. There are so many meal plan options so you can choose what is right for you or just track what you are already doing!:) facts",
3,5,2019-08-08T16:02:58.000Z,Ak199,Life changer,"I started this app as a slim 17 year old kid getting ready to go to college. My goal has always been to play lacrosse at Syracuse and this app is helping me immensely. I set my goal to building muscle as I started as an athletic but still somewhat scrawny kid. I started at 135 and set my goal weight for 155 to start. With the help of this app, I have been able to get the proper amount of calories I need for my goal AND I get a step counter and calories burned counter. This app does all the math for me and I am no longer struggling with my calorie counting like I was before this app. In 2 weeks I have gained almost 6 pounds of almost 100% pure muscle. This app has made it easy to meet daily goals with reminders and helpful tools throughout the app. The recipe ideas are also helpful even if you don’t have the pro membership.",
4,4,2019-11-30T16:23:15.000Z,MightBeTim,New from MyFitnessPal,"I’m trying this after being a MyFitnessPal user for a long time. The things I really like about this are (1) it makes really good use of its Apple Watch app, way more than MyFitnessPal, and (2) it’s a much cleaner look. With MyFitnessPal I always hated how the initial screen was basically an ad for their other products, despite having paid for the full subscription.",
5,3,2019-09-24T16:39:04.000Z,Exile714,Bad calculations,"The good: interface, doesn’t push fad diets (but supports them, you Keto people), nice recipes section.","Hi, thank you for your feedback!  It is much appreciated!"
6,1,2020-03-05T06:10:53.000Z,Fern Marie Elizabeth,So disappointed,"I wish there had been a free trial available before purchasing a subscription. I chose this out of all the apps because it was the only one that counted both fasting and calories. I was excited to see that there was an updated version which was supposed to address some of the issues I am having. It states that the updated version allows you to customize your fast times. It either does not or I can’t figure out how to do it. You cannot enter your meal times. The time for the 16:8 skip dinner fast automatically runs from 2:00 pm to 6:00 am. I am not even up at 6:00 am. The most frustrating part of the app is the calorie counter. It is so random. For example, a cup of grapes is listed as 350 calories. Even foods identified by brand are wrong. Not even standard measurements are correct. Sometimes a cup is listed as 4 oz sometimes 3.5, sometimes something else. Last time I checked, a cup is 8 oz. The whole thing is clunky. The only thing I do like is the estimation of weeks left until the weight goal is reached.","Hi,"
7,4,2019-09-27T17:02:48.000Z,Quincy McQueen,Food Database Needs A Lot of Work Ahead,"This is a great app and honestly it would deserve a 5 star rating. I really enjoy it, I’m eating healthier and seeing results just after a week of using it, BUT that’s because I realized of the tons of mistakes other users have made when entering nutrition facts into the database, and I’ve spent quite a deal of time entering my own data. The app allows you to create food items entering any name for any kind of food with almost any nutrition facts and share that data publicly. It seems no one is checking all this data, resulting on a public database with lots of duplicated items, different nutrition facts for the same item, and misleading info. The developer must create an efficient way for users to report wrong information and remove those items from the database. Bottom line, a really good app if you’re using your own data.",
8,3,2018-12-03T05:04:33.000Z,John D in Boston,Need Better “Add Food” Support,"I was a long-term user of another popular calorie tracking app, but found myself looking for an app that synced better with other tracking apps. Enter YAZIO. So far, I find the app absolutely fantastic. The UI is clean and simple, the tracking feels accurate, and the logging is very nice. I’m starting to feel like a permanent convert!","Hi John, thanks so much for your feedback! To review suggestions, we recently launched a website: https://feedback-en.yazio.com/. Would be happy to receive your suggestion there! Kind regards, your YAZIO-Team"
9,3,2018-03-02T00:45:00.000Z,Sports49er,Needs a much larger food database!,"I was using MyFitnessPal for years and thought I’d try this because I don’t want to just know the calories, but also want to know the quality of the food that matches my goals.  This seemed like the perfect fit at first.  As I have been using it (in USA) I have found the food database to be woefully lacking.  It has nothing to do with barcodes or barcode reader, the foods aren’t in the database.  Some very common foods from any chain restaurant are missing.  I have to add almost EVERY item manually.  That’s a non-starter after having used MyFitnessPal and never having this issue.  Like other comments, everything seems to be listed as a 1 ounce serving size.  Not very helpful when dealing with grapes, avocados, etc.  The app has great potential, but too labor intensive to get the information into the app.  I’ll keep looking for an app like MyFitnessPal that has the food quality ratings like this one if it exists.",Hi!
10,4,2019-05-01T06:30:38.000Z,ToriaVictoria,So Far So Good!,I’m only a couple days into using YAZIO— but that’s a couple days more than I’ve ever used any other fitness app.,
11,5,2019-10-24T02:43:56.000Z,Miss Mecca,I love this for the most part........,"I recently started using this app and so far I love it BUT! I don’t understand the point of the app asking for a unit when creating a food for the database, (such as ml, gram, etc) if it’s still not going to allow me to document my food by that unit. For example, I added a product to the database and wanted to document it in the diary by a ml measurement. Even though I selected ml as a standard unit it still gives me oz when it comes tine to journal how much of the product I ate. PLEASE give us more options for measuring the food please! I prefer to measure most things by gram since I believe it’s the most accurate. Or maybe I’m missing something? 🤷🏽‍♀️🥴",Hi!
12,4,2019-12-10T14:43:25.000Z,CalKidDewey,"Good, but recent UI update is a step back","Love the functionality, tracking, and reporting, but the recent UI update requires more clicks than before to navigate into and out of meals to add items, and when you’re in a meal making additions you can’t see your daily totals. Given I often use the tool to plan my next meal ahead of time, not being able to see my daily overview while in a meal is a challenge. Also, the scrolling units entry feature is frustrating. If the default is 1 ounce, but I want to enter 7 grams, I scroll the number 1 to a 7, then the Ounces unit to Grams. When I change the units, the number scrolls back and resets at 1, forcing me to have to scroll the number back to 7 again. Hopefully they’ll address these issues and make the tool easier to navigate and make it easier to make entries.  Overall, still useful and robust.",
13,2,2019-11-15T23:53:06.000Z,BadMojo66,Horrible food entry,"Having used MyFitnessPal for years. I decided to switch to an app which worked better with Apple Health. After one day of frustrating food entry I wish I could get my money back. First of all it requires you to enter all food by the ounce/gram. This might be the most idiotic entry system ever. If I am on the run and stop at Chik-Fil-a for a chicken sandwich. I don’t have a scale on me to weigh it on. If I go to any major vendor or restaurant for nutritional info. It’s based on the item not the ounce. Why can I not enter food by item and a nutritional average. It say in the FAQ if I don’t make the item visible to others I can make serving size whatever I want. This wasn’t true. I unselected visible to others. Went to select and was only given weight options such as gram/ounce. How about sandwich or serving size large, medium or small. This food entry just isn’t for real people with day to day lives who can’t weigh every portion or cook every meal. It’s a real shame as I love the way it looks.","Hi! In order to keep your diary as accurate as possible, it is advisable to weigh your groceries before consumption using a kitchen balance. Over time you will also get a better sense for the quantities. Of course it's allowed and possible to estimate the quantities."
