,id,rating,date_time,user_name,title,body
0,0,5,2021-04-14T15:59:01.000Z,SMKelsey,The little things are big...,"After YouFood ended, I was lost. I loved taking pics of my food to keep a journal, but at some point, I realized that habitually taking the photo just became habit and I always wished for more.  So far, it seems that “Ate” has it.  First, as simple s concept as it is, I love, love, love the on and off path option. Actively saying that I am “on path” is an motivator😇 that I did not anticipate. Likewise, who wants to admit that they’re “off path” 🤷🏽‍♀️? I also love the integration of my water and exercise efforts as well. I’ve only been doing it for three days, so I haven’t really gotten into all of the other benefits but I also like the idea of tracking why I eat, whether I eat at home or out, how the meal was prepared, how I was feeling when I ate and a big one...who I ate with 😉!  I have a feeling that in time, I’m going to see some real trends that will expose for me why I eat the way I eat and more importantly how much I eat. Aside from always saying “I just love food”, that’s a question that I don’t think I’ve truly figured out just yet.  Now, I just need to find some friends for more accountability.  I’m trying the upgrade and had marked my calendar to cancel after 14 days, planning to be unfulfilled, but I know already that I’m in.  Yearly plan paid for.  Wish me luck!  P.S.  I swear I’m not a developer or a friend or family member of theirs and I can prove it.  Just try it and see for yourself!  😂😂"
1,1,5,2019-07-17T17:11:21.000Z,foxesnoxes,Most useful and efficient food tracking,"I’ve tried myfitnesspal calorie counting, daily photo journals, and also just writing out the food but the interface of this app is aesthetically pleasing and visually appealing as well as directed. The option to chose “off path” or “on path” with the reminder of what your current goal is at the top of the screen is brilliantly simple and helps me to minimize obsessive food thoughts like “I ate so bad I’m so fat” or “i ate an apple today so that makes up for the ice cream and chips and cookies I ate the rest of the day” etc etc. It even lets you make a collage of your food pictures at the end of the day, which is a perfect way to visualize what you’re putting into your body. Oh, and you can track calories in the comments under your picture but you can also track where you ate, if you ate alone or with people, why you ate, and how it made you feel which is a genius way to help people make the lifestyle change into eating healthier (instead of forcing yourself to eat ‘healthy’ foods you despise you can focus on the healthy foods you adore). I’ve been searching for an app like this for years and I’m very happy I’ve finally come across it. I hope to use it for a while, and I really appreciate that it’s a free app with no ads. Hands down my favorite health app."
2,2,5,2020-01-12T19:37:43.000Z,Amber Waves Hello,"So far, so good!","I’ve been using ate for about a week, and there are several things I love about it:"
3,3,5,2020-10-16T00:23:49.000Z,zgrooms,Great app and great management!,"I have never reviewed an app before, so that tells you something right off the bat. I have loved the ease in this app. Meal tracking has always stressed me out. I hate measuring things. My meals are too elaborate to traditionally track. Being able to snap a picture (which I usually already do anyways😂 #foodblog) and add a description makes “tracking” so much easier! I’m able to share this app with my nutritionist and she can have an idea of what I am eating in a day without me having to track. The summary questions have allowed me to have a much better relationship with my meals, realizing trends and habits that I may not have realized before. It forces me to slow down and ask myself these important questions. I love it."
4,4,5,2020-06-09T10:07:44.000Z,❤️💛💚💙💜💎|-/ Alyssa,Great app,"I have been using this app for maybe a week or so. Before finding Ate, I tested multiple fasting apps and nothing worked well or was set up good. I don’t even think I want to fast for the reasons on other apps. This app is GREAT. I’ve always taken pictures of my food and saved them, especially when I cook a meal or fix a healthy breakfast for example. Ate allows me to see what I eat in a day and it lets me record how it made me feel (I LOVE this part of the app because I struggle with how food makes me feel). I also love that it adds options such as “who did you eat with?” and “where did you eat?” Overall this app seems perfect for me and I hope I continue to use this to track my food habits."
5,5,5,2021-06-15T02:06:44.000Z,FrauFleur,Only been using for a week and it has done wonders,I was looking for an alternative to calorie and macro counting. After listening to a podcast that focuses heavily on mental aspects of weight loss I thought to myself it would be awesome if I could just snap photos of my food for myself to stay accountable. I began searching the app store for such a thing as a “visual diary” and ran into Ate.
6,6,5,2018-05-03T16:56:47.000Z,Bet @ Bet On Dinner,Exactly what I was looking for!,"I love this app! I wanted a food diary thing, but don’t want to track calories or even type in every teaspoon of oil I use to cook my dinner. I love that I can quickly type something in, and the photo aspect is unexpectedly great! It’s quick to snap a picture and it motivates me to add things like fruit and vegetables to my plate since I’m visually more apt to notice that I’m skipping them and just eating a sandwich or a piece of toast. I also like the freedom to change what is “on path” for me - since it’s not specific to one type of eating. I really love the little arrow that encourages me to make a healthier choice for my next meal if I do go off path - it’s not judgy and unlike other things I’ve tried, I don’t tend to feel like I’ve “ruined” a day with one meal or food, so I’m more likely to just move on and eat something that is better for me at the next meal rather than derail and start again the next day (or week or whatever!). Thanks for such a helpful tool!"
7,7,5,2021-01-12T06:07:45.000Z,ILJ627,Super helpful and easy to use!,"I’ve been using ate for the past week with a group of friends in an effort to take better care of our bodies this year and practice more mindfulness with our eating.  The benefits are already so evident.  Having to actually document what, when, and how much you are eating really makes me think twice before eating too much or eating things that aren’t as good for me, which are 2 big goals for me.  Also, because my friends and I follow each other on the app, it’s actually EXCITING to take a picture of my home-cooked, healthy meals or any other instances where I’m making good food choices!  I have also loved tracking how eating made me feel, which is one of the questions the app asks you after your meal.  Tracking my meals is quick and easy, which is important to me, and I’m going to keep using ate!  Highly recommend if you’re like me and struggle sometimes with being mindful with your eating!"
8,8,5,2021-03-05T17:41:19.000Z,Little5er00,Best app I’ve ever used,"After decades of trying to understand and heal my GI issues, I finally decided I needed to get better at keeping a food journal and tracking how different foods make me feel. A Google search brought up Ate— since it was free and so well reviewed, I downloaded it immediately. I’ve been hooked ever since."
9,9,5,2020-04-03T15:43:17.000Z,Crb1717,Fantastic and amazing!!!,"This is only my second day using the app but it has brought me such peace and joy.  Taking photos of my meals felt strange to me at first but what I realized is that it really promotes mindfulness and reflection.  You can make notes that go along with the picture, creating a new kind of ritual practice that slows down your meal nicely and easily.  I like all the tracking in terms of hunger level, satisfaction, etc.  But perhaps my favorite thing of all are the “experiments” you get to try.  The one I chose to start with is to take 2 deep breaths before eating.  Even that simple act allows me to connect to my body and spirit so that I can listen to my physical and emotional needs.  My lifelong struggle with stress eating has been exasperated due to the COVID-19 situation.  I didn’t want to spiral back down into the overeating so I found this app. I couldn’t be happier, calmer, or feeling more grounded around food.  Thank you to the creators and developers!!!"
