,id,rating,date_time,user_name,title,body
0,0,5,2021-03-23T23:39:06.000Z,Kei & babygirl2020💖😊💕,Babygirl December 2020,"I’ve been using the what to expect App. The first 5months of my 3rd pregnancy and it’s also been a good App. But I found this one when it popped up in my emails and I LOVE it!! It’s very detailed and very informational, it’s more detailed then the WTE App and it has all kinds of good videos to watch about all kinds of things you will go through during pregnancy, I have to say I like it better than the other one and it goes day by day with my baby’s growth, not week by week only, it’s much more detailed and has way more information on it for all of us expecting moms to read and I like to watch the videos and see all the pictures so that’s a very good thing about it too! It’s a definite MUST HAVE!! I would recommend this App to any expecting moms, new moms or women trying to get pregnant, it will teach you a lot and it’s a great way to watch your baby grow and get a sense of what she looks like at this time in your belly, I use this App. Everyday or every other day, there is always something to me reading or watching and it never gets old to me! Thank you for making this App.!!! I love it and recommend to anyone expecting!💖 Good Luck to all the new mommy’s out there!!"
1,1,2,2020-08-05T19:50:40.000Z,aliblackburn92,Not correct and keeping track of date and more very disappointed with the app,"I just downloaded this app to track size and the right days and weeks so can keep close eye on how far I am to my due date of March 26, 2021 as of yesterday aug 4, 2020 I was 6 weeks and 4 days I got on it today to see if it is calculating correctly and yet it still had aug 4th when today is aug 5th and so I tried to refresh it wouldn’t then I went to feedback and settings and back to home page it did end changing the date to correct date which is aug 5th but still states I’m 6 weeks and 4 days when the correct number of weeks and days for aug 5th would be 6 weeks and 5 days not 4 days for that was yesterday I know I went to my doctor yesterday so it should refresh every day and state correct date as well as correct week and day of how far along I are if nothing gets done about this I’ll recommend others to use an different app and not this one for it lacks right information and doesn’t refresh like should or when move page up to refresh and I will delete and find an better working app that is correct and works great and does refresh and has correct date and right weeks and days as well as days left til due date too for that effects things like baby weight size growth information and etc if isn’t correct on weeks days nor the right date and doesn’t refresh and lacks on the app and it is very important for people expecting to know the correct things"
2,2,5,2020-07-12T22:47:49.000Z,Uwrvryhgh,first pregnancy & looking for a support group? this is the app!,"I’m 16 weeks pregnant currently & especially with what’s going on, you can’t really be in groups and find a great support system. This app makes me feel like I am surround with so many women who are going through what I am going through."
3,3,5,2021-01-19T06:02:25.000Z,Purplgrashoper,Growth Guide,"Since I was pregnant until now, nearly five years ago, and two kids later. I’ve been using this app. The amount of knowledge I’ve gained is so valuable to me, I always share it with my husband and friends. Its made me a more confident in rearing my children and finding what works for us best. I don’t freak out about much in their development either, because I know what’s coming. Most of the time my mommy-gut feeling about a growth spurt is on point! However, knowing what behaviors accompany those developmental milestones helps you evaluate what’s “normal” and feel at ease. Baby Center has helped me understand what my kids are going through and how to help them get through the transition. And most importantly- why I shouldn’t get so frustrated with them, as its not so easy on the LOs or us. I’ve used this app religiously since they were born, and will continue to for as long as you provide info on their age. I look forward to your emails in my inbox and I try not to skip any, otherwise I feel like I’m missing out on a gem about my own child. Love you Baby Center, keep up the good work!!!"
4,4,4,2019-07-30T16:35:57.000Z,Aree04,"1 Bro, 1 Sis, and Twins!!","I have been using this app/site for all of my pregnancies. My son (3), my daughter (1) and my up and coming addition. I have become reliant on the information that is provided (even after knowing what to expect) and attached to the support chat rooms. I have found virtually all of the information that I needed with the exception of this...."
5,5,5,2018-06-07T23:00:01.000Z,rs1201,GREAT APP (1st time pregnant),"We are first time pregnant/parents! I really thought this app was great! The milestones that I would personally hit during my pregnancy were pretty spot on according to the week by week notifications! I found it very cute and exciting to be able to see her growth compared to vegetables and fruit during our pregnancy! We had a lot of fun with it! Our daughter was born 2 days after her due date, so we were able to see where we were at each week on this app! I’m not a huge book person, so this was a much easier way to stay in tune to what already happened or what we could expect to happen! Sometimes we were like, oh that already happened last week or two weeks ago! Other times we would be excited and what was going to happen soon! I thought it was also very helpful because it gave us an idea on what to expect and gave ideas of what to ask the OBGYN doctors and nurses! I have been using it even since she was born and we are going on five months old now! Very helpful app!!! We will definitely use this app for our next pregnancy!"
6,6,5,2021-05-03T14:30:29.000Z,Kelseeyyyyyyy,Free & better than other apps,"Free App, better than the others that charge. I downloaded 5 pregnancy apps and of all of them this one was my favorite AND free. I put it on the home screen while the rest I’ve been checking to see if there’s anything different and you’re not missing out on important info by paying for the other ones. I think the information on this app is more positive and correct. I notice other apps like “What To Expect” especially is behind on the latest data and feeds the inner victim/negative expectations around pregnancy that I feel is a marketing tool more than a helpful thing. Things I knew before being pregnant like nail polish is hormone/reproductive disruptive, What To Expect was WAY off on the safety of that and other things and clearly didn’t do their research when the ingredients are right there for their “experts”. So I dropped them and went with this app which was the most accurate, positive, informative, and easy to use/navigate. Doesn’t pop up with annoying “upgrade” prompts either!"
7,7,1,2020-05-08T13:16:50.000Z,😁😁😁ddgxhcv,Miscarriage Support,I had a miscarriage and I had to delete my pregnancy from your app. 1- it’s horrible that the app doesn’t have any miscarriage support like my other apps do and you can’t even use the app unless you log that you are currently pregnant. Once you delete a pregnancy it just kicks you out.
8,8,5,2021-06-26T01:59:59.000Z,Domonique 💋,Perfect pregnancy app,"I absolutely love this app!! This app includes a detailed insight of your pregnancy week by week as well as a picture of what your child looks like in your womb. Also, it includes dos and don’ts, milestones during your pregnancy and for your child, and information on any topic that may pertain to your pregnancy, lifestyle, and even your child. I was a first time mother who had just delivered her first child in April 2021 so this app was beyond insightful on everything that I needed to know so and there is even multiple group chat threads that you can ask another mother out there a  or you may just have information that you think other mothers should know without there being any judgement. Even after I had my child, every week I was informed about milestones and information that my child may be experiencing. This app literally has everything that I needed to know so it was the only app I used during my pregnancy, which I was glad about it, and even after I had my baby I continue to use it."
9,9,2,2020-06-17T16:11:40.000Z,Ebil_lightbulb,"Great app, bad ads.","My baby turned one year old yesterday. I turned in the app, excited to read some more but it was still on page 11 month, 4 weeks. No further information, no celebratory message for growing with them for a year, no recommendation for the years to come, no farewell message, nothing. You'd think, if everything comes to an end on the app, that they would maybe give us an ending of some sort? I guess I'll just delete it now. Thanks for being an almost daily visit for nearly two years. Byyye..."
