,id,rating,date_time,user_name,title,body
0,0,5,2018-10-27T14:34:22.000Z,beefkabob11,The app fits what I am looking for!,"I’m lovin’ this app so far, just into it for a week.  I was tracking most of my diet info in a spreadsheet prior  and I really like the ease and availability of the food selections and their specs along with their crisp, easy to read presentation, nice Job! I switch between the web app while at my computer and I really like the graphs to see where I’m at. Just started to look through what’s offered in premium and I would definitely pay for these features as I finely tune my usage and become proficient with it, but honestly I think your sweet spot right now is between $2.99 and $3.99 per month.  Bigger and more graphs on the mobile and web app would be great!  Until people like myself get enough time to use and appreciate the app and assess its value, your higher price is a psychological hurdle, at least for me.  I’ve learned to trust my gut in app purchases and the fact that I did not jump in immediately confirms that.  I’ll certainly have more feedback as I get into it further. Overall, I think you guys are on the right track with a really nice app and I’m anxious to see what’s coming next!"
1,1,5,2019-06-21T22:30:21.000Z,Tumblr4dayyyyyyyys,Great app & preferred over myfitness pal,"I enjoy the layout & design of the app. I love that it doesn’t bother me too much or shame me when I don’t track calories or log a workout(?) That was an issue I found with myfitnesspal. The online forums also seem a bit more active and encouraging on this app. The app design is simple & to the point. Nutritional facts are seemingly on point. Not a hard app to figure out at all & they have a broad range of food options and choices. I’ve only found it hard to find nutritional info for obscure Asian snacks. In that case, I try to track for something comparable and factor in calories from the packaging to match my food diary. I love the weigh-in function and the data charts available. You are also not inundated by ads and not at risk of accidentally pressing on an ad and opening a new webpage so that’s a big win for me! Great app, I would highly recommend to anyone who just wants to keep an easy and accurate food diary. Whatever your fitness or weight loss goals, this is a great app in general to aid those goals."
2,2,4,2018-01-22T17:02:57.000Z,angeliaanderson,Love it,"I love using fatsecret. The diary and logs and support from other users is excellent and so helpful in my weightless journey. Love the fact that you can set your own macros and calories or have it calculated for you. Tracking is mostly easy and the library of foods is extensive. That being said I noticed sometimes, not all the time, they are a little off. For example my protein I use has 3 grams sugar and when I scan the barcode the app says 0 sugar. So for people who are needing to be exact on their counts you need to just double check that they have it correctly in the system. Also, when you get notifications that someone has responded to your diary log you have to go through some steps to get to the exact message. I wish the notification center would take you directly to the message for easy reply or viewing. Only other complaint is that you have to use the online version to change your profile picture and get access to certain features but that isn't a deal breaker for me. The app does everything you need it to.  Other than that I love this app and will continue using it."
3,3,5,2018-02-25T15:29:42.000Z,Kris1015zzzxz,Comprehensive weight loss app that's easy to use!,"This is the best weight loss app ever. I have used a few others but they do not compare. You can customize what you want to track, whether carbs, protein, fat etc. It also gives you the full nutritional breakdown of your meals, including salt and cholesterol percentages which is awesome. The recipes are fantastic and you can even participate in community conversations with fellow app users for those that want support. Adding food/recognizing label codes are super easy to do. My 5 stars are more like 4.5 stars. I took off half a star because a few times the barcode reader can be a bit off when scanning items. exp...The label may say 10 carbs or calories etc, but what is registered may be a higher or lower number. So at the end of the day your total count may be off by a few digits. Not sure if it is the fault of the app or the barcode. Either way, it is a mild nuisance that doesn't occur often enough to be problematic. With that being said, the app is awesome and I 100% recommend it."
4,4,5,2020-03-17T16:19:21.000Z,wkrasl,Better than expected,"Having type 2 diabetes, I used to use the “Diabetes In Check” app, which included specific features for diabetics. Even then, when entering some new food item I always went to the Fat Secret web site to look up nutrition information."
5,5,3,2019-05-14T19:58:33.000Z,GNewYork,App Inaccuracies,"The app has things like general common vegetables: kale, tomatoes, zucchini, etc where your calorie and carb count is definitely a lot different than that of other apps. This makes it difficult to track the carbs and protein in our meal. It would be great for general items like that if you added the ability to change the size of the general tomato by ounce and adjust calories proportionally.. Instead, we are tied to a medium tomato with XYZ calories... It would be best to take the general calorie averages of all brands of tomatoes and then add them in that way.."
6,6,3,2018-10-18T20:10:48.000Z,Maria Koppel,"Good, but...","I have been using the app for two weeks now, primarily the diet diary function. I appreciate the wide variety of options when I search for a particular food. However, the app freezes while I'm searching and adding foods during almost every meal entry. Any items that I have ""saved"" are lost. I have to fully close the app, re-open, and re-enter lost items for that meal. It's frustrating. Also, I took off a star of the horrible, tacky name ""FatSecret"". What kind of name is that? Is the app calling users fat? Is the app a secret cure to fatness? It sounds unprofessional."
7,7,1,2019-07-31T23:15:10.000Z,lipidolite,Fatphobic as it gets!,"When starting out with this app, it’ll prompt you your goals (weight gain or loss & how much you’d like to gain or lose) & physical attributes (height, current weight, activity levels, etc.). Being extremely underweight like I am, I was excited to see a health app offer weight gain as an option. However, EVERYTHING on the app stays set to weight loss despite what you put in as your goal. It’ll send you notifications like “You only need 400 calories to power yourself through!” as if you’re trying to barely survive. The actual calorie counter has a daily meter for how much you’ve consumed of your daily goal. It fills up green, then when it’s full it turns red. Consuming enough or extra calories is a GOOD thing when you’re trying to gain weight, but this meter depicts the opposite. It even goes as far as to mess with your public profile & state that you’re there for weight loss despite the goal weight clearly being a higher number than the starting weight. I don’t see the purpose of offering “weight gain” as an option when the entire app’s layout is permanently fixed on a weight loss routine. It’s extremely discouraging & fatphobic."
8,8,1,2018-12-27T03:35:47.000Z,Spookysabrina,Can’t get past the name 🤦‍♀️,"It’s a pretty good app in all, I would like an option not to add ALL nutritional info, just calories (as seen on my fitness pal) because it provides a faster and easier option for many users, but the biggest block for me is that name... I previously used my fitness pal and had no problems keeping it on my home screen for everyone to see and I needed it there because I used it often and wanted quick and easy access to it, but having an app with “fat” in the name on my home screen is embarrassing in all honesty. It was my biggest issue when I was looking into the app and I don’t know if I’ll keep it at this point. I wish the developers would see common sense and rename the app to a more positive, normal name that focuses on more than just fat. I mean, think about what that does to the user. Each time they open the app they feel like they’re reaching toward a goal, but never reaching it. In other words, it makes me feel like I’m fat when I know I’m not. It discourages me and is off-putting, but more than anything it’s just frustrating that someone would make such a great app and name it something so humiliating."
9,9,4,2018-03-12T14:51:48.000Z,pcasciola,Great app for tracking dietary goals,"Whether you are looking to monitor calorie intake, or carb/fat/protein, this is a great app. I’ve used it several times over the past 5-6 years, this time to track carbs. Also charts weight over time so you can track your progress. You can enter you foods by using the phone camera to scan the barcode, and most things I scan are in their database."
