,id,rating,date_time,user_name,title,body
0,0,5,2017-06-22T16:11:40.000Z,rikki1700,Use it and lose it,"Cataloging everything that passes your lips can be very tedious and all the times I tried writing it down I never seemed to be where my log was.  With this app and our age of technology, I'm never far from my phone.   I love that it interfaces with Fitbit and other apps.  Yes the food library is a bit limited but the app provides ways to help them help us.  It also allows you to put in your favorite recipe and account for things you'll never find in another place on the planet.   It conveniently lets you scan the upc and in most cases, the dietary data is provided.  When it doesn't, it's easy as pie to take a pic within the app of the front of pkg and of the nutritional data and they update the system as we collectively provide data.   You can keep track of anything you want in this app and it's especially helpful to see trends.   It's always a good thing to raise one's awareness and through the use of this app I've been able to significantly lower my A1C, lose 20 pounds over the last year and increase my awareness of what I'm doing to and for my body and health.  The spreadsheet is miraculous to review with your doctor and see trends that support your health.  My doctor commented, while I showed her the graph on her screen at the Ofc that she wished all her patients were willing to use technology to help themselves.  It inspires me to see the guy descend the slope each time I'm able to show another pound gone.   Yay for this app!"
1,1,5,2019-01-18T22:39:05.000Z,Nandav,Great app for Diabetes tracking,"This app is similar to MyNetDiary with added features such as tracking blood sugar and other medications.  It also syncs with other devices to track steps and exercise.  I also like the note-taking function.  I am using the Max version that I believe is worth the price.  Besides diabetes, I have other medical conditions and I find this helpful for everything.  Being able to log medications ensures that I don’t forget a dose or double-dose.  My doctor appreciated that I could show her my blood sugar results over a period of time."
2,2,5,2020-09-23T18:41:38.000Z,Rose Gardens,Good but reports need work,"Tracking is excellent. The paid version is great with xtra details for Diabetics.  However, the reports need the ability to customize. Printing is too small to read. I may be missing something, but you can’t change orientation, or get rid of the food grade column which is useless to my Doctor. The emailed report works, but the customized PDF daily can’t connect to the website and gives an error to Wait one minute and try again. They won’t process to print. This feature was working up to a few days ago. Emails to the support team have gone unanswered. Reports are the most important part of the app for me and my doctor. If this is not important to you, its a great app.  If support is given in this paid version, I will revisit my review."
3,3,5,2017-08-24T07:28:31.000Z,DaveSonoma,My indispensable tool,"MyNetDiary was my essential logging and guidance tool when I had to lose weight and get my diet into balance. Logging is a pain, even with a great tool, but for me it was the key to honest portions and steady progress. I could see my results in a wide variety of charts. In the long weight loss slog, an improving chart result was an encouraging boost."
4,4,5,2018-12-05T00:30:57.000Z,A searcher,I've Been Waiting Years For This App!!!,"Have been using 3 apps for years to track nutrition, diabetes & meds. Yippee!  One app to do it all. App takes into account all aspects of DM management. Was very impressed with d-carb count which make a significant difference in managing diet & meds. Daily summery of blood sugars, insulin & other meds, nutrients, H2o, activity, ability to set parameters for nutrients & blood sugars specific to the needs of the individual is much appreciated. Food database still on the small side but will enlarge as people use it I'm sure. I stumbled on this app by accident & consider it a very happy accident. Can't wait to show it to my DM & dietary educators. As a retired RN & having worked with many diabetics as well as now being diabetic myself  I can really appreciate this app. Good job guys!!!"
5,5,5,2018-12-11T11:36:22.000Z,tryin to do it right,Excellent!!!,"I’m a diabetic and track my blood sugars. I have tried several programs and had to input notes. With MyNetDiary it tracks blood sugars for you.  Charts for a quick reference of where you have been and how your doing. I especially like how you can check the rating of food, the breakdown of nutrients, fat content etc. It will show you the overall nutrients for the day. What your overages are ie fat, cholesterol, sodium and also where you have come up short ie potassium, vitamins etc. it will give you guidelines and information how to lower calories to help you attain your goal if losing or maintaining weight. I lost 50 pounds the last year, with a personal trainer, a nutritionist and MyNetDiary. My A1C went from 6.7 to 6.1. I came off of several medications that I have been on for years. Yes I still struggle with eating correctly but with MyNetDiary it keeps me accountable to myself."
6,6,5,2019-06-21T07:04:03.000Z,S.Lue,Life saver in many ways.,"Have a chronic illness is stressful enough.. living your entire life being a professional patient is HARD... but I’m extremely thankful for this app! Last year we finally found I have reactive hypoglycemia. It’s been a lot of trial and error, but being able to track and journal (and correlate blood sugars!) has not only been extremely helpful for myself, but also my doctors."
7,7,4,2019-03-12T18:05:14.000Z,owndao,What was free is now subscription,"It is infuriating to see features that were free become subscription only. $9 a month???? Ill write my own tracker on a spreadsheet. Then I can track and graph “tracked” items like I’ve asked for for years. Very disappointing to see simple tracking of nutrients now costing money. This is a trend in many money hungry vendors today, charge a fee for obtaining the app and then demand absurd amounts of money for features that were free and cost the developer nothing. I can understand needing fees to pay for subscription services in order to provide certain features that cost the developer to supply but charging for previously free services that cost the developer nothing because they are services that once included for one item cost nothing for 100 of the same."
8,8,5,2021-02-11T18:57:02.000Z,"""@&&$)((;//-realylovethisgame",Love this app! Worth every penny!!,"This app tracks everything! You don’t need any other app! One stop health app!!!!! I am a type 2 diabetic and I follow ketogenic diet. The app tracks my medications, My supplements, my blood sugar, my blood pressure, my oxygen, my steps,  my water intake,As well as giving me an amazing macros pie chart to look at. It lets me set my daily goals by carbs rather than calorie while letting me still watch my calories. I just love this thing! You have continued to make it better and better as I’ve used it and I am so excited to tell everybody to sign up here! I have told my whole family that they should have this app. So helpful for when you have medication and a forgetful mind to be able to track your medication & know exactly what time you took it! Wow,  you guys just keep getting better and better!!!"
9,9,5,2018-08-27T16:20:13.000Z,parkermv,Great app!,"***update from original post below. It’s been well over a year and this is still, by far, the best app for a Type 1 diabetic like myself. The only thing I could  hope they’d add is a Bolus advisor for folks like myself for whom a pump just isn’t an option.  ***"
