,id,rating,date_time,user_name,title,body
0,0,5,2018-09-03T02:19:25.000Z,David------,Annoyed no that it keeps prompting me to rate the app,"The developer responded to my 1 star review which made me feel kind of like a jerk for leaving a negative review in anger over the prompting for a review, which is apparently not their fault.  The prompting for a review was still annoying but I appreciate the response so I’ll change it to 5 stars."
1,1,4,2017-08-03T14:10:22.000Z,Bewildered1965,Helpful and Informative,"Fooducate helps me be more aware of every bite I put in my mouth, because I know I will have to enter it into the app. I like that it also helps me understand more about the quality of ingredients and nutrients I'm consuming. I wish that it had an easy way to know more about a food before adding to my daily intake. I find that I have to add a food first in order to see just how it will affect the daily goals, nutrition info, etc. It would be helpful to me to be able to look at that detailed info as I try to decide what to choose for snacks and meals. The feature may be there, but if it is I haven't found it yet. I've been using the app a little over a week and have lost over a pound, so I'm seeing good results. It reminds me of when I used Weight Watchers points tracking, which also worked well for me. I also like the diet tips, where I have read some interesting information. The notifications are nice to help me remember to log in each meal before I forget what I ate. This is a good solid app. I have also found it worth the extra money to unlock the premium features. I plan to continue using this one!"
2,2,5,2020-01-14T13:25:44.000Z,HGM889,5-stars!!,"I absolutely love this app! I downloaded Fooducate a while back when I had a bit of extra weight I wanted to lose and fell in love with it. It really helped me become more aware of the food I was eating and the different ways food labels trick us into eating unhealthy foods. I scan literally every new food I choose when I’m in the supermarket to make sure I am keeping in line with my health goals. Anytime I hear about new nutrition trends/ingredients/products, Fooducate is the first place I go to check it out.  I also love how the app shows me if a food I scan has nightshades in it. I have a major food sensitivity to nightshades and they are often hidden in the ingredients, so this makes my life way easier! This app has changed the way I look at the foods I eat and helped me so much in my health journey."
3,3,3,2018-07-01T20:25:12.000Z,TOPW_QOH,Issues,"Many of the foods I eat are not in the database. Many of the foods that are in the database have the wrong nutrition information also. This has messed up my information, but now that I realize I double check the nutrition label and enter the nutrition information myself. When entering the information Vitamins A and C cannot be included in the nutrition information because there is no place for them. It would be helpful to include vitamins and minerals in the nutrition information. Apple HealthKit does not update when you delete something it remains in there. It would be nice to be able to see the carb count and other nutrition information per meal instead of and/or in addition to the total amount per day. A new day begins at 12:00 EST and ends at 11:59 p.m. EST, but the app does not adhere to this as it remains on the day before calling it today when it is well into the next day. The ability to print a report from “All Time”, 90 days, 1 month, 14 days, and 7 days would be helpful. For privacy the app should allow for a passcode on the iPhone app."
4,4,1,2019-02-03T02:38:38.000Z,frustratedUser1900,Awfully small database,"The concept is great which is why I ended up buying a one year membership but you either have to cook all your meals (which I often do on weekdays) or buy a meal at a very unhealthy store like McDonalds or taco bell or a packaged frozen dinner (which is very unhealthy and they acknowledge it too) for them to figure out your calorie intake. There is no middle ground. I went out to a Mexican place for lunch today as it’s the weekend and shared a plate of nachos with my friend but there’s no way of estimating my calorie consumption unless I know the portion size of each ingredient unless I am willing to go eat at tacobell. Their grocery list is also very small, most of the healthier brands don’t appear on their database. So I would have to either type in my calorie intake manually or buy a mass produced alternative listed in their database, neither of which sounds appealing to me. If you expect me to use the app everyday for a long time, you should make it super easy to add my consumption and estimate my calorie intake. I am just a week in to my membership and I already regret my purchase."
5,5,5,2018-02-23T04:42:17.000Z,Eyalkr1,This app changed my life,"For years, I had all the intentions of buying and eating healthy food - but I was mislead by the “healthy” brands. When I realized that you need  to check the labels and read ingredients - I was frustrated that it takes long time and learning (eg, more than 20 names to sugars are used just to hide the fact that a product contains lots of it 🙁)."
6,6,5,2018-10-03T18:40:14.000Z,HypotheticaLee,Fooducate is an app I love because it improves the health of the people I care about.,"I got in the know about Fooducate. I told all my friends and family members to download it. A few days later my mom said I put her on a diet and that she is eating more healthy. That's when I decided to download the app too and let me tell you: Fooducate is an app that I love because it improves the health of the people that I care about. I'll help the Fooducate app out by sending products their team hasn't posted info about yet. You are excused to leave the Fooducate app page on the app store only if you are a certified healthatrician. Download Fooducate. Do it for your health! And tell all the people in your circle about it and make everyone healthy! Thank you, Fooducate team, for making more people healthy! 🌟"
7,7,4,2020-05-04T20:59:54.000Z,Lubimangie,Con and pros,Im using upgraded PRO version.
8,8,3,2019-09-23T23:06:58.000Z,kittykat12101,Good structure but very bare bones,"This app has one of the most comprehensive food rating system along with a really wide variety of foods which I really like about it, but other than that it’s features are limited. I wish you were able to track steps like you could on the app I was using before this because most of my exercise I get from walking and it’s hard to do the math for how many calories I’ve burned without knowing. Additionally it’s super frustrating that the main measurement used in logging food is ounces. If I measure myself out a half a cup of carrots I have no clue how many ounces that is because I don’t have a food scale! Because of this I have to go back and forth between different apps to get the basic features I need but keep the insight that this app gives which could honestly be easily solved by just adding more features. I look forward to the day I can give this 5 stars!"
9,9,2,2020-08-23T16:11:05.000Z,Tpuhl17,Long time user,"Loved this app when I started using nearly 8 years ago. 5 star loyal customer. Now, I have way to much food data that clutters up my “recent” foods with no way to delete them. I’ve asked, but still don’t know why users can’t delete foods from their data."
10,10,4,2017-07-16T22:27:39.000Z,rungirl39,Happy with the app,"I like that this app allows me to easily track my food intake, which is super helpful when trying to lose weight. I don't necessarily count calories, but instead prefer to eat a moderate amount of whole foods that include a lot of healthy fats. The app holds me accountable so that I don't indulge too much in unhealthy snacks that slowly creep up around my waist line. I make most of my own food so I am happy that they have the ""user added"" option. The ability to enter in my mood is a great feature as well. Just the act of recording moments of boredom, anger and even my sleep patterns help me to keep my emotions in check, as well as provide a resource for me to review too see if any of my eating habits change my sleep quality or contribute to mood swings. Thanks for the easy to use health tracker!"
11,11,5,2017-10-30T13:46:12.000Z,Sully2306,Great App,This is a great app for really understanding what you are putting into your body. I love that it also gives you healthier alternatives to replace unhealthy foods with. It’s so easy to scan the barcode of the food you want to know more about and instantly you can see the grade of the food and why it received the grade it did. There are so many hidden potential dangers in our foods today. If your scanned item isn’t in their system you can have them add it by submitting some data to the makers of the app and they will return with your item added and graded. Fantastic app! It makes transitioning to healthier eating seem more attainable by providing knowledge and makes it fun because it’s interactive.
12,12,3,2018-06-19T18:25:38.000Z,Chocoloco47,Food tracking needs more detail,"The scanning via camera of foods is awesome, but this needs more details when it comes to food logging. For example, one can only log on a mobile device. The option to log on a desktop would make this process faster. Also, different serving units should be included. For example, one should be able to enter food as units of weight and volume, with both imperial and metric measurements. The amount of food consumed shouldn’t be required to be relative to service size. For example, I had 1/3 of a cup of oatmeal, but I was forced to say how many multiples of 1/4 cup that was. That’s a pain if you care about precision. Finally, the nutrition reports should also include vitamin and mineral reports. This could be particularly useful for vegetarians and others who need to be more vigilant about iron and other nutrients."
13,13,3,2019-01-28T18:28:50.000Z,Preview Works Better,"Fine App, Too Cumbersome to Find Food Points","The app is great. I learn a lot about the food I’m eating. The only peeve I have is that it’s too cumbersome to get to the Food Points section of an item. For example, when adding to the tracker,  you have to hit the search button, search for the food, click on “explanations,” lookup the points, then hit the add button. If you’re counting calories, you can go straight to the tracker and add food while seeing the calories per cup at the bottom of the item without all the extra steps. It would  be great if you could choose to see the food points quickly at the bottom of those entries as well."
14,14,5,2019-02-02T14:31:31.000Z,RetiredOnFire,Great way to set goals and stay on track,I use Fooducate when I need to get on track and start budgeting my food intake. I have a tendency to start eating more over time. When I find the scale is creeping up I use it as a food diary and it gets me back to eating properly. I did Weight Watchers years ago and found the “tracking “ useful to become more aware of what I’m eating and make changes. Fooducate is really handy for that. And it lets you input your weight and weight loss goals and then calculates your food intake you need to achieve that. It gives you a lot of flexibility to decide how long you’d like to take. It also grades your food choices. I was surprised to find that Samoa Girl Scout cookies have trans fats. Tasty but not worth it.
15,15,4,2019-02-12T03:31:14.000Z,TAArtz,Great app,"This app helps me realize what quality of food I eat. It keeps track of my exercise, water intake, and what I eat at every meal/snack with breakdown of calories.  It adjusts calories I can have based on my exercise.  It doesn’t display the other nutrition information, but it does transfer that information to the health app.  What frustrates me is when I am entering food for a certain meal, it changes the time to when it thinks that meal should be.  I wish it would leave the time as current and let me change it if necessary.  It has a database of thousands of foods and lets me add foods and recipes (until today).  I have had the app for about 6 months for free.  I don’t know if they changed something recently to limit capability."
16,16,5,2020-09-28T03:22:54.000Z,athena570,Best decision I’ve ever made!!,I have been eating foods and wondering what’s inside them each day and have yet to find an app that does that and more. So when I stumbled open this I felt amazing! The app was well organized and as a played around with it I enjoyed the fact that I could scan foods in store to find out if they are healthy or not and why! This app taught me a lot about harmful things in Our everyday food and how to save money and be healthy! I especially like the tracker which is the first one I have ever gotten that works and preforms amazingly without having any charge. If you are looking to know what’s in your food and how to track and improve your health download fooducate (lol I sound like a ad) this app is awesome!!
17,17,2,2019-07-26T12:12:12.000Z,chrisminbrooklyn1980,Needs to take into account different goals besides weight loss,"Sigh. This app is...just not what I wanted. I need to gain weight, and while I love some of the metrics it provides if you want to gain weight there is nothing to help you in the app with this goal. Instead you have to more or less figure it out yourself. This app, unfortunately, is no help to those of us who want to gain weight, and as a result is part of a one-size fits all approach to diet and health, which is that losing weight equals health, which, as an eating disorder survivor, I can tell you is not true. It seems like it would be an easy fix to include other folks here to be more inclusive and I thought maybe I could get that if I purchased the premium features, but for now I’m just really disappointed that I bought the premium version, and hope that the developers will respond before my subscription is up. Ugh."
18,18,5,2020-09-10T13:18:35.000Z,Stvnjs,A very useful tool,"I have struggled for years to lose weight. Sometimes successfully, other times, not so much. I have found Fooducate to be a much more useful tool than others I have tried. The thing is, its on me to actually enter in the food I’ve eaten and this app makes it very easy to do so. I also love how it figures out the calories I need to reach my goals. The grades for food are extremely helpful when at the supermarket trying to determine what I should or should not buy. Lastly, I like that it gives me alternatives to the “bad” foods. That way I can make up my mind if I want an apple or a highly processed bar of some kind that might be labeled as healthy but in reality is not."
19,19,1,2021-03-06T18:59:27.000Z,badkitty_,"Like the website, hate the app","I downloaded this app because I like the website. But the app immediately began prompting me for personal information. Height, weight, age, etc. I did not fill in any of the information."
20,20,3,2017-09-08T00:57:04.000Z,Ferris Beuler,"Good, and getting better all the time.","(Adding to my original review- this is a great ap and better as more workable now less touches needed to use it.  I wish you didn't have to pay so much for the additional features but yes, they need to make money.  )This is a great application for identifying and comparing the healthiness of foods.  I dont go grocery shopping without it.  The new version is a pain because now it is trying to track my meals and be a diet app too; don't need that.  Also it is too many taps to go from scanning one item to the next.  It used to be easy to go from item to item in the store or the pantry scanning and learning.  Now I have to backtrack to get to the scanning screen.  The information is good however."
21,21,5,2017-10-06T20:54:56.000Z,Staygold415,An excellent calorie tracker and educational too!,"I love this app! It is far different from the other calories tracker app because it also educates you and grades certain foods. It informs you whether the food or drink you consume is healthy for you by grading it. For example if the food is healthy enough to eat the app grades it at A+ or close to that and if the food is unhealthy to eat, the app grades the food closer to a letter D. This really has educated me based on the grading scores of the foods. It truly helps me stay away from the bad and unhealthy foods out there. It’s also community based so the list of foods just keeps growing and growing. I totally recommend this to anyone trying to get fit/healthy."
22,22,5,2018-01-19T04:06:03.000Z,NegSilent,Not bad for free!,"I like the app. However, it seems very few of my food items are listed. It takes quite a while to enter all this in by hand. However, my diet doesn’t vary by that much -only by how much and what time of day I consume it."
23,23,2,2018-08-07T18:31:12.000Z,silentsophi,The Food Database is Lacking,"The largest hinderance to the use of the app is that the food database, even when scanning is a fraction of other apps like My Fitness Pal. For instance I tried to scan eggs from a National grocery chain and it want me to upload photos and details. I tried to log food bought from whole foods and it does not exist in the Fooducate app. It literally takes me 5 minutes to log a meal and maybe 10 to log a recipe in my fitness pal and it takes 15 to log a meal in fooducate and a solid half hour for a new recipe. I tried to add herb baked chicken and fresh sage wasn’t a pre-existing option and the chicken thighs I was looking for was not included but these processed frozen one were, that makes no sense. They really need to invest in their food database. Without it, it makes the app kind of worthless."
24,24,5,2018-10-14T22:06:52.000Z,saritkw,I use it daily,"Fooducate has changed my life. Literally. I did weight watchers, fitness pal, lose it, lifesum and others. They are nice but never worked for me because of the focus on calories only. This app opened my eyes to the source of calories - the actual ingredients that go into foods. I learned that a lot of the low fat and low carb food I had been eating for years were full of unhealthy ingredients. I swapped out these foods for healthier suggestions made by fooducate and things started to change! Today I’m 32 lbs lighter, and find it easy to maintain  my healthy eating habits without thinking of myself as being on a weight loss diet. Thank you!!"
25,25,5,2019-02-03T14:39:50.000Z,Wacj2r,Lost 7 lbs in one week,I know weight loss is not only reducing calories it also requires the right mindset to be successful. This app has helped be become more aware of what I’m eating and the amount of macros I am consuming on a daily basis.
26,26,4,2019-07-07T02:31:33.000Z,r!atm,Suggestion - Unliking,"This app works quite well for tracking one's nutritional intake. I really appreciate the ability to view better alternatives to certain foods. However, one slight annoyance I have is with the liking system. If you accidentally like an item, you can't ""unlike"" it, you can only dislike it, which does take it off your ""list"" but it brings the average of the product down. This is important for situations in which one hasn't tried the product but has given accidental feedback through tapping a heart. I would appreciate if an implement could be made in which a user can simply tap the heart again, and the like would go away. Otherwise, I have no qualms with this app and use it daily."
27,27,5,2019-09-09T21:06:23.000Z,AVIXDANA,I LOST 7 POUNDS IN ONE WEEK!!,"This app has helped a-lot, it forces me to be aware of everything i put in my mouth liquid or solid. The barcode part helps me a-lot when i want to log food quickly and efficiently and the community on this app has helped me a ton with weight loss questions and support. When you start the app it will give you a diet assessment of everything you have ate in 48 hours i believe and it tells you everything! Carbs, fats, proteins, exercise, sleep anything you can think of. Its the only fitness app i use a-lot. I used to be 180 pounds now I'm 178 and my goal is to lose 35 pounds. I recommend this app for anyone who is trying to lose weight."
28,28,4,2021-02-24T06:36:21.000Z,Travisplo,It’s Better but could be more,"It’s okay, as I said in the title. It *works*, but not perfectly or smoothly. For example, I’d enjoy a manual calorie burn input for external exercise trackers, instead of being forced to find something similar to what I did, and then trying to make a match with searching through the minutes and hours. Oh, and also being able to define a date as well as a time for exercises and meals would be nice.  Also, the ability to use the “flexible measurement system” where you can manually type in any amount of grams for recipes. The ability to also remove old recipes might be nice. I might start editing old discarded recipes into new ones entirely otherwise."
29,29,5,2019-08-06T03:03:50.000Z,BOB$1000,Great app but change all grades from F to A,"I think this app is great. I take full advantage of their grading scale on food items. After going through multiple explanations on why they grade the way the do ,I’ve concluded it is a very consistent and reliable scale but you have to look out what that products top grade is because it isn’t always an A, I wish they would just make the scale consistent across the board in regard to F-A. Otherwise it is pretty good for helping you track your weight but there are many other apps for that. The community is mostly pleasant and the app is very easy to use. 9/10 would recommend."
30,30,4,2018-03-07T19:57:09.000Z,NoahdaBom,"Great Tracker, Hard to Use","I really like my ability to add whatever I eat on the tracker to keep track of my calories and nutrients, but it’s a lot harder than it should be to add food.  Every time I select lunch, it sets me to 1:00 PM.  I eat lunch at 11:30 every day, so I’ll often forget to change PM to AM then I have to go through everything later.  I’d prefer that the time didn’t change when I put a meal down.  Second, I can’t update my own recipes and I instead have to redo everything from scratch.  Third, the calories burned through activity are much higher than they should be.  Running for 30 minutes burns around 275 calories, not 500."
31,31,2,2018-11-17T21:57:19.000Z,tchmymind,I'll give it a little more time,"So far, I'm not very impressed. I understand that the in-app purchases are how the developers make money, but it seems like everything requires the upgrade. Maybe they should try offering a free 7-day trial or something along those lines. I'd be much more willing to spend the money on the upgrades (it appears that there are several different variations of upgrades, like different ones for low carb or lowering cholesterol or food allergies, etc. but I could be wrong about this) anyway, I'd be more willing to spend the money on the upgrades if I knew exactly what I would be getting. Maybe I'll try it for a month, but then, maybe I'll just look for another app that offers a free trial so I know what I'm buying."
32,32,5,2018-12-31T22:53:39.000Z,M_K_307,So much with free version!,"I just downloaded this app to help me as I train for my first half marathon and I want to make sure I’m giving my body the nutrients it needs. I also wanted to learn more about the food I eat in the process. WOW- not only is it easy to add foods to your diary, but it explains why they get their health grade/ratings AND offers up suggested alternatives! I only downloaded the free version to see how I like it, but with a little more time to see if it holds up, I’m definitely considering buying the full version (which would then help me with other health goals)!"
33,33,3,2019-02-16T18:18:35.000Z,superdanni,Does not work with Apple Watch and messed up total activity data,"This app is great but for the fact that it doesn’t work with Apple Watch. It does integrate with Apple health which results in duplicative data if you allow it and your watch to access apple health. So, if I walk for 60 minutes with my watch on, and then try to add a 60 minute walk to this app in order to show calories burned, all of a sudden my app health thinks I’ve down TWO 60 minute walks, which eventually shows up on my watch. I tried to explain this via comments and feedback instead of a review but they just gave me the same speech about how it works with apple health. Going to switch to my fitness pal."
34,34,5,2021-02-26T06:03:20.000Z,AddictorXD,Convenient,"It’s a good and easy way to track calories and what you burned off. That’s what I usually use it for. I’m not a person who is a health nut or goes running everyday, I like food as much as the next person does. But I’m trying to lose weight, and it’s a helpful tool."
35,35,2,2019-09-30T08:12:37.000Z,Response Requested,Pro doesn’t have all features?!?!,"I tried to contact you through the app and it requires me to use an email all I do not use, hence sending a review in hopes of help. I bought the pro lifetime and cannot access the allergies section. I am very disappointed and would return the purchase for this. ‘Pro,’ to me, would indicate access to all features. There was no comparison offered so I could judge features and make an informed choice between levels of access. App is ok, but still needs a lot of work, I bought it for the allergy/gluten feature but I wanted the whole thing. Please let me know what can be done. Please provide your actual customer service email (not a link that only works with one email service) in the app in future updates as well."
36,36,4,2021-05-23T20:55:20.000Z,Paul Troon,Fantastic,I love this app. I have no experience with earlier versions. It is quite the handy device as long as the nutritional information is correct and as long as it is not “corrupted” by commercialism. I would hate to think that producers could rate their product higher. But there is no evidence of that so it is fantastic!!
37,37,1,2021-05-11T16:06:29.000Z,rayasummer,Pro version is useless,"I decided to do the subscription because the concept sounded great. It lets you customize your health conditions on your profile and shows you a breakdown of the nutrients of the food you have eaten that day, but that’s as good as the pro version gets. Although you can customize your health conditions it does not change the recipes that it shows you to cater to those health conditions which is pointless. All of the recipes they show are entered in by the community and they just show the most recent or most popular they do not let you even customize it yourself to show what kind of recipes you want to see based on your diet. It all honestly looks kind of random and you have to spend forever searching for what you are looking for. Any other health app would be better."
38,38,5,2021-01-03T03:24:23.000Z,Coll7784,Perfect App,"This is a great app. I’ve used it for years and it’s the only thing that’s worked for me when I want to lose weight. There is a focus on nutrition rather than any specific diet plan. It’s very customizable, you can do points, or calories, set goals and monitor progress in detail. I really enjoy the daily breakdown and looking at the nutritional value of what I ate that day, rather than focusing solely on calories and weight loss. For me personally, that motivation to keep eating healthy because it keeps me thinking about what I’m putting in my body. I’ve lost 30lbs in total."
39,39,5,2020-05-10T00:55:30.000Z,Ro7z,Now I Remember What I Did Not Like!,"I could not remember what I did not like about this app, but now I do! Sorry to say it’s after I purchased the “Pro”. When entering a personal recipe, it will not let you enter the recipe amounts (example: the recipe calls for 1/3 Cup Sugar and it will only let you enter their SERVING amount for sugar - 1 teaspoon). You should be able to enter the recipe amount, then the calculation should break it down to serving size, based on the number of servings the recipe yields. What a bummer!!! I live alone and make my recipes so I can freeze portions and not have to cook every meal."
40,40,3,2017-09-04T02:12:04.000Z,RAP 1500,So far so good…,"So far this app seems to cover all the bases and it seems to integrate well with Apples health app. I've had the app for years but just started using it seriously this week since I was recently diagnosed with diabetes (yuck). I only have a few questions now: 1) does this app take in (record) daily supplements, and 2) how can I find and select foods in advance that will appear in the list when I am recording the foods I eat? Other than that I really like the detail and analysis of all the important food points like sugar, fat, cholesterol, carbs and many more. I'm sure after using it diligently for the next few months I will have a much better review."
41,41,4,2017-12-30T15:47:38.000Z,Lindaleen,My Daily App,"I’ve been using Fooducate, along with Human, to track my exercise and monitor my food consumption. Together, they have helped me lose weight and understand the best nutrition and maximum calories for my body type. Nothing else worked in the past, which left me frustrated. I thought that 1300 calories per day were a good goal in order to lose weight, slow and steady. I was surprised to discover that I only maintained weight at that number. I also like the fact that as I walk, Human tracks my progress and works with Fooducate to subtract the calories as I burn them. Great stuff!"
42,42,5,2018-05-01T15:18:49.000Z,megpenix,Has everything I need,"I’ve been looking for an app that not only records my food intake but also helps me make better food choices. This app does it all. It helps educate you about what various studies say in regards to the amount of nutrients you need, it grades the foods you’re consuming and tells you why it receives the grade it does, and it gives you a list of better alternatives to consume."
