,id,rating,date_time,user_name,title,body
0,0,5,2018-03-14T18:09:13.000Z,MeganMMac87,Love this app!,"I never gave a crap about my diabetes until I lost both of my parents at the age of 51. They both were diabetic and although that wasn’t necessarily the cause of their death as my dad had cancer and my mom had an upper GI bleed along with other issues it certainly did not help. My A1C was out of control at 10.2! Here I was downing mountain dews and never checking my sugar eating whatever I wanted. I gave up sodas, and fast food but finally have started checking my sugar as well. My endocrinologist has requested that I check my sugar randomly throughout the day and keep a record... well it has finally happened because of this app! 💕"
1,1,2,2018-12-26T06:44:15.000Z,GregMatthews,Ads make it worthless,"The app has a lot of decent features. The interface is cluttered to the point it’s hard to use and hard to find things. The reporting aspect of the app is poorly done, and that’s the most important part. In the free version, the ads after a day become so obnoxious that it’s fundamentally unusable. Full screen ads with the volume forced to 100% that offends everyone in the room. If you purchase this app you are funding a company that cares about monetizing the app far more than providing a good user experience. A premium subscription is VERY expensive, and honestly provides only a few real benefits, outside of removing the ads. I will look at EVERY alternative in the App Store before I feed this marketing tactic. There is a “plus” version with a one time app purchase that likely removes some ads, but there is no clear statement of any difference so the only way to know is to buy it and find out. If you read enough review responses, you will learn if you buy that version you simply get another nagging form of encouragement to buy the expensive subscription. What this app provides is worth no where close to what the premium version provides."
2,2,1,2018-02-04T02:57:44.000Z,mommahippi,This app was great,"I loved this app before they changed to the subscription model a few months back. There are so many things you used to be able to do that aren’t available, even small things like using a custom label instead of before/after a meal. And now in order to share your graphs with your doctor you can only go back two weeks and you have to print it out vs email it. It’s a real shame not to be able to afford an app that used to be an asset to my medical care. I would have been able to use this app had there been a one time purchase price, but I can’t justify adding another monthly automatic charge just to log my glucose levels. I used to hype this app to everyone I knew with diabetes. Even my doctor was impressed, although I had to explain what happened when I could no longer send her my full detailed data via the health portal. Now I tell everyone about the app, explain how the developers forced a subscription model on users, and use it as an example of how patients suffer when profiting from their diseases becomes the goal. I wish I had never trusted this developer with my data. Now it’s locked away and I had to start over again with another app."
3,3,1,2019-03-22T14:22:48.000Z,HaveAGreatDay:),"Not easy to use, weird ad blocking screen","I’m not sure how this has gotten such good reviews!  From the very beginning, there was a lot of pressure to “upgrade“, with even a warning of it this will be the “only time” I can upgrade, with a full screen countdown clock?  10,9,8...what?  Of course I said no, and it ends up that the features they were trying to get me to pay for, are already on the app such as your A-1 C average level?  I wanted to enter previous data from the last month but that became too difficult in this app.  When you are entering the information, they have a tag that you can say before breakfast or before lunch etc.  but then they don’t have a separate area to add food.  Even though I might be entering my fasting blood sugar level, they make you add the food on that page?  So in that entry you have to look hard to understand that I ate that breakfast AFTER I took my level.   Also after entering about four numbers, this ad began to block the view and then when you click the X to close it,  it would open it.  That happened a few times, and I quickly deleted the app!!! Never had anything like this on an app!"
4,4,1,2018-01-03T19:08:06.000Z,Dissappointed99,I Used To Love This App,"I have used Glucose Buddy for several years and loved it!  It was so helpful to me, that I shared it with my diabetic health care team, in hopes they could let other patients no how it helped me.   That is no longer the case!  Version 5 of Glucose Buddy was released during the fall of 2017 and the App (in my opinion) was ruined.  First,  the data entry screen no longer fits on the screen of my mobile device.  Some of the selections are barely visible.  Second are the incessant and annoying pop-up ads that make viewing the App’s screens very difficult.  Finally are the high pressure ads to subscribe to the premium version of Glucose Buddy for a fee of $60 per year.   Many of the most helpful features of Glucose Buddy are only available with a premium subscription, which I’m unwilling to pay.   If you ignore the reviews of the pre-version 5 Glucose Buddy you can see the ratings drop from 4 & 5 stars to 1, 2 & 3 stars.  (check for your self)"
5,5,4,2017-11-15T02:40:18.000Z,Kenrit,GB Improvements,"Great App, simple and easy to use, great way to keep track of blood sugar readings in an easily understandably format.  Plus can email results directly to Dr, cutting down on time consuming expensive visits.  Only two things keeps it from a Five Star Rating, wish would add capability for two separate accounts, so could keep track of my wife's readings all in one App, and it's a small nitpicking thing, wish you would add another ""Fasting"" category with it's own color.  My Dr is mainly interested in my ""Fasting"" readings, and I can only list ""Out of Bed"" or ""Before Breakfast"", which show up with the same colors as ""Other"" or ""Before Meals"", causing some confusion and time consuming research to separate them.   Add those capabilities, and you've really got a winner."
6,6,2,2020-01-11T21:46:34.000Z,Tom Estlack,OK but user interface is terrible,"The app is great overall. They use a data collection strategy to get users hooked on the practicality of the product. Then when you try to use advanced features or download the data you entered, you have to pay for it. So I guess that works pretty well for them..."
7,7,5,2019-03-09T16:07:31.000Z,JCruz2279,"One Stop Shopping, Kinda",2 days in and great app so far. I’m a visual person so graphs and images resonate and sometimes inspire me.
8,8,1,2019-12-16T23:29:19.000Z,MetalMMAMonkey,Still Ads and No Support,"Not even counting the limitations on adding meals. Paid for ad free version to use, one year. Constantly get a pop up asking me if I want to purchase the app for a discount for a limited time that then disappears shortly after. Trying to add A1C to average, but apparently there is no support. When I try to access support from app it asks me to try something else for free it takes me to a sales force site where I can pay for something? Did they mess up a plug in for their app and it’s for their company or what happened? Try to access support from App Store and it takes me to a site saying it’s not found. Going to find alternative and cancel subscription."
9,9,1,2020-02-04T03:49:46.000Z,jwhoberry1123,Difficult to receive support,"I was initially excited to have this app because it seemed to have it all! Exercise log, data sync, nutrition, weight management, etc. I was most excited to have the ability to sync my Dexcom! I made the premium purchase and.... have yet to have my Dexcom sync. I have tried several times and nothing each time. I attempted to find support for this issue. Stuff happens right? I attempted to get support through the app and revive an error via that way and then tried via the website and am prompted to purchase or have two weeks free of another application in order to receive support for it. I have tried several times to receive support and I have not been able to do so. It has rendered the application and premium purchase completely useless to me."
