,id,rating,date_time,user_name,title,body
0,0,4,2018-06-13T13:21:38.000Z,razrsaurus,"Great app, only tiny improvements needed","Great app. Everything you wish your home spreadsheet did with pretty colors and 10,000x less effort. Makes it easy to track food quantities. Some people have complained that it doesn’t  show summary totals in grams, just percentages—but you can just go to the apple health app to see that over time, which is really great. I wouldn’t change the interface on this app. Wish the health app could also display the DV you set in this app for comparison on those charts."
1,1,4,2020-11-13T22:02:35.000Z,mnh16,A few problems,"I didn’t see a tutorial, which I could really use. I find it frustrating that when I want to create a recipe, there are often only brand name versions of ingredients that should just be raw. Since I am not sure what the brands represent nutritionally, this seems odd. I made a sweet potato soup for instance. When I tried to indicate that the recipe calls for 1.25lbs of sweet potatoes, I could not. Instead, there were many brands of sweet potatoes listed and none were available to input in quantities greater than 200 grams (pounds were not an option). I had to calculate grams to pounds and then input several different brands of sweet potatoes at 200-grams each. I had no idea if these were all plain, raw sweet potatoes. This seems really weird."
2,2,4,2017-07-18T22:41:51.000Z,0161019,Simple and Accurate,"Some time after using this app, I've realized it frequently miscalculated percentages of nutrients. The app is basically useless if it tells me I'm getting 0% of a vitamin when I'm actually getting 50%."
3,3,5,2019-04-08T20:00:06.000Z,Mljohnson1123,Eh..,"This app came soooo recommended that I pondered for a long time about buying it since it’s 4.99!!! I don’t normally just randomly pay for expensive apps. Yes the library is very extensive. However after journaling all my foods, all the nutrient information is smashed and you can’t see it. I am not sure if I’m missing a feature in the settings that I need to turn off or on. I have no idea but for that reason I am not impressed. I seriously think I just wasted 4.99. I would like a refund. I send a feedback to the company hoping they might fix it or tell me what I’m doing wrong but I haven’t heard back yet. I am not pleased!"
4,4,2,2020-11-13T13:21:36.000Z,the great dog lover,Missing “added sugars”,"I am a registered dietitian and I have my MS in Nutrition. I teach an online nutrition class for a community college and have been searching for an app that is inexpensive, user friendly and not bias towards weight loss, that I could recommend to students."
5,5,3,2018-09-07T01:30:13.000Z,Maricat823,"Good Idea, Poor execution","There are a lot of requests to see the grams rather than % on journal. Keep color bar to determine percentage, and replace # with mg."
6,6,5,2019-05-12T14:50:48.000Z,88Rene,Best App to manage your health,"If you need to manage a health condition, no matter which one, then this is the app to go. Smart aging to stay fit ? Again this app."
7,7,3,2021-02-13T15:16:31.000Z,MindyMart33,No copy and paste feature!!,"Just downloaded this app today, to help me track sodium, iron, and potassium. I am surprised that nobody complains that all recipes have to be entered the long way!! I would much rather have a quick copy and paste option, after finding a recipe I like from a website."
8,8,3,2020-09-20T14:39:32.000Z,dduukkiiee,Wish it were more accurate,"Either the nutrient listing on the back of the bag of Brad’s Crunchy Kale is way off, or your nutrient listing is way off. Whereas the Brad’s package says that there is 30% daily value of Vitamin A in 2 ounces of their product, the App says that there is over 2000% daily value of Vitamin A in 2 ounces of their product. I’ve noticed some other discrepancies as well, which tend to lower my level of trust in the App. I don’t regret buying the App, as it has helped me see where I am lacking in my diet, and it’s fun to see the bars on the chart increase when I add a certain food to address that issue. I just wish I could trust it more and don’t have to keep second guessing it."
9,9,3,2018-03-06T20:42:45.000Z,nathanwiens,"Works, but pretty buggy","I love the concept of this app, however I’ve seen numerous instances where a recipe I’ve added has a total calorie count, then the calories from fat are massively larger number than the total cals. E.G. pasta dish that’s 459 total kcals but from fat it’s over 1,000 kcals. Curious if it’s calculating the fat kcals from the whole dish and not dividing by servings as is the other nutrition metrics."
10,10,2,2017-07-03T02:23:21.000Z,Super annoyed subscriber 10001,Not for home cooks,"As a home cook, I'm disappointed in this app. Its food journal feature will let you choose between any number of commercially available, processed foods (i.e. Digiorno's pizza), but won't let you select basic ingredients that go into a home cooked recipe (i.e. pizza dough). I'm confused about this because presumably people who want to keep track of their nutrition are not the top consumers of processed foods like Digiorno's pizza? Also, the app seems really unscientific to me because it tells me how much of my recommended protein intake I've achieved per day without having ever asked me about my weight. My understanding is that your recommended daily value of protein is directly tied to how much you weigh so this feels sketchy to me. Would not recommend."
11,11,5,2017-07-19T13:18:19.000Z,buzzer0913,Best App For Tracking Nutrition IMO,"I have tried multiple other apps for tracking calories and this one is my favorite, hands down. The very simple search interface allows you to find the ENTIRE nutritional profile of an exact portion of food including total calories, total protein, fat, carbs, vitamins, and minerals. On top of that, you can add individual food items or even ENTIRE CUSTOM RECIPES to ""your journal"" which then keeps track of how much you have eaten for the day. Very happy I purchased this."
12,12,2,2018-01-17T02:10:58.000Z,Lhomey,Big disappointment,"I was so hopeful when I found this app! I wanted to input my own recipes and see a breakdown of nutrition per serving, which it does have the capacity to do. However... 1) the ingredient library is VERY limited, forcing me to input brands I didn’t use and just “hope” the nutritional value was similar to the brand I did use; 2) the only measurements option is metric (no option to measure in imperial measurements and, unfortunately, I don’t know the conversions off the top of my head, so I need an additional conversion app to use this app!); and 3) its not very intuitive in its setup and menu options. I wish there were a way to return an app... I just wasted $5 on this and I’ll never use it!"
13,13,2,2018-11-18T22:54:57.000Z,TiffanyGrace87,Great idea! Horrible execution!,"If this app had more food options this would be my favorite app. I love that it breaks down all of the nutrition within food and not just macros and carbs, fat and protein. I wanted a more intense look at the food I was eating and the nutritional value."
14,14,3,2018-11-30T15:02:16.000Z,Saussha,Would rate it a 5 but...,"Offers the very best tracking of all nutrients in food.  Other so are mostly concerned with calorie breakdown.  If you are like me, you are trying to see a bit more than that and you need to know about iron, calcium, minerals, etc...this is the app for you.  I’d give it a 5 for sure but it badly needs an update to allow the barcode scanner to work better.  All the times I have tried to scan, it’s only worked a couple times.  This ability to enter food and supplements is really important.  Please fix!! :)"
15,15,5,2018-12-09T11:24:13.000Z,4ZTYM,Best App Available!,I am so appreciative and grateful for you to give this app away for free. I am diabetic and need it so much and it has helped me to figure out the nutritional breakdown in my recipes. I have been having problems with kidney function and need to limit potassium and your app allows me to see exactly what I have in my recipes so I can add or eliminate certain ingredients.
16,16,5,2021-02-05T00:44:05.000Z,thankful1000,"Great App, Pantry has glitches",Great app for tracking your total nutrition picture. Easy to enter.  Perfect for I what- to make sure I am getting a sufficient amount of micro nutrients.
17,17,3,2020-11-20T00:52:03.000Z,scourge2bunnies,Bug Needs Fixing,"So far this is a very good app, but I’ve come across a few bugs that need fixing.  First bug: I tried to add a new item to my pantry, and it overwrote another item I had in the pantry.  I ended up with 2 versions of the new item and the other item disappeared.  Second bug:  I was adding a new item to my pantry, and the nutrition values were being stored in the wrong places.  The item had 300 mg of sodium.  I entered the Sodium, but the app displayed it as 300 g of sugar.  I entered the amount of sugar, and it wasn’t displayed at all. Since I’m diabetic, this bug really concerns me.  Can you please fix it?"
18,18,3,2020-11-28T18:45:26.000Z,veggieeater97,Works sometimes.,"The app glitches a lot. You can’t add your own custom foods, you can’t make recipes with the foods that are already listed on the app. When journaling sometimes it’ll get stuck and put the wrong nutrient info no matter what portion you’re journaling it may say something like 4000 calories for .5 cup of beans. I normally don’t write reviews but paying for this app, and not having it work the way it was designed to is frustrating. It’s not completely bad, but there are a lot of limitations I’d like to see fixed."
19,19,1,2020-05-05T23:18:01.000Z,.::D-JayDizzle::.,Not worth the time,"When I saw the barcode scanner, I was pumped because I thought it would be something I could scan in my supplements, pre-packaged foods, etc. You can’t. Their database support for this app must be extremely limited, because I have yet to find something I can scan in! Then, to try and stay on track, you spend hours (if you’re me) looking for ingredient equivalents on their app, which only gives you a roundabout estimation of your consumption at best! Finally, since I paid for the app, I waited to see if they would upload more stuff to their database. It doesn’t appear that they have. Overall: 1/5, do NOT recommend."
20,20,1,2017-10-15T16:40:12.000Z,NeedsAccuracy,Limited foods... no option to add your own food brands,"Nice app if you're not concerned with accuracy. The food journal nutrition information doesn't tell you the total quantity (mg, mcg, IU, etc.) of the vitamin or mineral, it only shows a percentage you have consumed. The total vitamins and minerals needed for males and females is different and the app doesn't ask for sex to calculate the correct RDIs."
21,21,3,2018-05-02T12:23:48.000Z,twigatano,Needs Work,I’m not confident that this a very accurate tracker. It has a wide range of values for example for peeled potatoes. Seems that should be pretty straightforward per gram...
22,22,4,2018-09-13T15:38:36.000Z,Julia98-16,Very Detailed!,"I really like this app for the most part. I wanted to track my nutrition, but most apps are based solely around calories and weight loss... not good for someone recovering from an eating disorder."
23,23,4,2018-10-30T22:58:14.000Z,Kittymyuri,Overall exactly what I was looking for,Just what I was looking for- an easy to read macro tracker. I just wish it were easier to use the other features of it. It would be nice to be able to scan bar codes or to have suggested ingredients to make up for any deficiencies. It would also be nice if it connected to some kind of recipe site and helped with nutrient analysis of the recipients too.
24,24,3,2019-01-06T20:56:59.000Z,jasovi,Helpful Overall But Still Need to Supplement (pardon the pun),"Overall, I like the detailed nutritional data the app provides. It does fall short in some areas. Specifically, the app:"
25,25,3,2019-01-22T14:11:40.000Z,Gaworder,app I use every meal,"This is the best app for nutrients. However, How do I set the number of calories per day? I do not want 2000 which is what it is currently set at."
26,26,3,2019-02-27T01:17:28.000Z,heatherMSRD,"If you fix this, it would be great!","I’m a dietitian and I enjoy a lot of things about this app EXCEPT that it gets some nutrient values totally wrong. For example, if you enter a sizable portion of raw sunflower seeds, the vitamin E level doesn’t budge a single percentage point. This is clearly inaccurate, as sunflower seeds are quite high in vitamin E. I’ve seen this happen with some other values around folate and zinc as well. There are some definite gaps in syncing up foods from the list and their corresponding nutrient content. If you fixed this misleading element, it would be nearly perfect!"
27,27,1,2019-05-28T15:28:34.000Z,penh,Not a useful app at all,"I wanted to track my nutritional intake to make sure I was getting enough vitamins, and was put-off by how “weight loss” focused other apps were, so I gave this a try. I cook at home, and input my recipes, but was confused to learn I could only use their library of ingredients, which doesn’t have a lot of my products. There’s no way to manually enter a product yourself. Once you manage to piece together a recipe that’s similar to what you make, there’s no way to add it to your daily journal of what you ate that day. A total waste of $5."
28,28,1,2020-02-15T17:15:15.000Z,Sunil Jaiprashad,Limited,So the app is limited on sizes for items when creating a recipe for example you cannot enter 413g. You either get 350g or 465g(which you have to use a cups because the most grams you can enter is 200g using their options.
29,29,4,2020-05-24T22:52:24.000Z,Food Allergy Friendly,"Very useful, would like to see more foods in the journal","Great app to track vitamins, minerals, calories, etc especially if you have to avoid certain foods and want to keep a balanced diet. Only recommendation is I would like to see more unusual fresh fruits/vegetables listed like broccolini, bok choy, various sweet potatoes (white varieties like Japanese yam or Hannah yam-they have less vitamin A than the orange varieties). Although for raw arugula they have several “brands” which throws me off?"
30,30,1,2017-12-17T00:50:06.000Z,wcapellan,Can I give it half a star?,This app does not do what it describes it does.
31,31,2,2018-01-03T01:57:50.000Z,rdav31,Lacking,Pros
32,32,4,2018-06-11T19:14:51.000Z,ratermayor,App meets realistic expectations,I love this app. I need a general over view of the nutrients I intake. I eat mostly whole foods. This app takes time to get used to and a discerning eye for what you’re actually inputing. I’ve found everything to be functional and fairly accurate. Recipes work really well and cut down on inputing data. Especially the daily intake calculator. Often times I use the app as a database to plan meals. I use a scale at home to measure my food and it makes using this app much easier. Thats actually true of any tracker though.
33,33,4,2018-12-28T16:01:50.000Z,Pernà,Love this app!  Want these features...,I love using this app!  It is great for helping me to understand nutritional values of foods I eat.  I would love these features:
34,34,4,2020-07-05T22:36:01.000Z,FiFi__1985__SXO,Great App but need help with Pantry,"This is a great dietary app with all the details you allow for. I just used the new pantry feature to add a food, I went add a second food, I could not figure out how to do so. I was expecting to see a plus sign that are elsewhere in the app.  Also, in a future release would you incorporate “added sugar”."
35,35,4,2021-08-18T14:53:02.000Z,Doris43321,Good app,"I purchased this app because I wanted more details about the nutrients I was eating that other calorie counter apps just don’t provide. Specifically my iron intake since I am anemic. It works well and gives you a general idea, but don’t expect 100% accuracy since many foods aren’t listed and you need to find a close match."
36,36,3,2021-07-28T01:31:51.000Z,lenarodifer,Good concept but somethings off,"I wanted to like this app, and at first use I thought it was great. But after paying close attention, the daily analysis values do not match up to the totals from the journal entries. also, the daily values I set up for myself in my profile don’t carry over to the daily analysis either. If the analysis was accurately carrying over the data from profile and journal I would love this."
37,37,3,2020-11-07T22:37:24.000Z,Andrew Vegan,"Good, but...","So I wasn’t a big fan of FitnessPal and I like the look and feel of this app.  The biggest drawback is when you enter in something into the Pantry, it goes out and grabs information that may already be in the database.  If I am adding something to my Pantry, I want it to reflect the nutrients that I put into it and not something in the database, that is incorrect."
38,38,1,2021-01-26T16:33:15.000Z,BatmanLex,Waste of Money,"There are better trackers available for free. I purchased this app because I didn’t want to pay the expensive subscription fees for other tracker apps to track more nutrients such as fiber intake, etc. The app doesn’t recognize half of my frequently eaten meals and snacks so all of that would have to be manually entered and it’s just not worth my time to do so when there are plenty of apps I can use that do this automatically."
39,39,1,2020-06-24T15:30:24.000Z,ABK1319,Disappointed,"I paid $5 for an app that I was only able to use for two days. I have tried to use the app on my iPhone AND my iPad. Both devices software are up to date.  I have had it downloaded for over a week and since the second day I’ve had it, it will not even open. I emailed the support email provided last week and no one has responded. Great concept but a complete waste of money and poor customer service."
40,40,3,2018-01-27T17:33:14.000Z,Reason for four stars,"Very useful app, crashes often","Nutrients is a handy app for seeing my overall nutrition, and especially useful in detecting gaps. I just started a vegetarian/pescatarian diet and Nutrients is helping me maintain a healthy balance of vitamins, protein, etc."
41,41,2,2018-03-21T19:17:25.000Z,Srkniery,Lack of Foods,"I love what they tried to do here with the building your own meal part, but they went straight for that and somehow managed to miss what every small and less refined app already had. There’s such a tiny catalog of food options almost none of the food I have in my cabinet or drinks from fast food places in my car have a profile on here."
42,42,4,2019-01-07T00:45:02.000Z,Tyson87132,Almost Perfect,"Needs to be able to rearrange food items, change quantities, change past day items, and prove broader selection of foods. Still not a complete list. Most promising nutrition app though."
43,43,4,2021-02-02T20:08:24.000Z,HNR8989,Vitamins,I wish you could add in specific vitamins you are taking instead of just being able to add food. It would be nice to be able to see if you’re able to hit your vitamin goals.
44,44,2,2019-08-09T13:28:57.000Z,Dodgeman4700,Not user friendly,"It does not have many brand name items.  So I have to use generic items most of the time.  The data is not that accurate when used in this manner.  The database needs to include brand name items I get from the grocery store.  I shop at target for example.  No target brand items exist in this database.  Also, a barcode scanner option would be nice."
45,45,1,2020-08-02T01:21:46.000Z,GWGregg,Wasted $4.99,"Just downloaded this app today to find it’s very buggy on my iPad.  Newly created ingredients don’t add well to recipes.  Existing ingredients don’t scale nutrients properly when adding partial or multiple servings.  And as of ten minutes ago, the app is now crashing on launch.  All other apps are behaving fine, so it’s definitely a problem with this one.  Have tried restarting iPad, with no help.  Wasted $4.99 and wish I could get a refund."
46,46,2,2021-03-05T17:23:19.000Z,ffka,Could be so much better!,"Great info but it is missing so much! You can’t add food to past days (if you forget something) and there are hardly any “whole” ingredients. Like dried fruit, nuts, grains. It’s mostly highly processed/packaged foods. Also the barcode scan doesn’t work. There’s no way to change your settings. Very frustrating app. For $5 I expect a lot more!"
47,47,4,2021-07-10T10:58:57.000Z,MZB18,Efficient,"Really helps with dieting. A lot of insight on what the body is missing or has an abundance. However doesn’t have a good amount of barcoded items, so plugging them in manually becomes a drag. Overall best nutrition app I’ve seen so far"
48,48,5,2020-02-01T00:16:47.000Z,Melwhi,This is a great app,The only change I would like would be the ability to add foods to the database. I use a number of Trader Joe’s as well as specialty products that aren’t in the DB that I would like to incorporate into recipes.
49,49,1,2021-01-04T05:25:02.000Z,Stephan.ilberg,Needs improvement,Let’s start with the good.
50,50,5,2017-08-08T17:48:05.000Z,Babbajune,Enjoy Using!,I like this app for better understanding of the foods I choose to eat.  It gelps me with those choices and with portions.  I recommend this app.
51,51,2,2018-05-04T03:46:07.000Z,Knope for America,Needs improvement,"Knowing your vitamin intake is really great, but not if the app doesn’t have half of the things in your diet listed. Raw ingredients are usually there, but something as simple as an item from Chipotle is not. Super disappointing, wouldn’t recommend the app unless they make more frequent additions to their database"
52,52,5,2019-01-24T18:51:50.000Z,Ninja McQuade,Excellent,The app tracks all the basic nutrients and is nice for saving recipes. Best I’ve found. I only wish the journal view had an option to click on a day to see amino acid values!!
53,53,5,2019-02-13T14:18:29.000Z,Debi Dee Lewis,So useful!!,I love this app. It’s simple and straight for award. I’ve had it for years and still use it often. Highly recommend!
54,54,5,2019-03-09T14:31:42.000Z,Rayzw,Perfect for everyday Nutrition Monitoring,This is an amazing app.  Short and to the point.  Summarizes all vital info.  I have tried others and was never satisfied.  This app did it for me.   Thumbs up.
55,55,5,2021-06-20T15:56:55.000Z,kkmashon,Great to Track Nutrients!,"I finally found an app that really tracks nutrients! After a health scare, I found a typical calorie or diet app would no longer work for me. I with Nutrients tracked Omega-3s and Biotin but overall this is a great app!"
56,56,3,2020-06-26T13:52:53.000Z,jane rose,Crashing,"The app crashes repeatedly and will not open after adding custom pantry items. The only way to get it to open again is to uninstall and reinstall the app, which causes you to lose any recipes you've previously entered."
57,57,5,2020-02-10T03:38:52.000Z,Ghhfcbhdbjb,Great app!,"This app tracks every important nutrient in your diet. It has a huge list of fresh, prepared, and restaurant foods to choose from. I love it. It would be great if they could add vitamin pills to the list too."
58,58,1,2020-10-20T03:21:47.000Z,ApplieID333,Don’t purchase,I made the mistake of purchasing reading great reviews. There was no free trial because you would not purchase this app when the free ones available are far superior with a live selection of foods that can be scanned in. This app only offers the most common brands such as Quacker. Save your money and get a free version or at least one with a free Trial. These reviews c  as my be legit.
59,59,3,2020-05-26T03:55:14.000Z,An's Review,Good app but 1 false claim,Cons; advertises support of family sharing but This app Does not support family sharing. Some of the nutrients listed per food   Is not it a complete list.  Pros: It works and is useful to manage diet and provides all nutritional content and sync with apple Health.
60,60,5,2017-10-07T17:45:00.000Z,moirajanning,Really helpful,"Great app, love being able to track what I'm eating and get a sense of what vitamins/minerals I'm not getting enough of"
61,61,1,2017-12-09T18:18:15.000Z,flyer1962,iWatch — does not work on,"It looks like the app works in iWatch, but every time I try to open it, it crashes— doesn’t open — watch is brand new — there are pix of the app on a watch, but looking in the spex the watch is not listed— wanted this for my college-age son who has Type 1 — bummer — would love it to work if it can’t— refund please? Thanks."
62,62,3,2018-08-02T12:32:45.000Z,gimme strength,Great — if it worked.,Have used Fitness Pal for years. It only does Macros. Was very excited to find this Ap. Hope they work out the kinks.
63,63,3,2018-09-22T14:46:28.000Z,kmamos,New to this app,I’m having trouble getting the bar scanner to work. It opens the camera and appears to take the picture but nothing comes up? Can you advise?
64,64,2,2019-02-01T16:37:53.000Z,Sammyretired,Must have Nutrients right to call it “Nutrients”,"Finding a number of errors on nutrients listed for various foods.  Example:  Almond flour is a great source of Vitamin E, but most of the flours listed show none, which does not match label on the bag."
65,65,5,2019-03-27T21:16:22.000Z,Jolontru,my favorite - Very comprehensive,no one app could cover every food on the planet but this one sure seems to come close!
66,66,1,2020-07-01T14:21:45.000Z,dhaiwnzops,Crashed,"I loved what the app does in allowing me to customize and track my nutrient goals on a very detailed level. However, the App crashed twice in the first two days after I downloaded so I had to reload and renter everything I’d stored. It’s not worth anything if I have to redo my profile, recipes and lose my journal everyday."
67,67,1,2021-08-24T01:19:39.000Z,Jumped the Fence,Virtually disfunctional,"After the glowing reviews and hype, I feel like I’ve been absolutely conned. This app failed to recognize 3 barcodes, the Journal is so small as to be almost unreadable, and no option is given to enter your age, current weight, or goals. It’s strictly a tallying device, and a clunky one, at that. I’d love to get my $5 back."
68,68,2,2021-05-11T04:26:52.000Z,Saurabh130990,"Interface is nice, but the information, food search needs tons of improvement.","Interface is nice, but the information, food search needs tons of improvement."
69,69,1,2021-02-28T13:08:21.000Z,"dr,mom",Lots of unusual foods (ex whale) and processed foods but not enough unprocessed,I was excited to get this app because of the detailed nutritional information it promised. But I don’t eat many prepackaged processed foods nor do I eat foods like whale.
70,70,5,2017-05-17T02:32:15.000Z,Z1s2w4f,Easy to use,Great app for nutritional information.
71,71,2,2018-02-05T11:04:56.000Z,Joshua.Drew,I wish I could get my money back,"This was an expensive app.  And it’s rudimentary.  The info is hard to use, and requires too much input to track your dietary intake compared to several free apps out there.  Save your money and use MyPlate."
72,72,2,2019-04-24T17:47:46.000Z,the real Ferd,Good app maybe. F’ed up calorie information,What the heck is wrong with them getting the calorie count wrong?
73,73,5,2019-05-24T17:06:30.000Z,Climax510,Needs updates. Please add fast food restaurants,Add fast food restaurants. Add snacks and random goodies.
74,74,4,2021-05-04T22:12:46.000Z,Zone Dieter,Glycemic index and load,"I like this app, it has everything I need."
75,75,3,2019-11-07T10:59:27.000Z,laila67,Nutrient calculations are inaccurate,"If I update a recipe the nutrient calculations do not update as expected.  In one case, the fat calorie calculations were off completely.  More fat calories than the entire caloric content off the recipe."
76,76,2,2021-02-12T18:16:44.000Z,Gdh1787,No Help or Tutorials.,"I loved the potential and there are a lot of great pieces, but it’s a puzzle to understand how it all fits together. I teach software and it’s not intuitive. If you like puzzles, this app might be for you. I don’t like puzzles. PLEASE develop a tutorial or at least an overview."
77,77,1,2019-12-02T03:59:08.000Z,sucker@4.99,Way too limited,"This was a waste of $5.  You can’t add ingredients that aren’t in their library, so the nutrition cannot possibly tabulate correctly when you’re entering the data for a recipe that they don’t have in their library.  Super disappointed and would really like a refund."
78,78,1,2020-06-17T15:51:55.000Z,Single cent,Crashes,I would love to use this app but every time I try to use the scanner it crashes. Trying to find common foods and they aren’t in the database. Don’t waste your money until major improvements.
79,79,1,2021-06-24T06:14:44.000Z,slkblohm,Too confusing,"When I load a new day, before I even add a food, there are numbers loaded into that day’s macronutrients- like it carries over from other days. No instructions. This is not that great of an app"
80,80,2,2018-05-08T16:36:17.000Z,Dak903,Very unhappy,I know Coca Cola isn’t the healthiest thing in the world but I’m surprised it’s not in the app. Neither were my Cheerios. Layout is cumbersome and no intro for personal input or instructions. I’m deleting the app today...
81,81,2,2018-07-07T11:54:07.000Z,rferrell,Just bought it. Where are the instructions,I do not see a way to see past journal entries.  Also are there reports
