,id,rating,date_time,user_name,title,body
0,0,5,2019-03-13T21:45:56.000Z,shelbystackpole,Easy but basic,"By far the best pregnancy app out there! The kick counter and contraction timers are GREAT. I adore the growing hand and foot images as well, so precious and it just helps the whole experience of pregnancy feel more real. I also really appreciate the anonymous community feature as well! On my of biggest frustrations with other apps is questions being ignored/unseen because I wasn’t a “top member.”"
1,1,3,2021-08-12T12:59:12.000Z,SJO14,Good but could be better,"This app definitely has a ton of useful features and is great for tracking a LOT of things. However, I really wish it would let you put in your own medications to track and also not just suggest 3 medications you regularly input. For instance, I take probiotics daily and there isn’t even an option for that (which is a common supplement), plus I take other supplements not listed. Let me input my own to record please. I also take more than 3 things every day but it only shows me 3 options and then I have to manually search for everything else every single day. Meanwhile it suggests like 6 of the top medicines people take all the time, but I don’t take any of those so they just take up space where I would rather see MY top 6."
2,2,3,2019-04-02T17:20:17.000Z,fwegan,Flexibly useful,"I’m nearly 18 weeks pregnant and have been using Ovia every day for months. When I first found out I was pregnant I installed five different pregnancy apps. Ovia quickly became my favorite because the health tracking is so flexible and intuitive. I’ve been tracking my sleep, weight, and symptoms, and ignore the parts I’m not interested in tracking (e.g. mood, nutrition, exercise). I also like that there’s a nice-length article each week and some daily content that isn’t too overwhelming."
3,3,4,2018-04-14T21:19:46.000Z,StarryViolet,Mostly great,"When I found out I was pregnant, I downloaded several pregnancy apps to see which one I liked best, and Ovia won out easily. I like the interface and the customization. I love the daily and weekly updates and little blurbs about what to expect from my body and what was happening with Baby and it’s development. The ability to track food, weight, symptoms, doctor’s appointments, just about everything is great! The way that articles and videos are broken down makes them easy to search and find what I want to read. And the medication and food safety look up has been amazing and saved me a lot of unnecessary phone calls to my midwife. This only reason this rating lost a star is because I felt like the high level of daily interaction became all but non-existent once I went over my due date. I’d get one targeted advertisement and maybe one blurb about “is the nursery ready?” or “only a few days left”. I missed the timely articles, and wish that instead of recycled blurbs there had been articles about induction or how common it is to go overdue. I know those sorts of things exist because I could look them up in the app, but I wish they had been automatically showing up on my feed as a means of reassurance. Overall a great app, but updating it a bit would be even better."
4,4,3,2020-03-25T02:58:10.000Z,Breez5015679832,Community feature needs to be improved,"I love this app, it’s great I can see what’s going on in my body, if my symptoms are normal, babies development and it keeps my super informed. I do have 1 problem with this app, the community where we can ask questions. Your inbox fills you up with a bunch of questions to answer from other moms and sometimes the app. The problem is there’s no organization. As a first time mom whose due in December I see questions from moms later in their pregnancy and I’m wanting to view their answers to questions so I know what to expect but I can’t view the questions answers unless I answer her question, how is that helping moms? I’m having to answer a question that I don’t know anything about. It should be like a mini social media platform. Where there’s a feed and I can make it to where I can see question from people the same weeks as me, or their be different categories not random question popping up. The inbox should be used for notifications when somebody replies to your comment or somebody else replies on the post. Also the questions from the app should be in its own section of the app where we can click on it and answer it and it only questions that are relevant to how many weeks we are. Right now it’s asking me questions that aren’t even relevant."
5,5,5,2020-03-11T16:07:36.000Z,Gdkz2006,Favorite pregnancy app,I highly recommend this app.
6,6,3,2018-10-06T00:34:42.000Z,Upmove,"Like it, but needs improvements on articles","This is one of my favorite pregnancy apps for tracking the baby’s progress. I like how you can also put in doctors appointments, track weight, BP, etc. The daily reminders for prenatal vitamins helps if you’re the sort of person who might forget."
7,7,3,2017-12-11T06:58:07.000Z,RhiKonshuk,Love it but....,"I have really enjoyed this app a lot! I love seeing different things that my baby is the size of each week. The last 2-3 months though have been very frustrating!! Every single time I first try to open the app, the loading page appears for a good 30-40 seconds and then the app just closes itself. Usually trying a second time works just fine, but now there have been a couple days over the past week where the app will just keep closing itself no matter how many times i try! First of all the loading page lasts way too long... second of all why should i have this app taking up space on my phone if it is just going to choose not to work whenever it feels like it! One of the couple days i had just mentioned, i was at the store and wanted to use the food safety lookup...in Heinz sight i should have just used safari because i knew even if it was working like usual (second try access success) that would still be a full minute or more of waiting for it to just load!!! Safari takes less than a quarter of that time! Please fix this problem as i still love everything else about this app!"
8,8,4,2018-08-09T10:03:33.000Z,Mung Bean's Mommy,This is THE app to use!,"I downloaded another popular app when I became  pregnant and quickly got burned out on it - it was all advertisements and fashion advice. I downloaded Ovia and WOW am I glad I was still in the 1st trimester when I found it. The interface is user friendly, the content is truly about my health and the health of my baby, not about what other people think or what I should be wearing. I love being encouraged to log my food and vitamins, and have truly been eating more intentional foods since starting it. It’s encouraging, informative, and my husband even got to subscribe to the daily emails! It helps him feel involved and he has been following the recommendations for nutrition by going to the grocery store for me without me even having to ask- the app is telling him what we need! Love this app! The only function I wish it had was an option for a more detailed food log, and the ability to list more specific high-risk categories that aren’t preloaded. I’m high risk with a connective tissue and joint hyper mobility disorder but there’s currently no option to record it as it’s uncommon."
9,9,2,2020-07-28T22:46:30.000Z,vonwestercool,Okay but misinformation and advertising agendas abound,"Way way waaaaay too many ads in general but especially so for the same, narrow topics like cord blood banking. It’s something many parents don’t and won’t do, and the proliferation of ads for it just makes me want to do it even less. It smacks of cheesy marketing scam. The information really dumbs down things and makes me feel like I’m in the wrong, non-scientific app geared to airheads. I don’t know many women I consider airheads, so I really don’t know who this is for. Also topics like “are sit-ups safe?” are sorely misinformed. Sure, yes of course they’re safe for the baby up to a point at which sure there’s a minor risk of reducing blood flow while on one’s back. But they’re extraordinarily damaging for the pelvic floor and directly cause diastasis recti in many women and people in general. And then of course there are absolutely random posts like “what is bipolar disorder?” — not a topic that is very relevant for most first trimester women. Like why are we even talking about it? That’s said, interface is cute enough and modern enough. I like the “my baby is this size” comparisons by week, and the app is generally inclusive of various types of relationships, genders etc."
10,10,4,2017-10-13T16:53:30.000Z,S_Schultz,Great App but Update Left Something to be Desired,"I have really enjoyed using this app for my first pregnancy! I like the week by week articles, the fun themes, and the tools like the symptom checker and food/medication safety. However, there are a couple things I would improve. Since the last app update, it's harder to look up and find medications to record. In the previous version, it would keep your recently used meds (like prenatal vitamins) up at the top so you could easily find them. Now I have to search prenatal vitamins every time which is frustrating. Also, the kick counter was moved off the front data screen and moved into the more tab, which doesn't seem to fit for me. That is something I use everyday and data that I would like to be able to chart out (it's a higher priority for me than the activity tracker). Overall, the app is great and I do recommend it to my friends. Just a couple things that I would change to improve ease of use."
11,11,5,2017-12-14T15:46:30.000Z,GBunny06,Love Ovia!,"I love the Ovia apps; I started off with Ovia fertility, and, well, a month later I was pregnant! So I switched to Ovia pregnancy and love this one as well!"
12,12,5,2018-07-09T10:42:12.000Z,ADC022192,So in love with this app,"Since I have been pregnant with my little one this app has helped me out a lot. It is so informative that I feel like with each week as my baby grows I learn something each and everyday about my little one and it’s development. As a new mom to be I feel like this app gives me a piece of mind about everything as far as development of baby, the symptoms that I might experience that I might experience throughout each stage, sending me reminders for my doctor’s appointments. The articles they have for diet, exercise, recipes, and other useful things on the app. This is the only pregnancy app I’ve ever had and I must say I’m glad that I did it right the first time, this app is amazing. I recommend this app to everyone that’s pregnant, you will not be disappointed and you will be well educated just like I am now!!! This app definitely has me looking forward to meeting my little one."
13,13,5,2018-08-29T15:44:31.000Z,RaidonsProudMama,So informational while keeping it fun and visual,"From the moment I found out I was pregnant up until this very moment with my son curled on my chest, I have found myself oh-so many times reading the updated and offered articles. The information readily available is pretty accurate down to the examples given and solution offerings. It was nice to see week by week what to expect and how to handle and now as he grows there’s new facts provided that reassure a new mom he’s on track (actually ahead of) but to know there’s others experiencing the same if not similar and learning and growing with their child as well. Without either of my parents to confide in, I depended on this app with any question or possible concern throughout my now; 10 month journey. Thank you kindly for this wondrous resource. Pray others find it and are able to enjoy as much!!! Definitely a 5 star and highly recommended app. (Which I have referred every expecting parent in my life)"
14,14,5,2018-11-19T15:41:41.000Z,alymae88,Best Pregnancy app by FAR,"This app is amazing. I downloaded all of the free apps I could find involving pregnancy because I’m going to be a first time mom. Ovia does an amazing job of taking a little of every type of app (informational, social, health, etc.) and making it extremely easy to use."
15,15,3,2019-03-19T09:28:39.000Z,JanPonce,Great app,"Found this app via my employer. Really great app. It tracks food, weight, symptoms and many other things. App has many articles that are informative and educational. I love how I can track the babies weekly and gives you information about the baby on a day to day basis. Overall a great app. I would highly recommend."
16,16,4,2019-04-05T20:11:58.000Z,elvenarcher,Really enjoy this app but...,"This is a great pregnancy app to use and track things along your long 9 months. It has great features and is very easy and intuitive to use. I enjoy most of the articles that come across the feed. My favorite feature is tracking the baby’s size and growth, especially with the fun size comparisons."
17,17,3,2019-11-13T05:39:19.000Z,MumuErin,"So helpful, but so slow...","I’ve used multiple pregnancy apps for tracking my pregnancy and Ovia is my favorite! It’s the only one I use now. The information and tools it provides for you is so helpful, and I like the option it gives you to pick a theme for your baby’s size comparison (I chose animals, and my baby is a platypus this week - so cute!). The community of mothers on here also seems to be a bit kinder than what I’ve witnessed on other apps, more willing to be helpful and supportive and keep judgements to themselves. Even if someone expresses a difference of opinion from the current thread, they’re just nicer about it than other message boards I’ve seen. My ONLY issue with the app is that it’s difficult to actually get into. Each time I open it the loading screen is up for 30 seconds to 1 minute. Sometimes it’ll close me out of the app before loading. Sometimes it’ll load my dashboard or the message board but it’ll be frozen so I can’t actually click on or scroll through anything. It’s a great informational tool, but it can be kinda buggy."
18,18,5,2020-10-12T21:55:52.000Z,FrozenYogurtGirl,Best Pregnancy App Available!,"Currently 13w pregnant, and let me tell you, this is the best app I’ve tried. Other apps have some cool features, but OviaPregnancy is all around great. Cool trackers, different themes, and good advice. There’s even a medicine and food safety lookup. And for day’s I forget to take my prenatal, Ovia reminds me in the app! Also, Ovia’s week by week sizing seems the most accurate to what a doctor might tell you. Other apps I’ve used are all over the place with their sizes. Sometimes a week ahead or behind common size comparisons. I can’t believe this app is free. AMAZING. Used the regular Ovia app before getting pregnant, and I’ll be using the Ovia Parenthood app for when baby is here. Not sure if that’s that exact name, but I’m sure it’s an amazing app too!"
19,19,3,2019-07-23T19:48:09.000Z,honest reviews r us,It’s a great app but ...,"Don’t get me wrong, this is one of my favorite pregnancy apps out there! I use it a lot to keep track of my baby’s growth, my upcoming doctor appointments, and so much more!!"
20,20,5,2017-11-15T06:04:17.000Z,Amy1616,"One of a kind app, provides real insight","This is my 3rd pregnancy and my 5th pregnancy app. Ovia is easily my favorite, and only 5 star review. It's exciting and fun to change up your settings whether it be background or the different ""size of my baby this week"" choices."
21,21,5,2018-06-02T10:19:44.000Z,BrigetteKnowsBest,"First comes love, then comes marriage, then comes a baby...","I absolutely love this app! I use it everyday: when I first started to plan to conceive with my husband I was looking for an app that had more than just “cute pictures”. I wanted an informative app that would truly guide me. Once we conceived (5 ways and 5 days ^_^) it became obvious that this was the app to have! I have the daily community which is amazing! You can upload your questions and feel thy you’re not alone because you instantly have replies from women who are going or went through everything you’re experiencing. You also have tips as to why to eat, so to work out, cleaning supplies around the house. You also have the amazing daily tracker of everything! How you’re feeling, what you’re feeling, BP readings, weight tracker and so much more! Don’t waste your money and time on these other apps!"
22,22,3,2018-07-06T00:12:42.000Z,bgregory,Flawed But Decent App,"I wish there were more theme options because I don’t seem to know hardly any of the things it is relating to the size of my baby in any of the themes. I wish that under medications it would let you put in a medication even if the system doesn’t notice it because they don’t have some of mine listed. Lastly, for sleep and activity it would be nice to be able to add the information in later because if you sync a Fitbit and wake up in the middle of the night it doesn’t record all of your sleep just that first part and the step count is rarely ever consistent with what I’ve got on my Fitbit. If we could go back in and change the wrong information it would be such a better app. I actually deleted the Fitbit sync because the wrong information drives me crazy. Developers definitely need to put in work to fix the concerns of the users but other than that it is a nice app and I like the way it is set up."
23,23,5,2018-09-24T21:22:34.000Z,Lenaglt,What a fascinating guide and companion during this amazing trip of pregnancy,"Since I found out we were pregnant, I was finding myself all the time googling stuff on the internet to find answers, since all of these is SO new to me."
24,24,4,2019-01-27T16:03:40.000Z,Elisamai,Great for Normal Pregnancies!,"This is my second pregnancy and time using this app. Overall, it’s great! However, I wish the app would better customize when it asks you about certain conditions you might have (and you answer yes). I suffer from HG in my pregnancies and it’s s but disheartening to receive constant reminders about ‘morning sickness being normal’ or ‘should be over now’ or ‘even if you can’t eat, you should find ways to supplement anyway.’ If the app is smart enough to ask whether an expecting mom has HG, it would be nice to know that the app would use that information in its feeds."
25,25,5,2019-02-27T07:40:53.000Z,notatrumplover,Love It,"This is my first baby so I figured an app would help keep me sane. I went through 3 or 4 before I stumbled upon Ovia, and I didn’t have a single second thought when I started using this app. It’s easy, it’s sensible, you can control notifications, and you can put whatever information you have and you don’t have to worry if you don’t have the information it asks for because you can always skip it."
26,26,5,2021-04-06T07:14:13.000Z,Malintazo,Far and away the best pregnancy tracker!,"This is THE best pregnancy app! I think I have downloaded just about all of them, and this I’ve outshines them all. On the calendar view page you can track pregnancy symptoms, moods, activities, record milestones, add doctor’s appointments + reminders, and create notes. There is charting functionality that pulls from the data entered on the calendar for weight gain/blood pressure/sleep/activity and more. There is also a wealth of articles and resources. The data you enter on the calendar creates a personalized feed on the homepage, which also includes baby’s daily development information. If you love data and tracking your pregnancy in a simple and extremely user-friendly app, but also want a wide variety of functions, this is the right one! Especially given that it is free! Compared to so many apps, the free functionality is completely awesome. Five stars!!"
